layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,25.706768867822213,209.0,1.040485601796618,ResNet18,None,Untrained,PyTorch
layer1.1.relu,28.182976746701698,220.0,1.0344168673685,ResNet18,None,Untrained,PyTorch
layer2.0.relu,25.89807895993243,207.0,1.0420181580434829,ResNet18,None,Untrained,PyTorch
layer2.1.relu,22.090862865030342,192.0,1.0545660218501829,ResNet18,None,Untrained,PyTorch
layer3.0.relu,17.945166170077073,174.0,1.0758684382596413,ResNet18,None,Untrained,PyTorch
layer3.1.relu,14.337429829965773,173.0,1.0825677139669991,ResNet18,None,Untrained,PyTorch
layer4.0.relu,12.738002927225812,176.0,1.081664940471688,ResNet18,None,Untrained,PyTorch
layer4.1.relu,8.96840598146429,155.0,1.0920461675796127,ResNet18,None,Untrained,PyTorch
layer1.0.relu,28.86585039725192,241.0,1.0145155348207906,ResNet50,None,Untrained,PyTorch
layer1.1.relu,22.127821586321545,233.0,1.0182064194978357,ResNet50,None,Untrained,PyTorch
layer1.2.relu,15.027887316363982,172.0,1.0674112718412785,ResNet50,None,Untrained,PyTorch
layer2.0.relu,17.006326782216973,196.0,1.051773672346569,ResNet50,None,Untrained,PyTorch
layer2.1.relu,13.3284470221171,145.0,1.103277602550029,ResNet50,None,Untrained,PyTorch
layer2.2.relu,11.025321354551352,124.0,1.1258377288558308,ResNet50,None,Untrained,PyTorch
layer2.3.relu,9.486858810312722,84.0,1.1710348283953533,ResNet50,None,Untrained,PyTorch
layer3.0.relu,7.6484876889547095,61.0,1.1974722137245928,ResNet50,None,Untrained,PyTorch
layer3.1.relu,7.488257081750794,55.0,1.2086556963532724,ResNet50,None,Untrained,PyTorch
layer3.2.relu,6.491271519641526,39.0,1.2361315038087093,ResNet50,None,Untrained,PyTorch
layer3.3.relu,5.856510413956135,30.0,1.2553919624248007,ResNet50,None,Untrained,PyTorch
layer3.4.relu,4.949633589952048,20.0,1.2780543973320584,ResNet50,None,Untrained,PyTorch
layer3.5.relu,4.505315394767151,15.0,1.2959113733786598,ResNet50,None,Untrained,PyTorch
layer4.0.relu,4.826705928371154,18.0,1.2808239912933939,ResNet50,None,Untrained,PyTorch
layer4.1.relu,4.356893009829822,14.0,1.2950796726595855,ResNet50,None,Untrained,PyTorch
layer4.2.relu,3.6122673830352356,9.0,1.3069474663340812,ResNet50,None,Untrained,PyTorch
layer1.0.relu,245.73088861447357,569.0,0.6525801347570156,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,630.4806708129615,640.0,0.44644981987906535,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,504.2825912121077,616.0,0.5074444273701756,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,616.009316247075,631.0,0.4495225556639689,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,330.8603156145546,544.0,0.6043326416869259,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,332.6819917932209,564.0,0.5817342727813304,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,441.3262911495974,558.0,0.5405104792338586,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,259.65845888892943,371.0,0.66663363420501,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,270.09042067062956,586.0,0.6329213562959732,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,488.80588980093995,636.0,0.5163409131286917,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,593.3714234636852,657.0,0.4654923697591655,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,317.2439204862101,606.0,0.6105584746077812,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,588.8419659427959,637.0,0.469051351702959,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,632.4495689989868,645.0,0.4500405624859966,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,701.6469751018286,657.0,0.4109217492797963,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,413.0440420446865,604.0,0.5566002995018987,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,478.07132380851465,612.0,0.5223446231511165,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,528.7327401643689,619.0,0.4973779133966189,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,481.3246128607944,618.0,0.5237800583749181,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,529.5671073096601,627.0,0.5006572078905086,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,604.441922320788,644.0,0.4565355098757018,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,459.2376693623759,638.0,0.49749482731659167,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,326.1985495571069,622.0,0.5352057812937974,ResNet50,Object Classification,Supervised,PyTorch
