layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.0762578824093287,11.0,1.0951201801095076,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch
mp2,2.0762578824093287,11.0,1.0951201801095076,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch
c2,2.0938251803580825,11.0,1.103355260011239,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch
mp2,2.0938251803580825,11.0,1.103355260011239,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch
c2,2.105698036427019,10.0,1.1176125092772158,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch
mp2,2.105698036427019,10.0,1.1176125092772158,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch
c2,2.084793223359699,7.0,1.1360583105017203,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch
mp2,2.084793223359699,7.0,1.1360583105017203,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch
c2,2.103333265177959,7.0,1.1430280597424967,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
mp2,2.103333265177959,7.0,1.1430280597424967,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
c2,2.100237926050124,6.0,1.1738707266138564,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch
mp2,2.100237926050124,6.0,1.1738707266138564,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch
c2,2.052629228206605,5.0,1.196088925405155,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch
mp2,2.052629228206605,5.0,1.196088925405155,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch
c2,1.9097711430406588,3.0,1.231278908843181,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch
mp2,1.9097711430406588,3.0,1.231278908843181,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch
c2,1.8662562769157067,3.0,1.2555496232407675,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch
mp2,1.8662562769157067,3.0,1.2555496232407675,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch
c2,1.7257280418364942,2.0,1.288830662429492,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch
mp2,1.7257280418364942,2.0,1.288830662429492,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch
c2,1.6281681549301477,2.0,1.330046940417758,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch
mp2,1.6281681549301477,2.0,1.330046940417758,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch
c2,1.5968824585696284,2.0,1.3692820750159667,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch
mp2,1.5968824585696284,2.0,1.3692820750159667,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch
c2,1.5026975896270922,1.0,1.410553663189867,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch
mp2,1.5026975896270922,1.0,1.410553663189867,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch
c2,1.4614725381843077,1.0,1.4522101453098293,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch
mp2,1.4614725381843077,1.0,1.4522101453098293,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch
c2,1.443557282822214,1.0,1.4879513567567046,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch
mp2,1.443557282822214,1.0,1.4879513567567046,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch
