layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,100.00170696871612,327.0,0.7839972494714539,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch
mp2,35.6173572747596,294.0,0.8971315386355413,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch
c2,92.64933327276478,320.0,0.7908500938330774,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch
mp2,36.33143424727698,288.0,0.9049811606006736,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch
c2,94.19938766457574,311.0,0.7980315430208901,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch
mp2,36.98706273760203,284.0,0.9077134512460667,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch
c2,94.81995088690776,301.0,0.8110803132877945,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch
mp2,37.475903737048796,278.0,0.9130486857431839,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch
c2,99.888515559622,290.0,0.8241304838512344,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
mp2,38.34735205975889,275.0,0.9085724208646224,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
c2,102.63264642701311,270.0,0.8523653494394812,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch
mp2,36.43436790600931,259.0,0.9338399607946785,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch
c2,83.05140522353872,249.0,0.8865304805432991,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch
mp2,35.7302419189281,240.0,0.9591247592169956,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch
c2,73.5772313830213,224.0,0.9233439622866849,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch
mp2,33.46698340772409,219.0,0.9857366161014923,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch
c2,63.093035843648806,196.0,0.9651641729055475,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch
mp2,30.580336048227238,194.0,1.0167659885970168,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch
c2,53.271236042097804,167.0,1.0116302544251652,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch
mp2,27.53851178664307,167.0,1.0506141979322436,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch
c2,45.10183079524174,141.0,1.0614862518736756,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch
mp2,24.76078707316353,139.0,1.0871453726763394,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch
c2,38.79406105401582,120.0,1.11220429872266,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch
mp2,22.462547327432226,114.0,1.123987091109787,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch
c2,34.114982754503195,106.0,1.1626713058132014,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch
mp2,20.681784886246202,95.0,1.1593475215416544,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch
c2,30.703191921531868,95.0,1.2115617146656994,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch
mp2,19.35568083015344,80.0,1.193340899112951,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch
c2,28.22134727151352,88.0,1.2588733969174561,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch
mp2,18.39216043954771,70.0,1.2252636784421513,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch
