layer,score,score_error,architecture,task,kind,source
c2,0.18650092708692442,0.004257709452160036,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch
mp2,0.23340368799208944,0.004490417049125844,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch
c2,0.18379058894824063,0.004519051774607978,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch
mp2,0.2277590436034524,0.004277111986206708,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch
c2,0.18110332777964422,0.005090489098870734,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch
mp2,0.2230485564928094,0.00469681933796632,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch
c2,0.17480641928253865,0.005036873852753253,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch
mp2,0.2161448992541386,0.005075472378000367,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch
c2,0.16956427649541353,0.005226780380177858,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
mp2,0.2066090717547348,0.005337010967840761,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
c2,0.1607943742108765,0.005784163295684926,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch
mp2,0.1962751988009661,0.005872175772122192,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch
c2,0.15402967053234476,0.005368676409815061,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch
mp2,0.187119468935462,0.005746885144911935,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch
c2,0.14403146260798547,0.0052218191616226145,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch
mp2,0.1767491822987131,0.005703957737144432,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch
c2,0.13696087564736678,0.00623239253066255,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch
mp2,0.16446123579254926,0.006058670731423223,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch
c2,0.12922188092819803,0.006301644119345398,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch
mp2,0.15428707104019365,0.005557698453678062,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch
c2,0.12046990203279186,0.006185949880676134,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch
mp2,0.14570703413992475,0.006071271362537999,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch
c2,0.11384571303968341,0.006784280619311003,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch
mp2,0.1394848136048245,0.006399141719846439,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch
c2,0.1068511305908421,0.006951562010553453,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch
mp2,0.12768004656470003,0.006814127900742603,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch
c2,0.09903944717451713,0.005880853762751661,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch
mp2,0.1180014551122888,0.006273884988423003,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch
c2,0.09271277658052204,0.00681740878451926,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch
mp2,0.10792224018736833,0.004486938029529692,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch
