layer,score,score_error,architecture,task,kind,source
c2,0.16956427649541353,0.005226780380177858,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
mp2,0.2066090717547348,0.005337010967840761,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
c2,0.12923364038585475,0.006189516023806788,AtlasNet,Eig_noT_-1,Untrained,PyTorch
mp2,0.15595322509496756,0.005509740124243737,AtlasNet,Eig_noT_-1,Untrained,PyTorch
c2,0.05662130253238936,0.007017505135368241,AtlasNet,Eig_noT_-2,Untrained,PyTorch
mp2,0.0717224140381723,0.004765956987980699,AtlasNet,Eig_noT_-2,Untrained,PyTorch
c2,0.04157731338241723,0.006802462049350049,AtlasNet,Eig_noT_-3,Untrained,PyTorch
mp2,0.05953493530778706,0.004993874878073608,AtlasNet,Eig_noT_-3,Untrained,PyTorch
c2,0.18957877901165976,0.004001223057952176,AtlasNet,SVD_-0.5,Untrained,PyTorch
mp2,0.2365289723065459,0.005399960170715758,AtlasNet,SVD_-0.5,Untrained,PyTorch
c2,0.18756992708630743,0.005485118140793646,AtlasNet,SVD_-1,Untrained,PyTorch
mp2,0.23368279905766665,0.005040169070413617,AtlasNet,SVD_-1,Untrained,PyTorch
c2,0.153225887144438,0.004500327770911797,AtlasNet,SVD_-2,Untrained,PyTorch
mp2,0.19685686611786832,0.006018688352240454,AtlasNet,SVD_-2,Untrained,PyTorch
c2,0.12596497876791574,0.0034692213578610778,AtlasNet,SVD_-3,Untrained,PyTorch
mp2,0.16832636946439197,0.00679604821747935,AtlasNet,SVD_-3,Untrained,PyTorch
