layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,92.07830248793373,251.0,0.8604225272223793,AtlasNet,Eig-MH-0.2,-0.2,PyTorch
mp2,37.09810828048634,233.0,0.9612392691068327,AtlasNet,Eig-MH-0.2,-0.2,PyTorch
c2,88.50315285390894,242.0,0.8733487188111999,AtlasNet,Eig-MH-0.3,-0.3,PyTorch
mp2,39.104590581242874,228.0,0.9672130554293128,AtlasNet,Eig-MH-0.3,-0.3,PyTorch
c2,91.5549252640806,232.0,0.8836540437964502,AtlasNet,Eig-MH-0.4,-0.4,PyTorch
mp2,41.004285311382,225.0,0.9699778136262326,AtlasNet,Eig-MH-0.4,-0.4,PyTorch
c2,93.99748429499454,221.0,0.898520322637882,AtlasNet,Eig-MH-0.5,-0.5,PyTorch
mp2,42.893380635714536,219.0,0.9747835215359304,AtlasNet,Eig-MH-0.5,-0.5,PyTorch
c2,95.09676494586475,206.0,0.9179562891150663,AtlasNet,Eig-MH-0.6,-0.6,PyTorch
mp2,44.454384523526045,212.0,0.9828909093198268,AtlasNet,Eig-MH-0.6,-0.6,PyTorch
c2,94.18654244794274,189.0,0.9425107417278276,AtlasNet,Eig-MH-0.7,-0.7,PyTorch
mp2,45.28708540737522,201.0,0.9949162298984824,AtlasNet,Eig-MH-0.7,-0.7,PyTorch
c2,91.08652774943079,169.0,0.9730938218307941,AtlasNet,Eig-MH-0.8,-0.8,PyTorch
mp2,45.068189106723615,187.0,1.0105640223941414,AtlasNet,Eig-MH-0.8,-0.8,PyTorch
c2,86.32473740244279,148.0,1.0093933623580915,AtlasNet,Eig-MH-0.9,-0.9,PyTorch
mp2,43.7598766656444,171.0,1.0313417535369658,AtlasNet,Eig-MH-0.9,-0.9,PyTorch
c2,80.8668793316983,128.0,1.0508129105984618,AtlasNet,Eig-MH-1.0,-1.0,PyTorch
mp2,41.69511037129676,152.0,1.0570236240181063,AtlasNet,Eig-MH-1.0,-1.0,PyTorch
c2,71.15915653952449,98.0,1.1433161780832861,AtlasNet,Eig-MH-1.2,-1.2,PyTorch
mp2,37.1111969708203,114.0,1.1168563483546345,AtlasNet,Eig-MH-1.2,-1.2,PyTorch
c2,64.96646090858492,83.0,1.239805157514228,AtlasNet,Eig-MH-1.4,-1.4,PyTorch
mp2,33.64462317699071,85.0,1.1785876601898928,AtlasNet,Eig-MH-1.4,-1.4,PyTorch
c2,61.632712168109954,75.0,1.3333348643633758,AtlasNet,Eig-MH-1.6,-1.6,PyTorch
mp2,31.54594656720063,68.0,1.2376265563162894,AtlasNet,Eig-MH-1.6,-1.6,PyTorch
c2,59.916384792597846,72.0,1.4199104512316025,AtlasNet,Eig-MH-1.8,-1.8,PyTorch
mp2,30.36129915283948,59.0,1.2904246938053172,AtlasNet,Eig-MH-1.8,-1.8,PyTorch
c2,58.99633815811514,70.0,1.4995564282518772,AtlasNet,Eig-MH-2,-2,PyTorch
mp2,29.705109926567882,53.0,1.338725943328688,AtlasNet,Eig-MH-2,-2,PyTorch
c2,58.448958936778354,69.0,1.572684550161054,AtlasNet,Eig-MH-2.2,-2.2,PyTorch
mp2,29.34077868689844,50.0,1.3829041514627392,AtlasNet,Eig-MH-2.2,-2.2,PyTorch
c2,58.07712661365878,68.0,1.6423494337601645,AtlasNet,Eig-MH-2.4,-2.4,PyTorch
mp2,29.134540576649368,48.0,1.4229600395075073,AtlasNet,Eig-MH-2.4,-2.4,PyTorch
c2,57.79472853964132,67.0,1.7082096880636013,AtlasNet,Eig-MH-2.6,-2.6,PyTorch
mp2,29.01282140887536,47.0,1.4605291325303345,AtlasNet,Eig-MH-2.6,-2.6,PyTorch
c2,57.5635041995275,67.0,1.7703150687030318,AtlasNet,Eig-MH-2.8,-2.8,PyTorch
mp2,28.936499638858876,46.0,1.4956791833416752,AtlasNet,Eig-MH-2.8,-2.8,PyTorch
c2,57.365716530725074,67.0,1.8306412971945958,AtlasNet,Eig-MH-3,-3,PyTorch
mp2,28.884822400345296,46.0,1.5286599251400006,AtlasNet,Eig-MH-3,-3,PyTorch
