layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.087780096872125,11.0,1.1034625856027784,AtlasNet,Eig-OLS-0.2,Untrained,PyTorch
mp2,2.087780096872125,11.0,1.1034625856027784,AtlasNet,Eig-OLS-0.2,Untrained,PyTorch
c2,2.0773805556618683,13.0,1.08807620926956,AtlasNet,Eig-OLS0,Untrained,PyTorch
mp2,2.0773805556618683,13.0,1.08807620926956,AtlasNet,Eig-OLS0,Untrained,PyTorch
c2,1.967492451783965,15.0,1.047707319597193,AtlasNet,Eig-OLS3,Untrained,PyTorch
mp2,1.967492451783965,15.0,1.047707319597193,AtlasNet,Eig-OLS3,Untrained,PyTorch
c2,2.084793223359699,7.0,1.1360583105017203,AtlasNet,Eig-OLS-0.4,Untrained,PyTorch
mp2,2.084793223359699,7.0,1.1360583105017203,AtlasNet,Eig-OLS-0.4,Untrained,PyTorch
c2,2.1751159067785264,8.0,1.1471665541800464,AtlasNet,Eig-OLS-0.5,Untrained,PyTorch
mp2,2.1751159067785264,8.0,1.1471665541800464,AtlasNet,Eig-OLS-0.5,Untrained,PyTorch
c2,2.100237926050124,6.0,1.1738707266138564,AtlasNet,Eig-OLS-0.6,Untrained,PyTorch
mp2,2.100237926050124,6.0,1.1738707266138564,AtlasNet,Eig-OLS-0.6,Untrained,PyTorch
c2,2.052629228206605,5.0,1.196088925405155,AtlasNet,Eig-OLS-0.7,Untrained,PyTorch
mp2,2.052629228206605,5.0,1.196088925405155,AtlasNet,Eig-OLS-0.7,Untrained,PyTorch
c2,1.9097711430406588,3.0,1.231278908843181,AtlasNet,Eig-OLS-0.8,Untrained,PyTorch
mp2,1.9097711430406588,3.0,1.231278908843181,AtlasNet,Eig-OLS-0.8,Untrained,PyTorch
c2,1.8662562769157067,3.0,1.2555496232407675,AtlasNet,Eig-OLS-0.9,Untrained,PyTorch
mp2,1.8662562769157067,3.0,1.2555496232407675,AtlasNet,Eig-OLS-0.9,Untrained,PyTorch
c2,1.7257280418364942,2.0,1.288830662429492,AtlasNet,Eig-OLS-1.0,Untrained,PyTorch
mp2,1.7257280418364942,2.0,1.288830662429492,AtlasNet,Eig-OLS-1.0,Untrained,PyTorch
c2,1.5569032638189664,2.0,1.3675236879090202,AtlasNet,Eig-OLS-1.2,Untrained,PyTorch
mp2,1.5569032638189664,2.0,1.3675236879090202,AtlasNet,Eig-OLS-1.2,Untrained,PyTorch
c2,1.4800791251643506,1.0,1.4512270232416173,AtlasNet,Eig-OLS-1.4,Untrained,PyTorch
mp2,1.4800791251643506,1.0,1.4512270232416173,AtlasNet,Eig-OLS-1.4,Untrained,PyTorch
c2,1.3795134311198334,1.0,1.536785744021994,AtlasNet,Eig-OLS-1.6,Untrained,PyTorch
mp2,1.3795134311198334,1.0,1.536785744021994,AtlasNet,Eig-OLS-1.6,Untrained,PyTorch
c2,1.3362796971367608,1.0,1.619563521226251,AtlasNet,Eig-OLS-1.8,Untrained,PyTorch
mp2,1.3362796971367608,1.0,1.619563521226251,AtlasNet,Eig-OLS-1.8,Untrained,PyTorch
c2,1.3139160054484351,1.0,1.6957607760875304,AtlasNet,Eig-OLS-2,Untrained,PyTorch
mp2,1.3139160054484351,1.0,1.6957607760875304,AtlasNet,Eig-OLS-2,Untrained,PyTorch
c2,1.2744316737481605,1.0,1.7666529063677676,AtlasNet,Eig-OLS-2.2,Untrained,PyTorch
mp2,1.2744316737481605,1.0,1.7666529063677676,AtlasNet,Eig-OLS-2.2,Untrained,PyTorch
c2,1.2804341258180616,1.0,1.8493500449462188,AtlasNet,Eig-OLS-2.4,Untrained,PyTorch
mp2,1.2804341258180616,1.0,1.8493500449462188,AtlasNet,Eig-OLS-2.4,Untrained,PyTorch
c2,1.1941597440341531,1.0,1.9354744986913508,AtlasNet,Eig-OLS-2.6,Untrained,PyTorch
mp2,1.1941597440341531,1.0,1.9354744986913508,AtlasNet,Eig-OLS-2.6,Untrained,PyTorch
c2,1.2179825473457808,1.0,2.000718979092464,AtlasNet,Eig-OLS-2.8,Untrained,PyTorch
mp2,1.2179825473457808,1.0,2.000718979092464,AtlasNet,Eig-OLS-2.8,Untrained,PyTorch
c2,1.1806758602644385,1.0,2.0873791335624476,AtlasNet,Eig-OLS-3,Untrained,PyTorch
mp2,1.1806758602644385,1.0,2.0873791335624476,AtlasNet,Eig-OLS-3,Untrained,PyTorch
