layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.087780096872125,11.0,1.1034625856027784,AtlasNet,Eig-Reg_-0.2,-0.2,PyTorch
mp2,2.087780096872125,11.0,1.1034625856027784,AtlasNet,Eig-Reg_-0.2,-0.2,PyTorch
c2,2.1012697842759334,10.0,1.1130043521275315,AtlasNet,Eig-Reg_-0.3,-0.3,PyTorch
mp2,2.1012697842759334,10.0,1.1130043521275315,AtlasNet,Eig-Reg_-0.3,-0.3,PyTorch
c2,2.113792505691519,8.0,1.1331947210751347,AtlasNet,Eig-Reg_-0.4,-0.4,PyTorch
mp2,2.113792505691519,8.0,1.1331947210751347,AtlasNet,Eig-Reg_-0.4,-0.4,PyTorch
c2,2.0912536603440186,6.0,1.1560698292768221,AtlasNet,Eig-Reg_-0.5,-0.5,PyTorch
mp2,2.0912536603440186,6.0,1.1560698292768221,AtlasNet,Eig-Reg_-0.5,-0.5,PyTorch
c2,2.157182545801324,7.0,1.1682467875501046,AtlasNet,Eig-Reg_-0.6,-0.6,PyTorch
mp2,2.157182545801324,7.0,1.1682467875501046,AtlasNet,Eig-Reg_-0.6,-0.6,PyTorch
c2,2.052168013477583,5.0,1.199183135074797,AtlasNet,Eig-Reg_-0.7,-0.7,PyTorch
mp2,2.052168013477583,5.0,1.199183135074797,AtlasNet,Eig-Reg_-0.7,-0.7,PyTorch
c2,1.9696254207097779,4.0,1.224311950044832,AtlasNet,Eig-Reg_-0.8,-0.8,PyTorch
mp2,1.9696254207097779,4.0,1.224311950044832,AtlasNet,Eig-Reg_-0.8,-0.8,PyTorch
c2,1.8034810133165722,2.0,1.2628365929086527,AtlasNet,Eig-Reg_-0.9,-0.9,PyTorch
mp2,1.8034810133165722,2.0,1.2628365929086527,AtlasNet,Eig-Reg_-0.9,-0.9,PyTorch
c2,1.754978715772254,2.0,1.288472111904127,AtlasNet,Eig-Reg_-1.0,-1.0,PyTorch
mp2,1.754978715772254,2.0,1.288472111904127,AtlasNet,Eig-Reg_-1.0,-1.0,PyTorch
c2,1.5541478200824268,2.0,1.3627481863821898,AtlasNet,Eig-Reg_-1.2,-1.2,PyTorch
mp2,1.5541478200824268,2.0,1.3627481863821898,AtlasNet,Eig-Reg_-1.2,-1.2,PyTorch
c2,1.4565152135645478,1.0,1.4513935633916952,AtlasNet,Eig-Reg_-1.4,-1.4,PyTorch
mp2,1.4565152135645478,1.0,1.4513935633916952,AtlasNet,Eig-Reg_-1.4,-1.4,PyTorch
c2,1.4019789576221453,1.0,1.5337321801632424,AtlasNet,Eig-Reg_-1.6,-1.6,PyTorch
mp2,1.4019789576221453,1.0,1.5337321801632424,AtlasNet,Eig-Reg_-1.6,-1.6,PyTorch
c2,1.3281859606780821,1.0,1.6207491422439435,AtlasNet,Eig-Reg_-1.8,-1.8,PyTorch
mp2,1.3281859606780821,1.0,1.6207491422439435,AtlasNet,Eig-Reg_-1.8,-1.8,PyTorch
c2,1.2971016293481878,1.0,1.7016352541488804,AtlasNet,Eig-Reg_-2,-2,PyTorch
mp2,1.2971016293481878,1.0,1.7016352541488804,AtlasNet,Eig-Reg_-2,-2,PyTorch
c2,1.280912908627008,1.0,1.7754467544579358,AtlasNet,Eig-Reg_-2.2,-2.2,PyTorch
mp2,1.280912908627008,1.0,1.7754467544579358,AtlasNet,Eig-Reg_-2.2,-2.2,PyTorch
c2,1.250912315522278,1.0,1.8437534346722773,AtlasNet,Eig-Reg_-2.4,-2.4,PyTorch
mp2,1.250912315522278,1.0,1.8437534346722773,AtlasNet,Eig-Reg_-2.4,-2.4,PyTorch
c2,1.2576355325339499,1.0,1.9238634231530791,AtlasNet,Eig-Reg_-2.6,-2.6,PyTorch
mp2,1.2576355325339499,1.0,1.9238634231530791,AtlasNet,Eig-Reg_-2.6,-2.6,PyTorch
c2,1.1815281381880054,1.0,2.007779328751925,AtlasNet,Eig-Reg_-2.8,-2.8,PyTorch
mp2,1.1815281381880054,1.0,2.007779328751925,AtlasNet,Eig-Reg_-2.8,-2.8,PyTorch
c2,1.2056253641403774,1.0,2.06989383570256,AtlasNet,Eig-Reg_-3,-3,PyTorch
mp2,1.2056253641403774,1.0,2.06989383570256,AtlasNet,Eig-Reg_-3,-3,PyTorch
