layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,101.48377183878567,321.0,0.7875228284369499,AtlasNet,Eig-Reg_-0.2,-0.2,PyTorch
mp2,36.498329364063416,292.0,0.8971203539658137,AtlasNet,Eig-Reg_-0.2,-0.2,PyTorch
c2,94.19938730070729,311.0,0.7980315433359263,AtlasNet,Eig-Reg_-0.3,-0.3,PyTorch
mp2,36.9870625652662,284.0,0.9077134514031401,AtlasNet,Eig-Reg_-0.3,-0.3,PyTorch
c2,94.81995107756907,301.0,0.8110803132153963,AtlasNet,Eig-Reg_-0.4,-0.4,PyTorch
mp2,37.47590389630222,278.0,0.9130486855984759,AtlasNet,Eig-Reg_-0.4,-0.4,PyTorch
c2,93.71031897522356,287.0,0.8301287362194208,AtlasNet,Eig-Reg_-0.5,-0.5,PyTorch
mp2,37.60412574212438,269.0,0.9223779451178823,AtlasNet,Eig-Reg_-0.5,-0.5,PyTorch
c2,89.95015875343243,270.0,0.8552163730681612,AtlasNet,Eig-Reg_-0.6,-0.6,PyTorch
mp2,37.098469774106135,256.0,0.9375311261284821,AtlasNet,Eig-Reg_-0.6,-0.6,PyTorch
c2,83.05140522095337,249.0,0.8865304804603832,AtlasNet,Eig-Reg_-0.7,-0.7,PyTorch
mp2,35.73024205228972,240.0,0.9591247587801116,AtlasNet,Eig-Reg_-0.7,-0.7,PyTorch
c2,73.57723131437491,224.0,0.9233439626188619,AtlasNet,Eig-Reg_-0.8,-0.8,PyTorch
mp2,33.4669832117656,219.0,0.9857366165330346,AtlasNet,Eig-Reg_-0.8,-0.8,PyTorch
c2,63.09303585035042,196.0,0.9651641727105299,AtlasNet,Eig-Reg_-0.9,-0.9,PyTorch
mp2,30.580336140433797,194.0,1.0167659882625175,AtlasNet,Eig-Reg_-0.9,-0.9,PyTorch
c2,53.27123602362276,167.0,1.011630254426516,AtlasNet,Eig-Reg_-1.0,-1.0,PyTorch
mp2,27.538511744813754,167.0,1.0506141982055444,AtlasNet,Eig-Reg_-1.0,-1.0,PyTorch
c2,38.794061146956,120.0,1.1122042982110327,AtlasNet,Eig-Reg_-1.2,-1.2,PyTorch
mp2,22.462547358921913,114.0,1.12398709092404,AtlasNet,Eig-Reg_-1.2,-1.2,PyTorch
c2,30.70319194377459,95.0,1.211561714468086,AtlasNet,Eig-Reg_-1.4,-1.4,PyTorch
mp2,19.355680836833322,80.0,1.1933408992304833,AtlasNet,Eig-Reg_-1.4,-1.4,PyTorch
c2,26.408069257858,83.0,1.3045052040133538,AtlasNet,Eig-Reg_-1.6,-1.6,PyTorch
mp2,17.70171646767709,63.0,1.255191415152155,AtlasNet,Eig-Reg_-1.6,-1.6,PyTorch
c2,24.069398557176374,78.0,1.3873279817882085,AtlasNet,Eig-Reg_-1.8,-1.8,PyTorch
mp2,16.857507265617716,54.0,1.3088901655823888,AtlasNet,Eig-Reg_-1.8,-1.8,PyTorch
c2,22.733266035881805,75.0,1.460349227643173,AtlasNet,Eig-Reg_-2,-2,PyTorch
mp2,16.432200481680724,49.0,1.35526856684351,AtlasNet,Eig-Reg_-2,-2,PyTorch
c2,21.925963968677575,73.0,1.524636549764288,AtlasNet,Eig-Reg_-2.2,-2.2,PyTorch
mp2,16.221415865655917,47.0,1.3964334418412725,AtlasNet,Eig-Reg_-2.2,-2.2,PyTorch
c2,21.409890573503365,72.0,1.584603171979736,AtlasNet,Eig-Reg_-2.4,-2.4,PyTorch
mp2,16.111917325992035,46.0,1.433803569117772,AtlasNet,Eig-Reg_-2.4,-2.4,PyTorch
c2,21.06056315837739,71.0,1.6410254691063173,AtlasNet,Eig-Reg_-2.6,-2.6,PyTorch
mp2,16.053493024358183,45.0,1.468142872964719,AtlasNet,Eig-Reg_-2.6,-2.6,PyTorch
c2,20.810144040077898,71.0,1.6943938220351118,AtlasNet,Eig-Reg_-2.8,-2.8,PyTorch
mp2,16.0173757051342,44.0,1.5000658247789567,AtlasNet,Eig-Reg_-2.8,-2.8,PyTorch
c2,20.62088054804306,71.0,1.7460202268529788,AtlasNet,Eig-Reg_-3,-3,PyTorch
mp2,15.992346731788249,44.0,1.5303397896799373,AtlasNet,Eig-Reg_-3,-3,PyTorch
