layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.1963043170459784,26.0,1.0956381484413895,AtlasNet,Vscale1_alpha-0.2,-0.2,1
mp2,2.1963043170459784,26.0,1.0956381484413895,AtlasNet,Vscale1_alpha-0.2,-0.2,1
c2,2.2093691183734916,26.0,1.1000666078725618,AtlasNet,Vscale1_alpha-0.3,-0.3,1
mp2,2.2093691183734916,26.0,1.1000666078725618,AtlasNet,Vscale1_alpha-0.3,-0.3,1
c2,2.2302356447638823,22.0,1.1152361590032194,AtlasNet,Vscale1_alpha-0.4,-0.4,1
mp2,2.2302356447638823,22.0,1.1152361590032194,AtlasNet,Vscale1_alpha-0.4,-0.4,1
c2,2.1915062390218947,16.0,1.132288561786437,AtlasNet,Vscale1_alpha-0.5,-0.5,1
mp2,2.1915062390218947,16.0,1.132288561786437,AtlasNet,Vscale1_alpha-0.5,-0.5,1
c2,2.2510369576272367,18.0,1.1341050852397967,AtlasNet,Vscale1_alpha-0.6,-0.6,1
mp2,2.2510369576272367,18.0,1.1341050852397967,AtlasNet,Vscale1_alpha-0.6,-0.6,1
c2,2.107001958538756,10.0,1.156801312707033,AtlasNet,Vscale1_alpha-0.7,-0.7,1
mp2,2.107001958538756,10.0,1.156801312707033,AtlasNet,Vscale1_alpha-0.7,-0.7,1
c2,2.006371852028359,7.0,1.179202146937443,AtlasNet,Vscale1_alpha-0.8,-0.8,1
mp2,2.006371852028359,7.0,1.179202146937443,AtlasNet,Vscale1_alpha-0.8,-0.8,1
c2,1.8117651802461092,3.0,1.2149660445963764,AtlasNet,Vscale1_alpha-0.9,-0.9,1
mp2,1.8117651802461092,3.0,1.2149660445963764,AtlasNet,Vscale1_alpha-0.9,-0.9,1
c2,1.7419895801854919,3.0,1.2370590695429313,AtlasNet,Vscale1_alpha-1.0,-1.0,1
mp2,1.7419895801854919,3.0,1.2370590695429313,AtlasNet,Vscale1_alpha-1.0,-1.0,1
c2,1.527520973026471,1.0,1.3066549099197518,AtlasNet,Vscale1_alpha-1.2,-1.2,1
mp2,1.527520973026471,1.0,1.3066549099197518,AtlasNet,Vscale1_alpha-1.2,-1.2,1
c2,1.4166344529799357,1.0,1.3993703694088007,AtlasNet,Vscale1_alpha-1.4,-1.4,1
mp2,1.4166344529799357,1.0,1.3993703694088007,AtlasNet,Vscale1_alpha-1.4,-1.4,1
c2,1.3569722000217497,1.0,1.490247530684213,AtlasNet,Vscale1_alpha-1.6,-1.6,1
mp2,1.3569722000217497,1.0,1.490247530684213,AtlasNet,Vscale1_alpha-1.6,-1.6,1
c2,1.300098171841724,1.0,1.5886006397096883,AtlasNet,Vscale1_alpha-1.8,-1.8,1
mp2,1.300098171841724,1.0,1.5886006397096883,AtlasNet,Vscale1_alpha-1.8,-1.8,1
c2,1.269641415268717,1.0,1.6730635549022852,AtlasNet,Vscale1_alpha-2,-2,1
