layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,92.07830248793373,251.0,0.8604225272223793,AtlasNet,Vscale1_alpha-0.2,-0.2,1
mp2,37.09810828048634,233.0,0.9612392691068327,AtlasNet,Vscale1_alpha-0.2,-0.2,1
c2,88.50315285390894,242.0,0.8733487188111999,AtlasNet,Vscale1_alpha-0.3,-0.3,1
mp2,39.104590581242874,228.0,0.9672130554293128,AtlasNet,Vscale1_alpha-0.3,-0.3,1
c2,91.5549252640806,232.0,0.8836540437964502,AtlasNet,Vscale1_alpha-0.4,-0.4,1
mp2,41.004285311382,225.0,0.9699778136262326,AtlasNet,Vscale1_alpha-0.4,-0.4,1
c2,93.99748429499454,221.0,0.898520322637882,AtlasNet,Vscale1_alpha-0.5,-0.5,1
mp2,42.893380635714536,219.0,0.9747835215359304,AtlasNet,Vscale1_alpha-0.5,-0.5,1
c2,95.09676494586475,206.0,0.9179562891150663,AtlasNet,Vscale1_alpha-0.6,-0.6,1
mp2,44.454384523526045,212.0,0.9828909093198268,AtlasNet,Vscale1_alpha-0.6,-0.6,1
c2,94.18654244794274,189.0,0.9425107417278276,AtlasNet,Vscale1_alpha-0.7,-0.7,1
mp2,45.28708540737522,201.0,0.9949162298984824,AtlasNet,Vscale1_alpha-0.7,-0.7,1
c2,91.08652774943079,169.0,0.9730938218307941,AtlasNet,Vscale1_alpha-0.8,-0.8,1
mp2,45.068189106723615,187.0,1.0105640223941414,AtlasNet,Vscale1_alpha-0.8,-0.8,1
c2,86.32473740244279,148.0,1.0093933623580915,AtlasNet,Vscale1_alpha-0.9,-0.9,1
mp2,43.7598766656444,171.0,1.0313417535369658,AtlasNet,Vscale1_alpha-0.9,-0.9,1
c2,80.8668793316983,128.0,1.0508129105984618,AtlasNet,Vscale1_alpha-1.0,-1.0,1
mp2,41.69511037129676,152.0,1.0570236240181063,AtlasNet,Vscale1_alpha-1.0,-1.0,1
c2,71.15915653952449,98.0,1.1433161780832861,AtlasNet,Vscale1_alpha-1.2,-1.2,1
mp2,37.1111969708203,114.0,1.1168563483546345,AtlasNet,Vscale1_alpha-1.2,-1.2,1
c2,64.96646090858492,83.0,1.239805157514228,AtlasNet,Vscale1_alpha-1.4,-1.4,1
mp2,33.64462317699071,85.0,1.1785876601898928,AtlasNet,Vscale1_alpha-1.4,-1.4,1
c2,61.632712168109954,75.0,1.3333348643633758,AtlasNet,Vscale1_alpha-1.6,-1.6,1
mp2,31.54594656720063,68.0,1.2376265563162894,AtlasNet,Vscale1_alpha-1.6,-1.6,1
c2,59.916384792597846,72.0,1.4199104512316025,AtlasNet,Vscale1_alpha-1.8,-1.8,1
mp2,30.36129915283948,59.0,1.2904246938053172,AtlasNet,Vscale1_alpha-1.8,-1.8,1
c2,58.99633815811514,70.0,1.4995564282518772,AtlasNet,Vscale1_alpha-2,-2,1
mp2,29.705109926567882,53.0,1.338725943328688,AtlasNet,Vscale1_alpha-2,-2,1
c2,58.448958936778354,69.0,1.572684550161054,AtlasNet,Vscale1_alpha-2.2,-2.2,1
mp2,29.34077868689844,50.0,1.3829041514627392,AtlasNet,Vscale1_alpha-2.2,-2.2,1
c2,58.07712661365878,68.0,1.6423494337601645,AtlasNet,Vscale1_alpha-2.4,-2.4,1
mp2,29.134540576649368,48.0,1.4229600395075073,AtlasNet,Vscale1_alpha-2.4,-2.4,1
c2,57.79472853964132,67.0,1.7082096880636013,AtlasNet,Vscale1_alpha-2.6,-2.6,1
mp2,29.01282140887536,47.0,1.4605291325303345,AtlasNet,Vscale1_alpha-2.6,-2.6,1
c2,57.5635041995275,67.0,1.7703150687030318,AtlasNet,Vscale1_alpha-2.8,-2.8,1
mp2,28.936499638858876,46.0,1.4956791833416752,AtlasNet,Vscale1_alpha-2.8,-2.8,1
c2,57.365716530725074,67.0,1.8306412971945958,AtlasNet,Vscale1_alpha-3,-3,1
mp2,28.884822400345296,46.0,1.5286599251400006,AtlasNet,Vscale1_alpha-3,-3,1
c2,85.36115574970485,249.0,0.8660422473220889,AtlasNet,Vscale2_alpha-0.2,-0.2,2
mp2,37.36605949076689,231.0,0.9662641497996487,AtlasNet,Vscale2_alpha-0.2,-0.2,2
c2,88.50315313467914,242.0,0.8733487181443378,AtlasNet,Vscale2_alpha-0.3,-0.3,2
mp2,39.104590681981705,228.0,0.9672130549694185,AtlasNet,Vscale2_alpha-0.3,-0.3,2
c2,91.55492509634273,232.0,0.8836540440244638,AtlasNet,Vscale2_alpha-0.4,-0.4,2
mp2,41.00428513216565,225.0,0.9699778136217535,AtlasNet,Vscale2_alpha-0.4,-0.4,2
c2,93.99748380581774,221.0,0.8985203230679595,AtlasNet,Vscale2_alpha-0.5,-0.5,2
mp2,42.8933805053309,219.0,0.9747835214918703,AtlasNet,Vscale2_alpha-0.5,-0.5,2
c2,95.09676500999235,206.0,0.9179562887575912,AtlasNet,Vscale2_alpha-0.6,-0.6,2
mp2,44.45438457271869,212.0,0.9828909094510868,AtlasNet,Vscale2_alpha-0.6,-0.6,2
c2,94.1865424764153,189.0,0.9425107421232259,AtlasNet,Vscale2_alpha-0.7,-0.7,2
mp2,45.287085441399476,201.0,0.9949162299728639,AtlasNet,Vscale2_alpha-0.7,-0.7,2
c2,91.08652760806868,169.0,0.9730938219144593,AtlasNet,Vscale2_alpha-0.8,-0.8,2
mp2,45.06818930547677,187.0,1.010564021888286,AtlasNet,Vscale2_alpha-0.8,-0.8,2
c2,86.32473736036454,148.0,1.0093933626502174,AtlasNet,Vscale2_alpha-0.9,-0.9,2
mp2,43.75987639102907,171.0,1.0313417540049252,AtlasNet,Vscale2_alpha-0.9,-0.9,2
c2,80.86687936726871,128.0,1.0508129113045879,AtlasNet,Vscale2_alpha-1.0,-1.0,2
mp2,41.695110477819775,152.0,1.0570236235520964,AtlasNet,Vscale2_alpha-1.0,-1.0,2
c2,71.15915661865107,98.0,1.1433161775778442,AtlasNet,Vscale2_alpha-1.2,-1.2,2
mp2,37.11119704165867,114.0,1.116856348012852,AtlasNet,Vscale2_alpha-1.2,-1.2,2
c2,64.96646086522887,83.0,1.2398051566037367,AtlasNet,Vscale2_alpha-1.4,-1.4,2
mp2,33.644623117888905,85.0,1.178587660646184,AtlasNet,Vscale2_alpha-1.4,-1.4,2
c2,61.63271216029225,75.0,1.3333348649919525,AtlasNet,Vscale2_alpha-1.6,-1.6,2
mp2,31.54594661676407,68.0,1.2376265553882229,AtlasNet,Vscale2_alpha-1.6,-1.6,2
c2,59.91638486566396,72.0,1.4199104516650607,AtlasNet,Vscale2_alpha-1.8,-1.8,2
mp2,30.361299096841755,59.0,1.2904246950547342,AtlasNet,Vscale2_alpha-1.8,-1.8,2
c2,58.99633811180951,70.0,1.4995564237527825,AtlasNet,Vscale2_alpha-2,-2,2
mp2,29.70510992529333,53.0,1.3387259430515075,AtlasNet,Vscale2_alpha-2,-2,2
c2,58.44895892823528,69.0,1.57268454708398,AtlasNet,Vscale2_alpha-2.2,-2.2,2
mp2,29.340778727880956,50.0,1.3829041519203558,AtlasNet,Vscale2_alpha-2.2,-2.2,2
c2,58.07712666542,68.0,1.6423494436111514,AtlasNet,Vscale2_alpha-2.4,-2.4,2
mp2,29.134540560589308,48.0,1.4229600396239428,AtlasNet,Vscale2_alpha-2.4,-2.4,2
c2,57.79472861054229,67.0,1.7082097025376461,AtlasNet,Vscale2_alpha-2.6,-2.6,2
mp2,29.012821404715773,47.0,1.4605291307673904,AtlasNet,Vscale2_alpha-2.6,-2.6,2
c2,57.56350418737797,67.0,1.7703150749286203,AtlasNet,Vscale2_alpha-2.8,-2.8,2
mp2,28.936499632296236,46.0,1.49567918548898,AtlasNet,Vscale2_alpha-2.8,-2.8,2
c2,57.365716491507804,67.0,1.830641291912731,AtlasNet,Vscale2_alpha-3,-3,2
mp2,28.884822361713503,46.0,1.5286599249287296,AtlasNet,Vscale2_alpha-3,-3,2
c2,85.35811301773937,249.0,0.8660471598539684,AtlasNet,Vscale5_alpha-0.2,-0.2,5
mp2,37.36579401712576,231.0,0.9662641555710092,AtlasNet,Vscale5_alpha-0.2,-0.2,5
c2,88.498428856537,242.0,0.8733543260751317,AtlasNet,Vscale5_alpha-0.3,-0.3,5
mp2,39.10385154054751,228.0,0.9672150823363443,AtlasNet,Vscale5_alpha-0.3,-0.3,5
c2,91.55598218066504,232.0,0.8836550336082527,AtlasNet,Vscale5_alpha-0.4,-0.4,5
mp2,41.004439634309946,225.0,0.9699790119254637,AtlasNet,Vscale5_alpha-0.4,-0.4,5
c2,93.99783334193278,221.0,0.8985199493770326,AtlasNet,Vscale5_alpha-0.5,-0.5,5
mp2,42.89192282797262,219.0,0.9747852171499795,AtlasNet,Vscale5_alpha-0.5,-0.5,5
c2,95.09604758527567,206.0,0.9179606187256497,AtlasNet,Vscale5_alpha-0.6,-0.6,5
mp2,44.45456896825507,212.0,0.982889530780325,AtlasNet,Vscale5_alpha-0.6,-0.6,5
c2,94.18539456299935,189.0,0.9425081169885973,AtlasNet,Vscale5_alpha-0.7,-0.7,5
mp2,45.28801848671266,201.0,0.994916948380033,AtlasNet,Vscale5_alpha-0.7,-0.7,5
c2,91.08892299949774,169.0,0.9730926217260617,AtlasNet,Vscale5_alpha-0.8,-0.8,5
mp2,45.06826752627411,187.0,1.010561427055016,AtlasNet,Vscale5_alpha-0.8,-0.8,5
c2,86.32260608391513,148.0,1.0093985203695992,AtlasNet,Vscale5_alpha-0.9,-0.9,5
mp2,43.75868779292724,171.0,1.0313456969066297,AtlasNet,Vscale5_alpha-0.9,-0.9,5
c2,80.86758356683548,128.0,1.0508085330423749,AtlasNet,Vscale5_alpha-1.0,-1.0,5
mp2,41.69517389602934,152.0,1.0570223981887437,AtlasNet,Vscale5_alpha-1.0,-1.0,5
c2,71.15780578628421,98.0,1.1433174659373742,AtlasNet,Vscale5_alpha-1.2,-1.2,5
mp2,37.11132921528138,114.0,1.1168564213531358,AtlasNet,Vscale5_alpha-1.2,-1.2,5
c2,64.96518019679594,83.0,1.2398077106009702,AtlasNet,Vscale5_alpha-1.4,-1.4,5
mp2,33.64386884852262,85.0,1.1785922049989312,AtlasNet,Vscale5_alpha-1.4,-1.4,5
c2,61.6315519301487,75.0,1.3333315485481816,AtlasNet,Vscale5_alpha-1.6,-1.6,5
mp2,31.545015014848943,68.0,1.2376346294552925,AtlasNet,Vscale5_alpha-1.6,-1.6,5
c2,59.91548631431595,72.0,1.4199092853289612,AtlasNet,Vscale5_alpha-1.8,-1.8,5
mp2,30.360456555125932,59.0,1.290431452179676,AtlasNet,Vscale5_alpha-1.8,-1.8,5
c2,58.995242231054085,70.0,1.4995591733858726,AtlasNet,Vscale5_alpha-2,-2,5
mp2,29.70423256111636,53.0,1.3387352161933745,AtlasNet,Vscale5_alpha-2,-2,5
c2,58.44778286094456,69.0,1.5726797420758671,AtlasNet,Vscale5_alpha-2.2,-2.2,5
mp2,29.339591055949956,50.0,1.3829086516359084,AtlasNet,Vscale5_alpha-2.2,-2.2,5
c2,58.07627558944737,68.0,1.6423530123900196,AtlasNet,Vscale5_alpha-2.4,-2.4,5
mp2,29.13400315554623,48.0,1.4229663201023106,AtlasNet,Vscale5_alpha-2.4,-2.4,5
c2,57.79426340052953,67.0,1.7082075629742517,AtlasNet,Vscale5_alpha-2.6,-2.6,5
mp2,29.011580110665733,47.0,1.460534657944841,AtlasNet,Vscale5_alpha-2.6,-2.6,5
c2,57.562170149336524,67.0,1.7703107452224651,AtlasNet,Vscale5_alpha-2.8,-2.8,5
mp2,28.93536134757349,46.0,1.4956878414362234,AtlasNet,Vscale5_alpha-2.8,-2.8,5
c2,57.36477300335637,67.0,1.830640637123149,AtlasNet,Vscale5_alpha-3,-3,5
mp2,28.8838136574593,46.0,1.5286734145059993,AtlasNet,Vscale5_alpha-3,-3,5
c2,85.35811281269653,249.0,0.8660471596297091,AtlasNet,Vscale10_alpha-0.2,-0.2,10
mp2,37.365793865027406,231.0,0.9662641557184645,AtlasNet,Vscale10_alpha-0.2,-0.2,10
c2,88.49842911287207,242.0,0.8733543255828625,AtlasNet,Vscale10_alpha-0.3,-0.3,10
mp2,39.103851610119705,228.0,0.9672150819169103,AtlasNet,Vscale10_alpha-0.3,-0.3,10
c2,91.55598199167632,232.0,0.8836550335800922,AtlasNet,Vscale10_alpha-0.4,-0.4,10
mp2,41.0044394891964,225.0,0.9699790125931236,AtlasNet,Vscale10_alpha-0.4,-0.4,10
c2,93.99783342316773,221.0,0.8985199489783966,AtlasNet,Vscale10_alpha-0.5,-0.5,10
mp2,42.891923009667046,219.0,0.9747852167329881,AtlasNet,Vscale10_alpha-0.5,-0.5,10
c2,95.09604757450596,206.0,0.9179606188854114,AtlasNet,Vscale10_alpha-0.6,-0.6,10
mp2,44.454568699711764,212.0,0.9828895314296087,AtlasNet,Vscale10_alpha-0.6,-0.6,10
c2,94.1853946072591,189.0,0.9425081167567185,AtlasNet,Vscale10_alpha-0.7,-0.7,10
mp2,45.288018471936034,201.0,0.9949169484599648,AtlasNet,Vscale10_alpha-0.7,-0.7,10
c2,91.0889229545393,169.0,0.9730926216108067,AtlasNet,Vscale10_alpha-0.8,-0.8,10
mp2,45.0682673945211,187.0,1.0105614274300656,AtlasNet,Vscale10_alpha-0.8,-0.8,10
c2,86.3226062747062,148.0,1.0093985204787201,AtlasNet,Vscale10_alpha-0.9,-0.9,10
mp2,43.75868789760486,171.0,1.0313456968251917,AtlasNet,Vscale10_alpha-0.9,-0.9,10
c2,80.86758374753995,128.0,1.050808532781911,AtlasNet,Vscale10_alpha-1.0,-1.0,10
mp2,41.69517410973798,152.0,1.0570223977850395,AtlasNet,Vscale10_alpha-1.0,-1.0,10
c2,71.15780574664836,98.0,1.143317466215089,AtlasNet,Vscale10_alpha-1.2,-1.2,10
mp2,37.11132921605258,114.0,1.1168564218362305,AtlasNet,Vscale10_alpha-1.2,-1.2,10
c2,64.9651801548349,83.0,1.2398077102380505,AtlasNet,Vscale10_alpha-1.4,-1.4,10
mp2,33.64386881362892,85.0,1.1785922056537848,AtlasNet,Vscale10_alpha-1.4,-1.4,10
c2,61.6315519550201,75.0,1.3333315476713425,AtlasNet,Vscale10_alpha-1.6,-1.6,10
mp2,31.545015006405258,68.0,1.2376346287969389,AtlasNet,Vscale10_alpha-1.6,-1.6,10
c2,59.915486357130746,72.0,1.4199092866570675,AtlasNet,Vscale10_alpha-1.8,-1.8,10
mp2,30.36045648460193,59.0,1.290431453418983,AtlasNet,Vscale10_alpha-1.8,-1.8,10
c2,58.995242202210484,70.0,1.4995591740153833,AtlasNet,Vscale10_alpha-2,-2,10
mp2,29.704232567876822,53.0,1.338735217033783,AtlasNet,Vscale10_alpha-2,-2,10
c2,58.44778280465003,69.0,1.5726797418088647,AtlasNet,Vscale10_alpha-2.2,-2.2,10
mp2,29.339591055478394,50.0,1.3829086516355196,AtlasNet,Vscale10_alpha-2.2,-2.2,10
c2,58.07627561884992,68.0,1.6423530205742936,AtlasNet,Vscale10_alpha-2.4,-2.4,10
mp2,29.134003115836183,48.0,1.422966319446813,AtlasNet,Vscale10_alpha-2.4,-2.4,10
c2,57.79426343927098,67.0,1.7082075800323835,AtlasNet,Vscale10_alpha-2.6,-2.6,10
mp2,29.011580122586786,47.0,1.4605346578146268,AtlasNet,Vscale10_alpha-2.6,-2.6,10
c2,57.56217015700151,67.0,1.7703107502138882,AtlasNet,Vscale10_alpha-2.8,-2.8,10
mp2,28.935361312461925,46.0,1.4956878397998776,AtlasNet,Vscale10_alpha-2.8,-2.8,10
c2,57.364772964735934,67.0,1.8306406571508689,AtlasNet,Vscale10_alpha-3,-3,10
mp2,28.883813654532034,46.0,1.528673413228551,AtlasNet,Vscale10_alpha-3,-3,10
c2,85.35811266577849,249.0,0.8660471600618924,AtlasNet,Vscale20_alpha-0.2,-0.2,20
mp2,37.36579401618162,231.0,0.9662641557250619,AtlasNet,Vscale20_alpha-0.2,-0.2,20
c2,88.49842881838262,242.0,0.8733543263126715,AtlasNet,Vscale20_alpha-0.3,-0.3,20
mp2,39.10385152324422,228.0,0.967215082231138,AtlasNet,Vscale20_alpha-0.3,-0.3,20
c2,91.55598221177821,232.0,0.8836550334260959,AtlasNet,Vscale20_alpha-0.4,-0.4,20
mp2,41.004439577023795,225.0,0.9699790121419818,AtlasNet,Vscale20_alpha-0.4,-0.4,20
c2,93.99783378801631,221.0,0.8985199485268981,AtlasNet,Vscale20_alpha-0.5,-0.5,20
mp2,42.89192308902214,219.0,0.9747852162760088,AtlasNet,Vscale20_alpha-0.5,-0.5,20
c2,95.09604773095508,206.0,0.9179606185211593,AtlasNet,Vscale20_alpha-0.6,-0.6,20
mp2,44.45456889901118,212.0,0.9828895307429171,AtlasNet,Vscale20_alpha-0.6,-0.6,20
c2,94.1853943349289,189.0,0.9425081170497762,AtlasNet,Vscale20_alpha-0.7,-0.7,20
mp2,45.288018323787746,201.0,0.9949169488127156,AtlasNet,Vscale20_alpha-0.7,-0.7,20
c2,91.08892300028941,169.0,0.9730926215738203,AtlasNet,Vscale20_alpha-0.8,-0.8,20
mp2,45.06826755851162,187.0,1.0105614267646132,AtlasNet,Vscale20_alpha-0.8,-0.8,20
c2,86.3226062739171,148.0,1.0093985207296237,AtlasNet,Vscale20_alpha-0.9,-0.9,20
mp2,43.758687830741806,171.0,1.0313456968998762,AtlasNet,Vscale20_alpha-0.9,-0.9,20
c2,80.86758364438536,128.0,1.050808532707508,AtlasNet,Vscale20_alpha-1.0,-1.0,20
mp2,41.695173973081246,152.0,1.057022398004363,AtlasNet,Vscale20_alpha-1.0,-1.0,20
c2,71.1578057547326,98.0,1.1433174665978827,AtlasNet,Vscale20_alpha-1.2,-1.2,20
mp2,37.11132926276555,114.0,1.1168564218168164,AtlasNet,Vscale20_alpha-1.2,-1.2,20
c2,64.96518018919755,83.0,1.2398077106980347,AtlasNet,Vscale20_alpha-1.4,-1.4,20
mp2,33.64386877499244,85.0,1.1785922052157205,AtlasNet,Vscale20_alpha-1.4,-1.4,20
c2,61.63155191589524,75.0,1.333331548593247,AtlasNet,Vscale20_alpha-1.6,-1.6,20
mp2,31.545014920636273,68.0,1.2376346302738466,AtlasNet,Vscale20_alpha-1.6,-1.6,20
c2,59.91548634104176,72.0,1.4199092841037888,AtlasNet,Vscale20_alpha-1.8,-1.8,20
mp2,30.360456558518262,59.0,1.2904314520051525,AtlasNet,Vscale20_alpha-1.8,-1.8,20
c2,58.99524221278605,70.0,1.4995591713662693,AtlasNet,Vscale20_alpha-2,-2,20
mp2,29.704232496803968,53.0,1.3387352159812547,AtlasNet,Vscale20_alpha-2,-2,20
c2,58.44778286881711,69.0,1.572679745111513,AtlasNet,Vscale20_alpha-2.2,-2.2,20
mp2,29.3395910396706,50.0,1.3829086518682654,AtlasNet,Vscale20_alpha-2.2,-2.2,20
c2,58.07627563918826,68.0,1.6423530180706782,AtlasNet,Vscale20_alpha-2.4,-2.4,20
mp2,29.134003136050797,48.0,1.4229663207778667,AtlasNet,Vscale20_alpha-2.4,-2.4,20
