layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.1427870134680194,8.0,1.1837683691451493,AtlasNet,Eig-0.2_filters100,Untrained,PyTorch
mp2,2.1427870134680194,8.0,1.1837683691451493,AtlasNet,Eig-0.2_filters100,Untrained,PyTorch
c2,2.0592360480607272,7.0,1.18649000265692,AtlasNet,Eig-0.4_filters100,Untrained,PyTorch
mp2,2.0592360480607272,7.0,1.18649000265692,AtlasNet,Eig-0.4_filters100,Untrained,PyTorch
c2,1.9975871413121353,7.0,1.176106591535652,AtlasNet,Eig-0.6_filters100,Untrained,PyTorch
mp2,1.9975871413121353,7.0,1.176106591535652,AtlasNet,Eig-0.6_filters100,Untrained,PyTorch
c2,2.0023645217073804,6.0,1.2271362030404704,AtlasNet,Eig-0.8_filters100,Untrained,PyTorch
mp2,2.0023645217073804,6.0,1.2271362030404704,AtlasNet,Eig-0.8_filters100,Untrained,PyTorch
c2,2.0850459706515707,6.0,1.2449129388246425,AtlasNet,Eig-1.0_filters100,Untrained,PyTorch
mp2,2.0850459706515707,6.0,1.2449129388246425,AtlasNet,Eig-1.0_filters100,Untrained,PyTorch
c2,1.876571458500879,4.0,1.263812337999294,AtlasNet,Eig-1.2_filters100,Untrained,PyTorch
mp2,1.876571458500879,4.0,1.263812337999294,AtlasNet,Eig-1.2_filters100,Untrained,PyTorch
c2,2.08769885099801,4.0,1.3725479194361039,AtlasNet,Eig-1.4_filters100,Untrained,PyTorch
mp2,2.08769885099801,4.0,1.3725479194361039,AtlasNet,Eig-1.4_filters100,Untrained,PyTorch
c2,1.3315800504233166,1.0,2.3294945730012455,AtlasNet,Eig-3.6_filters100,Untrained,PyTorch
mp2,1.3315800504233166,1.0,2.3294945730012455,AtlasNet,Eig-3.6_filters100,Untrained,PyTorch
c2,1.4067623365712367,1.0,1.9812440295365223,AtlasNet,Eig-3_filters100,Untrained,PyTorch
mp2,1.4067623365712367,1.0,1.9812440295365223,AtlasNet,Eig-3_filters100,Untrained,PyTorch
c2,2.0947131021662058,14.0,1.0885841504774472,AtlasNet,Eig-0.2_filters1000,Untrained,PyTorch
mp2,2.0947131021662058,14.0,1.0885841504774472,AtlasNet,Eig-0.2_filters1000,Untrained,PyTorch
c2,2.055263056068262,10.0,1.0934023684172074,AtlasNet,Eig-0.4_filters1000,Untrained,PyTorch
mp2,2.055263056068262,10.0,1.0934023684172074,AtlasNet,Eig-0.4_filters1000,Untrained,PyTorch
c2,2.058571258804326,12.0,1.0878175664590164,AtlasNet,Eig-0.6_filters1000,Untrained,PyTorch
mp2,2.058571258804326,12.0,1.0878175664590164,AtlasNet,Eig-0.6_filters1000,Untrained,PyTorch
c2,2.0317894957607563,11.0,1.0886818981266682,AtlasNet,Eig-0.8_filters1000,Untrained,PyTorch
mp2,2.0317894957607563,11.0,1.0886818981266682,AtlasNet,Eig-0.8_filters1000,Untrained,PyTorch
c2,2.0048033517543793,8.0,1.1160649739709645,AtlasNet,Eig-1.0_filters1000,Untrained,PyTorch
mp2,2.0048033517543793,8.0,1.1160649739709645,AtlasNet,Eig-1.0_filters1000,Untrained,PyTorch
c2,2.0199277116679104,11.0,1.1019900015720527,AtlasNet,Eig-1.2_filters1000,Untrained,PyTorch
mp2,2.0199277116679104,11.0,1.1019900015720527,AtlasNet,Eig-1.2_filters1000,Untrained,PyTorch
c2,2.0582617284450957,5.0,1.199846097554461,AtlasNet,Eig-1.4_filters1000,Untrained,PyTorch
mp2,2.0582617284450957,5.0,1.199846097554461,AtlasNet,Eig-1.4_filters1000,Untrained,PyTorch
c2,1.42901944530188,1.0,2.0518033214208704,AtlasNet,Eig-3.6_filters1000,Untrained,PyTorch
mp2,1.42901944530188,1.0,2.0518033214208704,AtlasNet,Eig-3.6_filters1000,Untrained,PyTorch
c2,1.4423756036971938,1.0,1.7526603487770258,AtlasNet,Eig-3_filters1000,Untrained,PyTorch
mp2,1.4423756036971938,1.0,1.7526603487770258,AtlasNet,Eig-3_filters1000,Untrained,PyTorch
c2,2.081699168619088,14.0,1.3541191436385258,AtlasNet,Eig-0.2_filters10000,Untrained,PyTorch
mp2,2.081699168619088,14.0,1.3541191436385258,AtlasNet,Eig-0.2_filters10000,Untrained,PyTorch
c2,2.0817966008590805,13.0,1.4826574967650912,AtlasNet,Eig-0.4_filters10000,Untrained,PyTorch
mp2,2.0817966008590805,13.0,1.4826574967650912,AtlasNet,Eig-0.4_filters10000,Untrained,PyTorch
c2,2.0784949323554196,14.0,1.410717144489735,AtlasNet,Eig-0.6_filters10000,Untrained,PyTorch
mp2,2.0784949323554196,14.0,1.410717144489735,AtlasNet,Eig-0.6_filters10000,Untrained,PyTorch
c2,2.046514256092831,12.0,1.3545823007994058,AtlasNet,Eig-0.8_filters10000,Untrained,PyTorch
mp2,2.046514256092831,12.0,1.3545823007994058,AtlasNet,Eig-0.8_filters10000,Untrained,PyTorch
c2,2.0610332542137555,14.0,1.3545215680788485,AtlasNet,Eig-1.0_filters10000,Untrained,PyTorch
mp2,2.0610332542137555,14.0,1.3545215680788485,AtlasNet,Eig-1.0_filters10000,Untrained,PyTorch
c2,2.0016670325779846,10.0,1.4221362212579525,AtlasNet,Eig-1.2_filters10000,Untrained,PyTorch
mp2,2.0016670325779846,10.0,1.4221362212579525,AtlasNet,Eig-1.2_filters10000,Untrained,PyTorch
c2,2.16356602809067,3.0,1.5698710205274662,AtlasNet,Eig-1.4_filters10000,Untrained,PyTorch
mp2,2.16356602809067,3.0,1.5698710205274662,AtlasNet,Eig-1.4_filters10000,Untrained,PyTorch
c2,1.343986155279954,1.0,2.130678629311804,AtlasNet,Eig-3.6_filters10000,Untrained,PyTorch
mp2,1.343986155279954,1.0,2.130678629311804,AtlasNet,Eig-3.6_filters10000,Untrained,PyTorch
c2,1.677207071463948,2.0,1.996374056365548,AtlasNet,Eig-3_filters10000,Untrained,PyTorch
mp2,1.677207071463948,2.0,1.996374056365548,AtlasNet,Eig-3_filters10000,Untrained,PyTorch
