layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,112.69350465355988,335.0,0.7699229400499726,AtlasNet,Eig-0.2_filters100,nf:100,PyTorch
mp2,43.01545041098629,299.0,0.8798283390021878,AtlasNet,Eig-0.2_filters100,nf:100,PyTorch
c2,118.911876696727,337.0,0.7583309854656269,AtlasNet,Eig-0.4_filters100,nf:100,PyTorch
mp2,56.48335901916345,312.0,0.8526426445977989,AtlasNet,Eig-0.4_filters100,nf:100,PyTorch
c2,129.4446325005866,339.0,0.7510020126866445,AtlasNet,Eig-0.6_filters100,nf:100,PyTorch
mp2,58.90980135117275,314.0,0.8470840267751656,AtlasNet,Eig-0.6_filters100,nf:100,PyTorch
c2,144.9359171072561,339.0,0.7417809417190029,AtlasNet,Eig-0.8_filters100,nf:100,PyTorch
mp2,62.03667389087104,314.0,0.8421275925038345,AtlasNet,Eig-0.8_filters100,nf:100,PyTorch
c2,165.2456244920723,336.0,0.7321830202035488,AtlasNet,Eig-1.0_filters100,nf:100,PyTorch
mp2,65.37840190880948,311.0,0.8388762217187743,AtlasNet,Eig-1.0_filters100,nf:100,PyTorch
c2,187.61950725018053,329.0,0.7248792238448771,AtlasNet,Eig-1.2_filters100,nf:100,PyTorch
mp2,68.13326230613647,302.0,0.8408389558117244,AtlasNet,Eig-1.2_filters100,nf:100,PyTorch
c2,206.8640694383808,317.0,0.7224449357114962,AtlasNet,Eig-1.4_filters100,nf:100,PyTorch
mp2,69.6039509696024,286.0,0.8485722657181732,AtlasNet,Eig-1.4_filters100,nf:100,PyTorch
c2,182.0651841699473,204.0,0.8693158596061915,AtlasNet,Eig-3.6_filters100,nf:100,PyTorch
mp2,59.90144436802322,133.0,1.0877312296564174,AtlasNet,Eig-3.6_filters100,nf:100,PyTorch
c2,193.6298967449185,220.0,0.821639416519205,AtlasNet,Eig-3_filters100,nf:100,PyTorch
mp2,61.697151914709394,152.0,1.0202439148250853,AtlasNet,Eig-3_filters100,nf:100,PyTorch
c2,98.76629272195548,334.0,0.7779715403660348,AtlasNet,Eig-0.2_filters1000,nf:1000,PyTorch
mp2,34.890894559086966,298.0,0.8936474171815776,AtlasNet,Eig-0.2_filters1000,nf:1000,PyTorch
c2,86.51853853199249,328.0,0.7925076150949433,AtlasNet,Eig-0.4_filters1000,nf:1000,PyTorch
mp2,33.79315262254256,293.0,0.9005097113368752,AtlasNet,Eig-0.4_filters1000,nf:1000,PyTorch
c2,80.33941041158825,324.0,0.8004374492322406,AtlasNet,Eig-0.6_filters1000,nf:1000,PyTorch
mp2,32.813085834425564,288.0,0.9076556374466612,AtlasNet,Eig-0.6_filters1000,nf:1000,PyTorch
c2,71.04842140578485,317.0,0.8152154654075863,AtlasNet,Eig-0.8_filters1000,nf:1000,PyTorch
mp2,30.97936925541701,277.0,0.920825047435632,AtlasNet,Eig-0.8_filters1000,nf:1000,PyTorch
c2,60.09479451380102,303.0,0.8385710027270437,AtlasNet,Eig-1.0_filters1000,nf:1000,PyTorch
mp2,28.274882436390484,258.0,0.9431382249674086,AtlasNet,Eig-1.0_filters1000,nf:1000,PyTorch
c2,50.30183962062649,283.0,0.8684836300389915,AtlasNet,Eig-1.2_filters1000,nf:1000,PyTorch
mp2,25.337374956901083,231.0,0.9730181843501148,AtlasNet,Eig-1.2_filters1000,nf:1000,PyTorch
c2,43.214819163536646,260.0,0.9008061006790704,AtlasNet,Eig-1.4_filters1000,nf:1000,PyTorch
mp2,22.86466342493417,201.0,1.0049472460972133,AtlasNet,Eig-1.4_filters1000,nf:1000,PyTorch
c2,26.078568327099667,145.0,1.1397706287001688,AtlasNet,Eig-3.6_filters1000,nf:1000,PyTorch
mp2,15.032314648416891,82.0,1.3016986466570204,AtlasNet,Eig-3.6_filters1000,nf:1000,PyTorch
c2,27.6760351352788,159.0,1.0887956569200998,AtlasNet,Eig-3_filters1000,nf:1000,PyTorch
mp2,15.893337814586054,93.0,1.2274544731239163,AtlasNet,Eig-3_filters1000,nf:1000,PyTorch
c2,90.02984698766811,331.0,0.7806528359950962,AtlasNet,Eig-0.2_filters10000,nf:10000,PyTorch
mp2,41.280540529401456,302.0,0.8897578615325835,AtlasNet,Eig-0.2_filters10000,nf:10000,PyTorch
c2,96.48850964916704,332.0,0.7800992595271145,AtlasNet,Eig-0.4_filters10000,nf:10000,PyTorch
mp2,33.035736399518896,294.0,0.8996722147991493,AtlasNet,Eig-0.4_filters10000,nf:10000,PyTorch
c2,97.39143734345738,331.0,0.7789951259242887,AtlasNet,Eig-0.6_filters10000,nf:10000,PyTorch
mp2,33.68856137630077,295.0,0.8983853562744322,AtlasNet,Eig-0.6_filters10000,nf:10000,PyTorch
c2,100.969680877346,330.0,0.7757449923340426,AtlasNet,Eig-0.8_filters10000,nf:10000,PyTorch
mp2,34.87583232940844,296.0,0.8961837414923864,AtlasNet,Eig-0.8_filters10000,nf:10000,PyTorch
c2,109.23107596070136,325.0,0.7712920509463774,AtlasNet,Eig-1.0_filters10000,nf:10000,PyTorch
mp2,36.71750434826596,293.0,0.8945584557483928,AtlasNet,Eig-1.0_filters10000,nf:10000,PyTorch
c2,121.8846377285624,314.0,0.7693642261018305,AtlasNet,Eig-1.2_filters10000,nf:10000,PyTorch
mp2,38.90309920641987,282.0,0.8956152010006353,AtlasNet,Eig-1.2_filters10000,nf:10000,PyTorch
c2,134.59111890074547,298.0,0.7731336331741642,AtlasNet,Eig-1.4_filters10000,nf:10000,PyTorch
mp2,40.83383452652333,262.0,0.9035064450740136,AtlasNet,Eig-1.4_filters10000,nf:10000,PyTorch
c2,114.53303167651268,180.0,0.9739520834440412,AtlasNet,Eig-3.6_filters10000,nf:10000,PyTorch
mp2,38.786030845403,116.0,1.1519365515256617,AtlasNet,Eig-3.6_filters10000,nf:10000,PyTorch
c2,122.3640613275344,195.0,0.9222870596623512,AtlasNet,Eig-3_filters10000,nf:10000,PyTorch
mp2,40.09222597387408,130.0,1.0797605115822264,AtlasNet,Eig-3_filters10000,nf:10000,PyTorch
