,layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source,Unnamed: 0
0,c2,2.0762578824093287,11.0,1.0951201801095076,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch,
1,mp2,2.0762578824093287,11.0,1.0951201801095076,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch,
2,c2,2.0938251803580825,11.0,1.103355260011239,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch,
3,mp2,2.0938251803580825,11.0,1.103355260011239,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch,
4,c2,2.105698036427019,10.0,1.1176125092772158,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch,
5,mp2,2.105698036427019,10.0,1.1176125092772158,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch,
6,c2,2.084793223359699,7.0,1.1360583105017203,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch,
7,mp2,2.084793223359699,7.0,1.1360583105017203,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch,
8,c2,2.103333265177959,7.0,1.1430280597424969,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch,
9,mp2,2.103333265177959,7.0,1.1430280597424969,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch,
10,c2,2.100237926050124,6.0,1.1738707266138564,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch,
11,mp2,2.100237926050124,6.0,1.1738707266138564,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch,
12,c2,2.052629228206605,5.0,1.196088925405155,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch,
13,mp2,2.052629228206605,5.0,1.196088925405155,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch,
14,c2,1.9097711430406588,3.0,1.231278908843181,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch,
15,mp2,1.9097711430406588,3.0,1.231278908843181,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch,
16,c2,1.8662562769157067,3.0,1.2555496232407677,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch,
17,mp2,1.8662562769157067,3.0,1.2555496232407677,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch,
18,c2,1.7257280418364942,2.0,1.288830662429492,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch,
19,mp2,1.7257280418364942,2.0,1.288830662429492,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch,
20,c2,1.6281681549301477,2.0,1.330046940417758,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch,
21,mp2,1.6281681549301477,2.0,1.330046940417758,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch,
22,c2,1.5968824585696284,2.0,1.3692820750159669,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch,
23,mp2,1.5968824585696284,2.0,1.3692820750159669,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch,
24,c2,1.5026975896270922,1.0,1.410553663189867,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch,
25,mp2,1.5026975896270922,1.0,1.410553663189867,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch,
26,c2,1.4614725381843077,1.0,1.4522101453098293,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch,
27,mp2,1.4614725381843077,1.0,1.4522101453098293,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch,
28,c2,1.443557282822214,1.0,1.4879513567567046,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch,
29,mp2,1.443557282822214,1.0,1.4879513567567046,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch,
30,c2,1.309849200818748,1.0,1.6947747276409495,AtlasNet,Eig_noT_-2,Untrained,PyTorch,4.0
31,mp2,1.309849200818748,1.0,1.6947747276409495,AtlasNet,Eig_noT_-2,Untrained,PyTorch,5.0
32,c2,1.2092338553556483,1.0,2.067591108766259,AtlasNet,Eig_noT_-3,Untrained,PyTorch,6.0
33,mp2,1.2092338553556483,1.0,2.067591108766259,AtlasNet,Eig_noT_-3,Untrained,PyTorch,7.0
