,layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source,Unnamed: 0
0,c2,100.00170696871612,327.0,0.7839972494714539,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch,
1,mp2,35.6173572747596,294.0,0.8971315386355413,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch,
2,c2,92.64933327276478,320.0,0.7908500938330774,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch,
3,mp2,36.33143424727698,288.0,0.9049811606006736,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch,
4,c2,94.19938766457574,311.0,0.7980315430208901,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch,
5,mp2,36.98706273760203,284.0,0.9077134512460668,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch,
6,c2,94.81995088690776,301.0,0.8110803132877945,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch,
7,mp2,37.4759037370488,278.0,0.913048685743184,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch,
8,c2,99.888515559622,290.0,0.8241304838512344,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch,
9,mp2,38.34735205975889,275.0,0.9085724208646224,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch,
10,c2,102.63264642701311,270.0,0.8523653494394812,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch,
11,mp2,36.43436790600931,259.0,0.9338399607946783,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch,
12,c2,83.05140522353872,249.0,0.8865304805432991,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch,
13,mp2,35.7302419189281,240.0,0.9591247592169956,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch,
14,c2,73.5772313830213,224.0,0.9233439622866848,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch,
15,mp2,33.46698340772409,219.0,0.9857366161014924,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch,
16,c2,63.093035843648806,196.0,0.9651641729055476,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch,
17,mp2,30.58033604822724,194.0,1.0167659885970168,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch,
18,c2,53.27123604209781,167.0,1.0116302544251652,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch,
19,mp2,27.53851178664307,167.0,1.0506141979322436,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch,
20,c2,45.10183079524174,141.0,1.0614862518736756,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch,
21,mp2,24.76078707316353,139.0,1.0871453726763394,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch,
22,c2,38.79406105401582,120.0,1.11220429872266,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch,
23,mp2,22.462547327432222,114.0,1.123987091109787,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch,
24,c2,34.114982754503195,106.0,1.1626713058132014,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch,
25,mp2,20.6817848862462,95.0,1.1593475215416544,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch,
26,c2,30.703191921531868,95.0,1.2115617146656994,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch,
27,mp2,19.35568083015344,80.0,1.193340899112951,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch,
28,c2,28.22134727151352,88.0,1.258873396917456,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch,
29,mp2,18.39216043954771,70.0,1.2252636784421511,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch,
30,c2,23.628296285394903,75.0,1.4666296513087218,AtlasNet,Eig_noT_-2,Untrained,PyTorch,4.0
31,mp2,17.52484367528258,53.0,1.3451082080498649,AtlasNet,Eig_noT_-2,Untrained,PyTorch,5.0
32,c2,21.769352095078617,70.0,1.7525535604212148,AtlasNet,Eig_noT_-3,Untrained,PyTorch,6.0
33,mp2,16.59653371080382,45.0,1.528119935035619,AtlasNet,Eig_noT_-3,Untrained,PyTorch,7.0
