layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.197017876509558,29.0,1.0875162790200126,AtlasNet,SVD-MH_-0.2,-0.2,PyTorch
mp2,2.197017876509558,29.0,1.0875162790200126,AtlasNet,SVD-MH_-0.2,-0.2,PyTorch
c2,2.241928143546722,33.0,1.087949192076802,AtlasNet,SVD-MH_-0.3,-0.3,PyTorch
mp2,2.241928143546722,33.0,1.087949192076802,AtlasNet,SVD-MH_-0.3,-0.3,PyTorch
c2,2.1825428664640825,27.0,1.0892068529189916,AtlasNet,SVD-MH_-0.4,-0.4,PyTorch
mp2,2.1825428664640825,27.0,1.0892068529189916,AtlasNet,SVD-MH_-0.4,-0.4,PyTorch
c2,2.2123530595854177,30.0,1.089161828422039,AtlasNet,SVD-MH_-0.5,-0.5,PyTorch
mp2,2.2123530595854177,30.0,1.089161828422039,AtlasNet,SVD-MH_-0.5,-0.5,PyTorch
c2,2.192097737126,28.0,1.08832749690332,AtlasNet,SVD-MH_-0.6,-0.6,PyTorch
mp2,2.192097737126,28.0,1.08832749690332,AtlasNet,SVD-MH_-0.6,-0.6,PyTorch
c2,2.20013986582164,29.0,1.0873023755724405,AtlasNet,SVD-MH_-0.7,-0.7,PyTorch
mp2,2.20013986582164,29.0,1.0873023755724405,AtlasNet,SVD-MH_-0.7,-0.7,PyTorch
c2,2.1756846456569687,30.0,1.079605614276853,AtlasNet,SVD-MH_-0.8,-0.8,PyTorch
mp2,2.1756846456569687,30.0,1.079605614276853,AtlasNet,SVD-MH_-0.8,-0.8,PyTorch
c2,2.1440838323069853,21.0,1.0993743328584566,AtlasNet,SVD-MH_-0.9,-0.9,PyTorch
mp2,2.1440838323069853,21.0,1.0993743328584566,AtlasNet,SVD-MH_-0.9,-0.9,PyTorch
c2,2.1735509770741945,26.0,1.0922636206890628,AtlasNet,SVD-MH_-1.0,-1.0,PyTorch
mp2,2.1735509770741945,26.0,1.0922636206890628,AtlasNet,SVD-MH_-1.0,-1.0,PyTorch
c2,2.207122173193573,18.0,1.1294414311656,AtlasNet,SVD-MH_-1.2,-1.2,PyTorch
mp2,2.207122173193573,18.0,1.1294414311656,AtlasNet,SVD-MH_-1.2,-1.2,PyTorch
c2,2.126990003860482,10.0,1.177824655460397,AtlasNet,SVD-MH_-1.4,-1.4,PyTorch
mp2,2.126990003860482,10.0,1.177824655460397,AtlasNet,SVD-MH_-1.4,-1.4,PyTorch
c2,2.005127604410976,5.0,1.2596789644068525,AtlasNet,SVD-MH_-1.6,-1.6,PyTorch
mp2,2.005127604410976,5.0,1.2596789644068525,AtlasNet,SVD-MH_-1.6,-1.6,PyTorch
c2,1.9625104411150087,4.0,1.3180465656702982,AtlasNet,SVD-MH_-1.8,-1.8,PyTorch
mp2,1.9625104411150087,4.0,1.3180465656702982,AtlasNet,SVD-MH_-1.8,-1.8,PyTorch
c2,2.0084038180421286,2.0,1.4507887343749586,AtlasNet,SVD-MH_-2,-2,PyTorch
mp2,2.0084038180421286,2.0,1.4507887343749586,AtlasNet,SVD-MH_-2,-2,PyTorch
c2,1.7347508600025439,2.0,1.4599237793720157,AtlasNet,SVD-MH_-2.2,-2.2,PyTorch
mp2,1.7347508600025439,2.0,1.4599237793720157,AtlasNet,SVD-MH_-2.2,-2.2,PyTorch
c2,1.902772266593301,2.0,1.5742956636917864,AtlasNet,SVD-MH_-2.4,-2.4,PyTorch
mp2,1.902772266593301,2.0,1.5742956636917864,AtlasNet,SVD-MH_-2.4,-2.4,PyTorch
c2,1.7202267339208819,2.0,1.6394486814140792,AtlasNet,SVD-MH_-2.6,-2.6,PyTorch
mp2,1.7202267339208819,2.0,1.6394486814140792,AtlasNet,SVD-MH_-2.6,-2.6,PyTorch
c2,1.5435238830332099,2.0,1.7395407548877342,AtlasNet,SVD-MH_-2.8,-2.8,PyTorch
mp2,1.5435238830332099,2.0,1.7395407548877342,AtlasNet,SVD-MH_-2.8,-2.8,PyTorch
c2,1.538758934614672,2.0,1.7942186200003047,AtlasNet,SVD-MH_-3,-3,PyTorch
mp2,1.538758934614672,2.0,1.7942186200003047,AtlasNet,SVD-MH_-3,-3,PyTorch
