layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,91.65648718055215,261.0,0.8497900699867897,AtlasNet,SVD-MH_-0.2,-0.2,PyTorch
mp2,35.39215114387586,235.0,0.9616874101635605,AtlasNet,SVD-MH_-0.2,-0.2,PyTorch
c2,77.51000927472938,257.0,0.8625719093783889,AtlasNet,SVD-MH_-0.3,-0.3,PyTorch
mp2,34.01683004184211,234.0,0.9636504598456659,AtlasNet,SVD-MH_-0.3,-0.3,PyTorch
c2,76.00893111756221,256.0,0.8644444269510398,AtlasNet,SVD-MH_-0.4,-0.4,PyTorch
mp2,33.61533117706858,232.0,0.9659938778954126,AtlasNet,SVD-MH_-0.4,-0.4,PyTorch
c2,73.8513751215857,255.0,0.8684736524426102,AtlasNet,SVD-MH_-0.5,-0.5,PyTorch
mp2,33.0365852991976,230.0,0.9694537994185611,AtlasNet,SVD-MH_-0.5,-0.5,PyTorch
c2,70.92167926491103,253.0,0.8744696326944198,AtlasNet,SVD-MH_-0.6,-0.6,PyTorch
mp2,32.234817310847,228.0,0.9743575105243985,AtlasNet,SVD-MH_-0.6,-0.6,PyTorch
c2,67.17734987088578,250.0,0.8822218280514437,AtlasNet,SVD-MH_-0.7,-0.7,PyTorch
mp2,31.171677505196975,224.0,0.98120947507008,AtlasNet,SVD-MH_-0.7,-0.7,PyTorch
c2,62.72944473847444,247.0,0.8922093384258266,AtlasNet,SVD-MH_-0.8,-0.8,PyTorch
mp2,29.850880144142234,218.0,0.9903209539462497,AtlasNet,SVD-MH_-0.8,-0.8,PyTorch
c2,57.863428445419856,242.0,0.9054425450853988,AtlasNet,SVD-MH_-0.9,-0.9,PyTorch
mp2,28.32779260010434,211.0,1.0016000031785248,AtlasNet,SVD-MH_-0.9,-0.9,PyTorch
c2,52.95712559918712,236.0,0.9206405618295337,AtlasNet,SVD-MH_-1.0,-1.0,PyTorch
mp2,26.702994471162487,202.0,1.0146529538293396,AtlasNet,SVD-MH_-1.0,-1.0,PyTorch
c2,44.36530427858074,220.0,0.9554076867123351,AtlasNet,SVD-MH_-1.2,-1.2,PyTorch
mp2,23.627794689571658,181.0,1.0453210622204452,AtlasNet,SVD-MH_-1.2,-1.2,PyTorch
c2,38.28476098416816,203.0,0.9904840334137752,AtlasNet,SVD-MH_-1.4,-1.4,PyTorch
mp2,21.25231151541164,158.0,1.0777166840569903,AtlasNet,SVD-MH_-1.4,-1.4,PyTorch
c2,34.35982573190842,186.0,1.0225942837188973,AtlasNet,SVD-MH_-1.6,-1.6,PyTorch
mp2,19.58424375383679,138.0,1.1103369810257968,AtlasNet,SVD-MH_-1.6,-1.6,PyTorch
c2,31.80416249684511,173.0,1.0520938623956753,AtlasNet,SVD-MH_-1.8,-1.8,PyTorch
mp2,18.40405678590901,122.0,1.1412093981531939,AtlasNet,SVD-MH_-1.8,-1.8,PyTorch
c2,30.043500508392462,161.0,1.0786753249038263,AtlasNet,SVD-MH_-2,-2,PyTorch
mp2,17.530764833744538,109.0,1.170125035008684,AtlasNet,SVD-MH_-2,-2,PyTorch
c2,28.748701176431414,152.0,1.1021630416509023,AtlasNet,SVD-MH_-2.2,-2.2,PyTorch
mp2,16.850892810424593,99.0,1.1982227990755967,AtlasNet,SVD-MH_-2.2,-2.2,PyTorch
c2,27.741725901960173,144.0,1.124164381765513,AtlasNet,SVD-MH_-2.4,-2.4,PyTorch
mp2,16.30255687220762,92.0,1.2255381659180633,AtlasNet,SVD-MH_-2.4,-2.4,PyTorch
c2,26.92858850130375,138.0,1.144782725020063,AtlasNet,SVD-MH_-2.6,-2.6,PyTorch
mp2,15.847372175929575,85.0,1.251605157106605,AtlasNet,SVD-MH_-2.6,-2.6,PyTorch
c2,26.255459101335358,132.0,1.1639640391515873,AtlasNet,SVD-MH_-2.8,-2.8,PyTorch
mp2,15.465075377676182,80.0,1.2777162414808039,AtlasNet,SVD-MH_-2.8,-2.8,PyTorch
c2,25.691371595964803,128.0,1.1825010745467832,AtlasNet,SVD-MH_-3,-3,PyTorch
mp2,15.142042902480037,76.0,1.303885552089998,AtlasNet,SVD-MH_-3,-3,PyTorch
