layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.069807107980571,13.0,1.0863213652035009,AtlasNet,SVD-Reg_-0.2,-0.2,PyTorch
mp2,2.069807107980571,13.0,1.0863213652035009,AtlasNet,SVD-Reg_-0.2,-0.2,PyTorch
c2,2.1233300128669765,15.0,1.0883328192510573,AtlasNet,SVD-Reg_-0.3,-0.3,PyTorch
mp2,2.1233300128669765,15.0,1.0883328192510573,AtlasNet,SVD-Reg_-0.3,-0.3,PyTorch
c2,2.0717519057720737,12.0,1.0907390066229994,AtlasNet,SVD-Reg_-0.4,-0.4,PyTorch
mp2,2.0717519057720737,12.0,1.0907390066229994,AtlasNet,SVD-Reg_-0.4,-0.4,PyTorch
c2,2.08758469529487,13.0,1.0915949896928667,AtlasNet,SVD-Reg_-0.5,-0.5,PyTorch
mp2,2.08758469529487,13.0,1.0915949896928667,AtlasNet,SVD-Reg_-0.5,-0.5,PyTorch
c2,2.0800147219505103,12.0,1.0905202519024078,AtlasNet,SVD-Reg_-0.6,-0.6,PyTorch
mp2,2.0800147219505103,12.0,1.0905202519024078,AtlasNet,SVD-Reg_-0.6,-0.6,PyTorch
c2,2.08450923658239,12.0,1.0923544291615497,AtlasNet,SVD-Reg_-0.7,-0.7,PyTorch
mp2,2.08450923658239,12.0,1.0923544291615497,AtlasNet,SVD-Reg_-0.7,-0.7,PyTorch
c2,2.0597708602040474,13.0,1.0855303713218742,AtlasNet,SVD-Reg_-0.8,-0.8,PyTorch
mp2,2.0597708602040474,13.0,1.0855303713218742,AtlasNet,SVD-Reg_-0.8,-0.8,PyTorch
c2,2.0162335763116244,8.0,1.105977547061406,AtlasNet,SVD-Reg_-0.9,-0.9,PyTorch
mp2,2.0162335763116244,8.0,1.105977547061406,AtlasNet,SVD-Reg_-0.9,-0.9,PyTorch
c2,2.0929436797350367,11.0,1.106204821414204,AtlasNet,SVD-Reg_-1.0,-1.0,PyTorch
mp2,2.0929436797350367,11.0,1.106204821414204,AtlasNet,SVD-Reg_-1.0,-1.0,PyTorch
c2,2.035040489848297,8.0,1.1310780619890843,AtlasNet,SVD-Reg_-1.2,-1.2,PyTorch
mp2,2.035040489848297,8.0,1.1310780619890843,AtlasNet,SVD-Reg_-1.2,-1.2,PyTorch
c2,1.9774554404163334,6.0,1.1735425656170264,AtlasNet,SVD-Reg_-1.4,-1.4,PyTorch
mp2,1.9774554404163334,6.0,1.1735425656170264,AtlasNet,SVD-Reg_-1.4,-1.4,PyTorch
c2,1.9502040603069912,3.0,1.2959555869622885,AtlasNet,SVD-Reg_-1.6,-1.6,PyTorch
mp2,1.9502040603069912,3.0,1.2959555869622885,AtlasNet,SVD-Reg_-1.6,-1.6,PyTorch
c2,1.8394934225952733,2.0,1.3151605872402414,AtlasNet,SVD-Reg_-1.8,-1.8,PyTorch
mp2,1.8394934225952733,2.0,1.3151605872402414,AtlasNet,SVD-Reg_-1.8,-1.8,PyTorch
c2,1.929110715337497,2.0,1.4347886437569926,AtlasNet,SVD-Reg_-2,-2,PyTorch
mp2,1.929110715337497,2.0,1.4347886437569926,AtlasNet,SVD-Reg_-2,-2,PyTorch
c2,1.687561348515093,2.0,1.446746034433886,AtlasNet,SVD-Reg_-2.2,-2.2,PyTorch
mp2,1.687561348515093,2.0,1.446746034433886,AtlasNet,SVD-Reg_-2.2,-2.2,PyTorch
c2,1.7635116266881727,2.0,1.570855785800522,AtlasNet,SVD-Reg_-2.4,-2.4,PyTorch
mp2,1.7635116266881727,2.0,1.570855785800522,AtlasNet,SVD-Reg_-2.4,-2.4,PyTorch
c2,1.6208473509620982,2.0,1.635199315390841,AtlasNet,SVD-Reg_-2.6,-2.6,PyTorch
mp2,1.6208473509620982,2.0,1.635199315390841,AtlasNet,SVD-Reg_-2.6,-2.6,PyTorch
c2,1.5163341975481857,1.0,1.7228011367778517,AtlasNet,SVD-Reg_-2.8,-2.8,PyTorch
mp2,1.5163341975481857,1.0,1.7228011367778517,AtlasNet,SVD-Reg_-2.8,-2.8,PyTorch
c2,1.5051423123329875,1.0,1.8315422767944527,AtlasNet,SVD-Reg_-3,-3,PyTorch
mp2,1.5051423123329875,1.0,1.8315422767944527,AtlasNet,SVD-Reg_-3,-3,PyTorch
