layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,107.88881758023457,335.0,0.7719615629696305,AtlasNet,SVD-Reg_-0.2,-0.2,PyTorch
mp2,35.98307456788304,298.0,0.8950742378108046,AtlasNet,SVD-Reg_-0.2,-0.2,PyTorch
c2,88.5468412710852,329.0,0.7901406146494693,AtlasNet,SVD-Reg_-0.3,-0.3,PyTorch
mp2,34.07609444214599,295.0,0.8988186792013138,AtlasNet,SVD-Reg_-0.3,-0.3,PyTorch
c2,86.51897609239755,328.0,0.7925064452609747,AtlasNet,SVD-Reg_-0.4,-0.4,PyTorch
mp2,33.79228216330318,293.0,0.9005105801653088,AtlasNet,SVD-Reg_-0.4,-0.4,PyTorch
c2,83.81445946352324,326.0,0.7958466696191452,AtlasNet,SVD-Reg_-0.5,-0.5,PyTorch
mp2,33.387592891699676,291.0,0.9035267871689565,AtlasNet,SVD-Reg_-0.5,-0.5,PyTorch
c2,80.3372787747497,324.0,0.8004414189718234,AtlasNet,SVD-Reg_-0.6,-0.6,PyTorch
mp2,32.812333920005734,288.0,0.9076567889583169,AtlasNet,SVD-Reg_-0.6,-0.6,PyTorch
c2,76.04832231496081,321.0,0.8069735797645219,AtlasNet,SVD-Reg_-0.7,-0.7,PyTorch
mp2,32.02001563514746,284.0,0.913235421733502,AtlasNet,SVD-Reg_-0.7,-0.7,PyTorch
c2,71.0473020025983,317.0,0.8152163778049003,AtlasNet,SVD-Reg_-0.8,-0.8,PyTorch
mp2,30.979348935402243,277.0,0.9208263161455316,AtlasNet,SVD-Reg_-0.8,-0.8,PyTorch
c2,65.60554898374578,311.0,0.8259322836147978,AtlasNet,SVD-Reg_-0.9,-0.9,PyTorch
mp2,29.709558738394154,269.0,0.9305710774664028,AtlasNet,SVD-Reg_-0.9,-0.9,PyTorch
c2,60.09673592284242,303.0,0.8385690048242777,AtlasNet,SVD-Reg_-1.0,-1.0,PyTorch
mp2,28.2747332311931,258.0,0.9431398149670541,AtlasNet,SVD-Reg_-1.0,-1.0,PyTorch
c2,50.30387483937213,283.0,0.8684812395623279,AtlasNet,SVD-Reg_-1.2,-1.2,PyTorch
mp2,25.337869374264432,231.0,0.9730171157257482,AtlasNet,SVD-Reg_-1.2,-1.2,PyTorch
c2,43.212942704748365,260.0,0.900809870818169,AtlasNet,SVD-Reg_-1.4,-1.4,PyTorch
mp2,22.864936146148338,201.0,1.0049470862688257,AtlasNet,SVD-Reg_-1.4,-1.4,PyTorch
c2,38.537085048306665,238.0,0.9324844704352993,AtlasNet,SVD-Reg_-1.6,-1.6,PyTorch
mp2,21.038672821067046,174.0,1.036341692604162,AtlasNet,SVD-Reg_-1.6,-1.6,PyTorch
c2,35.429372643372346,220.0,0.9604266984438913,AtlasNet,SVD-Reg_-1.8,-1.8,PyTorch
mp2,19.715461390810646,153.0,1.066167378220736,AtlasNet,SVD-Reg_-1.8,-1.8,PyTorch
c2,33.24596058950276,204.0,0.9857260400718318,AtlasNet,SVD-Reg_-2,-2,PyTorch
mp2,18.718338746832565,136.0,1.0948917066440407,AtlasNet,SVD-Reg_-2,-2,PyTorch
c2,31.612327852194458,191.0,1.0091378879789905,AtlasNet,SVD-Reg_-2.2,-2.2,PyTorch
mp2,17.92963955004638,123.0,1.1225475391934612,AtlasNet,SVD-Reg_-2.2,-2.2,PyTorch
c2,30.326050401797374,181.0,1.0308833806966298,AtlasNet,SVD-Reg_-2.4,-2.4,PyTorch
mp2,17.283930383627315,113.0,1.1494661950959617,AtlasNet,SVD-Reg_-2.4,-2.4,PyTorch
c2,29.278563422813807,172.0,1.0512953523613997,AtlasNet,SVD-Reg_-2.6,-2.6,PyTorch
mp2,16.742375850607633,105.0,1.1760800490793326,AtlasNet,SVD-Reg_-2.6,-2.6,PyTorch
c2,28.407638130820594,165.0,1.070320091780417,AtlasNet,SVD-Reg_-2.8,-2.8,PyTorch
mp2,16.283460476036627,98.0,1.2018715841991465,AtlasNet,SVD-Reg_-2.8,-2.8,PyTorch
c2,27.675399663872856,159.0,1.0887996354795568,AtlasNet,SVD-Reg_-3,-3,PyTorch
mp2,15.89322778405388,93.0,1.227461388358274,AtlasNet,SVD-Reg_-3,-3,PyTorch
