layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,107.89296393050239,335.0,0.7719550038688174,AtlasNet,SVD-scaled_-0.2,Untrained,PyTorch
mp2,35.98395030171846,298.0,0.8950703491150411,AtlasNet,SVD-scaled_-0.2,Untrained,PyTorch
c2,86.5185382837825,328.0,0.7925076154209872,AtlasNet,SVD-scaled_-0.4,Untrained,PyTorch
mp2,33.793152565693966,293.0,0.9005097118372742,AtlasNet,SVD-scaled_-0.4,Untrained,PyTorch
c2,80.33941038159864,324.0,0.800437448991281,AtlasNet,SVD-scaled_-0.6,Untrained,PyTorch
mp2,32.813085986744696,288.0,0.9076556372512656,AtlasNet,SVD-scaled_-0.6,Untrained,PyTorch
c2,71.04842108243659,317.0,0.8152154656360994,AtlasNet,SVD-scaled_-0.8,Untrained,PyTorch
mp2,30.979369297067972,277.0,0.9208250471521363,AtlasNet,SVD-scaled_-0.8,Untrained,PyTorch
c2,60.094794599581135,303.0,0.8385710025684177,AtlasNet,SVD-scaled_-1.0,Untrained,PyTorch
mp2,28.27488228908103,258.0,0.9431382253608368,AtlasNet,SVD-scaled_-1.0,Untrained,PyTorch
c2,50.30183965383362,283.0,0.8684836301106386,AtlasNet,SVD-scaled_-1.2,Untrained,PyTorch
mp2,25.337374862568183,231.0,0.9730181848570905,AtlasNet,SVD-scaled_-1.2,Untrained,PyTorch
c2,43.21481909782445,260.0,0.9008061009226425,AtlasNet,SVD-scaled_-1.4,Untrained,PyTorch
mp2,22.86466337359917,201.0,1.004947246064552,AtlasNet,SVD-scaled_-1.4,Untrained,PyTorch
c2,26.078568332270084,145.0,1.1397706289078091,AtlasNet,SVD-scaled_-3.6,Untrained,PyTorch
mp2,15.032314610617709,82.0,1.301698646693134,AtlasNet,SVD-scaled_-3.6,Untrained,PyTorch
c2,27.67603521943459,159.0,1.0887956572615023,AtlasNet,SVD-scaled_-3,Untrained,PyTorch
mp2,15.893337771422074,93.0,1.227454473026438,AtlasNet,SVD-scaled_-3,Untrained,PyTorch
