layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.0671024444181882,13.0,1.0860623100887858,AtlasNet,SVD4_-0.1,Untrained,PyTorch
mp2,2.0671024444181882,13.0,1.0860623100887858,AtlasNet,SVD4_-0.1,Untrained,PyTorch
c2,2.1226346659711512,15.0,1.088298455418092,AtlasNet,SVD4_-0.2,Untrained,PyTorch
mp2,2.1226346659711512,15.0,1.088298455418092,AtlasNet,SVD4_-0.2,Untrained,PyTorch
c2,2.070467506807837,11.0,1.0914048685089826,AtlasNet,SVD4_-0.3,Untrained,PyTorch
mp2,2.070467506807837,11.0,1.0914048685089826,AtlasNet,SVD4_-0.3,Untrained,PyTorch
c2,2.089714003496048,12.0,1.0919332952087553,AtlasNet,SVD4_-0.4,Untrained,PyTorch
mp2,2.089714003496048,12.0,1.0919332952087553,AtlasNet,SVD4_-0.4,Untrained,PyTorch
c2,2.083562070614368,13.0,1.0887974581560185,AtlasNet,SVD4_-0.5,Untrained,PyTorch
mp2,2.083562070614368,13.0,1.0887974581560185,AtlasNet,SVD4_-0.5,Untrained,PyTorch
c2,2.093265197229859,13.0,1.091108010226391,AtlasNet,SVD4_-0.6,Untrained,PyTorch
mp2,2.093265197229859,13.0,1.091108010226391,AtlasNet,SVD4_-0.6,Untrained,PyTorch
c2,2.0601647460068655,13.0,1.0831802016376126,AtlasNet,SVD4_-0.7,Untrained,PyTorch
mp2,2.0601647460068655,13.0,1.0831802016376126,AtlasNet,SVD4_-0.7,Untrained,PyTorch
c2,2.0219716504683487,9.0,1.09936275216237,AtlasNet,SVD4_-0.8,Untrained,PyTorch
mp2,2.0219716504683487,9.0,1.09936275216237,AtlasNet,SVD4_-0.8,Untrained,PyTorch
c2,2.092610300289173,12.0,1.0992577551628506,AtlasNet,SVD4_-0.9,Untrained,PyTorch
mp2,2.092610300289173,12.0,1.0992577551628506,AtlasNet,SVD4_-0.9,Untrained,PyTorch
c2,2.065055314262565,10.0,1.1083085077625758,AtlasNet,SVD4_-1.0,Untrained,PyTorch
mp2,2.065055314262565,10.0,1.1083085077625758,AtlasNet,SVD4_-1.0,Untrained,PyTorch
c2,2.0353146998290814,10.0,1.1083645544225196,AtlasNet,SVD4_-1.1,Untrained,PyTorch
mp2,2.0353146998290814,10.0,1.1083645544225196,AtlasNet,SVD4_-1.1,Untrained,PyTorch
c2,2.0775670053379893,6.0,1.1641204411170345,AtlasNet,SVD4_-1.2,Untrained,PyTorch
mp2,2.0775670053379893,6.0,1.1641204411170345,AtlasNet,SVD4_-1.2,Untrained,PyTorch
c2,1.9600843937177581,7.0,1.1453720935506133,AtlasNet,SVD4_-1.3,Untrained,PyTorch
mp2,1.9600843937177581,7.0,1.1453720935506133,AtlasNet,SVD4_-1.3,Untrained,PyTorch
c2,2.05557197965501,5.0,1.210753195032232,AtlasNet,SVD4_-1.4,Untrained,PyTorch
mp2,2.05557197965501,5.0,1.210753195032232,AtlasNet,SVD4_-1.4,Untrained,PyTorch
c2,1.9179539646284418,5.0,1.1973444769849093,AtlasNet,SVD4_-1.5,Untrained,PyTorch
mp2,1.9179539646284418,5.0,1.1973444769849093,AtlasNet,SVD4_-1.5,Untrained,PyTorch
c2,1.8525046814367272,2.0,1.411896504506858,AtlasNet,SVD4_-2,Untrained,PyTorch
mp2,1.8525046814367272,2.0,1.411896504506858,AtlasNet,SVD4_-2,Untrained,PyTorch
c2,1.554987003006218,2.0,1.783187310878923,AtlasNet,SVD4_-3,Untrained,PyTorch
mp2,1.554987003006218,2.0,1.783187310878923,AtlasNet,SVD4_-3,Untrained,PyTorch
