layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,105.55087607065532,334.0,0.7738051277617585,AtlasNet,SVD4_-0.1,Untrained,PyTorch
mp2,35.50968485674719,297.0,0.896195412844661,AtlasNet,SVD4_-0.1,Untrained,PyTorch
c2,90.03207049642286,329.0,0.7885521036243339,AtlasNet,SVD4_-0.2,Untrained,PyTorch
mp2,34.28067031135674,296.0,0.8977497194046081,AtlasNet,SVD4_-0.2,Untrained,PyTorch
c2,88.54684176970243,329.0,0.7901406143113038,AtlasNet,SVD4_-0.3,Untrained,PyTorch
mp2,34.07609464450532,295.0,0.8988186786457735,AtlasNet,SVD4_-0.3,Untrained,PyTorch
c2,86.51897591418903,328.0,0.7925064455843177,AtlasNet,SVD4_-0.4,Untrained,PyTorch
mp2,33.79228212002099,293.0,0.9005105800511718,AtlasNet,SVD4_-0.4,Untrained,PyTorch
c2,83.81445952847803,326.0,0.7958466695701979,AtlasNet,SVD4_-0.5,Untrained,PyTorch
mp2,33.38759297492869,291.0,0.9035267872080404,AtlasNet,SVD4_-0.5,Untrained,PyTorch
c2,80.33727859852794,324.0,0.8004414193701571,AtlasNet,SVD4_-0.6,Untrained,PyTorch
mp2,32.81233384579932,288.0,0.9076567892693135,AtlasNet,SVD4_-0.6,Untrained,PyTorch
c2,76.04832250300184,321.0,0.8069735795007691,AtlasNet,SVD4_-0.7,Untrained,PyTorch
mp2,32.02001570398852,284.0,0.9132354217930819,AtlasNet,SVD4_-0.7,Untrained,PyTorch
c2,71.04730199636681,317.0,0.8152163778465051,AtlasNet,SVD4_-0.8,Untrained,PyTorch
mp2,30.9793489955312,277.0,0.9208263157412632,AtlasNet,SVD4_-0.8,Untrained,PyTorch
c2,65.60554873799879,311.0,0.8259322839843353,AtlasNet,SVD4_-0.9,Untrained,PyTorch
mp2,29.70955870327428,269.0,0.9305710779417098,AtlasNet,SVD4_-0.9,Untrained,PyTorch
c2,60.09673595629988,303.0,0.8385690045877037,AtlasNet,SVD4_-1.0,Untrained,PyTorch
mp2,28.274733165027847,258.0,0.9431398149659304,AtlasNet,SVD4_-1.0,Untrained,PyTorch
c2,54.905667869541055,294.0,0.8526551744966088,AtlasNet,SVD4_-1.1,Untrained,PyTorch
mp2,26.7807568090605,245.0,0.9575504570566913,AtlasNet,SVD4_-1.1,Untrained,PyTorch
c2,50.30387489954466,283.0,0.8684812396200664,AtlasNet,SVD4_-1.2,Untrained,PyTorch
mp2,25.33786934216347,231.0,0.9730171160946407,AtlasNet,SVD4_-1.2,Untrained,PyTorch
c2,46.4105854832092,272.0,0.8845248877070859,AtlasNet,SVD4_-1.3,Untrained,PyTorch
mp2,24.02094328142264,216.0,0.9892109723902616,AtlasNet,SVD4_-1.3,Untrained,PyTorch
c2,43.212942770723274,260.0,0.9008098705004605,AtlasNet,SVD4_-1.4,Untrained,PyTorch
mp2,22.864936126378918,201.0,1.0049470859413379,AtlasNet,SVD4_-1.4,Untrained,PyTorch
c2,40.62772517666741,249.0,0.9169570748434768,AtlasNet,SVD4_-1.5,Untrained,PyTorch
mp2,21.876799786311363,187.0,1.0207349921176867,AtlasNet,SVD4_-1.5,Untrained,PyTorch
c2,33.24596063956288,204.0,0.9857260402901402,AtlasNet,SVD4_-2,Untrained,PyTorch
mp2,18.718338811041484,136.0,1.0948917066603472,AtlasNet,SVD4_-2,Untrained,PyTorch
c2,27.675399644126184,159.0,1.0887996360275054,AtlasNet,SVD4_-3,Untrained,PyTorch
mp2,15.8932277413366,93.0,1.2274613881674261,AtlasNet,SVD4_-3,Untrained,PyTorch
