,layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source,Unnamed: 0
0,c2,2.061012769770164,12.0,1.0839116536252755,AtlasNet,SVD_-0.1,Untrained,PyTorch,
1,mp2,2.061012769770164,12.0,1.0839116536252755,AtlasNet,SVD_-0.1,Untrained,PyTorch,
2,c2,2.085920964235617,14.0,1.0856159775564809,AtlasNet,SVD_-0.2,Untrained,PyTorch,
3,mp2,2.085920964235617,14.0,1.0856159775564809,AtlasNet,SVD_-0.2,Untrained,PyTorch,
4,c2,2.064270542814472,12.0,1.0836239256905769,AtlasNet,SVD_-0.3,Untrained,PyTorch,
5,mp2,2.064270542814472,12.0,1.0836239256905769,AtlasNet,SVD_-0.3,Untrained,PyTorch,
6,c2,2.076794122664087,13.0,1.086936410273203,AtlasNet,SVD_-0.4,Untrained,PyTorch,
7,mp2,2.076794122664087,13.0,1.086936410273203,AtlasNet,SVD_-0.4,Untrained,PyTorch,
8,c2,2.0726847832147475,12.0,1.092469123793561,AtlasNet,SVD_-0.5,Untrained,PyTorch,
9,mp2,2.0726847832147475,12.0,1.092469123793561,AtlasNet,SVD_-0.5,Untrained,PyTorch,
10,c2,2.038251304020631,11.0,1.0856535773773055,AtlasNet,SVD_-0.6,Untrained,PyTorch,
11,mp2,2.038251304020631,11.0,1.0856535773773055,AtlasNet,SVD_-0.6,Untrained,PyTorch,
12,c2,2.10236907454581,13.0,1.094379382778113,AtlasNet,SVD_-0.7,Untrained,PyTorch,
13,mp2,2.10236907454581,13.0,1.094379382778113,AtlasNet,SVD_-0.7,Untrained,PyTorch,
14,c2,2.0232870182989764,11.0,1.088286997485555,AtlasNet,SVD_-0.8,Untrained,PyTorch,
15,mp2,2.0232870182989764,11.0,1.088286997485555,AtlasNet,SVD_-0.8,Untrained,PyTorch,
16,c2,2.06768172707174,12.0,1.0955807615973658,AtlasNet,SVD_-0.9,Untrained,PyTorch,
17,mp2,2.06768172707174,12.0,1.0955807615973658,AtlasNet,SVD_-0.9,Untrained,PyTorch,
18,c2,2.008283513884209,7.0,1.11526391979413,AtlasNet,SVD_-1.0,Untrained,PyTorch,
19,mp2,2.008283513884209,7.0,1.11526391979413,AtlasNet,SVD_-1.0,Untrained,PyTorch,
20,c2,1.9910754968409812,9.0,1.1048827251432414,AtlasNet,SVD_-1.1,Untrained,PyTorch,
21,mp2,1.9910754968409812,9.0,1.1048827251432414,AtlasNet,SVD_-1.1,Untrained,PyTorch,
22,c2,1.9884300414779483,6.0,1.1483178041898474,AtlasNet,SVD_-1.2,Untrained,PyTorch,
23,mp2,1.9884300414779483,6.0,1.1483178041898474,AtlasNet,SVD_-1.2,Untrained,PyTorch,
24,c2,2.162176215135472,6.0,1.194283208630384,AtlasNet,SVD_-1.3,Untrained,PyTorch,
25,mp2,2.162176215135472,6.0,1.194283208630384,AtlasNet,SVD_-1.3,Untrained,PyTorch,
26,c2,2.0440456780038807,6.0,1.181298821471843,AtlasNet,SVD_-1.4,Untrained,PyTorch,
27,mp2,2.0440456780038807,6.0,1.181298821471843,AtlasNet,SVD_-1.4,Untrained,PyTorch,
28,c2,2.0093358227113733,5.0,1.2232396207141638,AtlasNet,SVD_-1.5,Untrained,PyTorch,
29,mp2,2.0093358227113733,5.0,1.2232396207141638,AtlasNet,SVD_-1.5,Untrained,PyTorch,
30,c2,1.7195970204307078,2.0,1.4686374787625351,AtlasNet,SVD_-2,Untrained,PyTorch,12.0
31,mp2,1.7195970204307078,2.0,1.4686374787625351,AtlasNet,SVD_-2,Untrained,PyTorch,13.0
32,c2,1.4876081756886992,1.0,1.833689993158606,AtlasNet,SVD_-3,Untrained,PyTorch,14.0
33,mp2,1.4876081756886992,1.0,1.833689993158606,AtlasNet,SVD_-3,Untrained,PyTorch,15.0
