,layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source,Unnamed: 0
0,c2,90.71254675687324,332.0,0.783071240876291,AtlasNet,SVD_-0.1,Untrained,PyTorch,
1,mp2,33.38929044086066,292.0,0.8987336442805357,AtlasNet,SVD_-0.1,Untrained,PyTorch,
2,c2,104.5457612192343,335.0,0.7765035405083168,AtlasNet,SVD_-0.2,Untrained,PyTorch,
3,mp2,31.984913231199013,291.0,0.9025398279331304,AtlasNet,SVD_-0.2,Untrained,PyTorch,
4,c2,103.96160365827863,335.0,0.7771756183106976,AtlasNet,SVD_-0.3,Untrained,PyTorch,
5,mp2,31.71690523967585,291.0,0.9032420166247112,AtlasNet,SVD_-0.3,Untrained,PyTorch,
6,c2,103.33999696958314,335.0,0.7777936321795885,AtlasNet,SVD_-0.4,Untrained,PyTorch,
7,mp2,31.46324895296779,291.0,0.90428286942935,AtlasNet,SVD_-0.4,Untrained,PyTorch,
8,c2,82.7376793993856,328.0,0.7927069482017051,AtlasNet,SVD_-0.5,Untrained,PyTorch,
9,mp2,33.13073980588045,289.0,0.9032199737686948,AtlasNet,SVD_-0.5,Untrained,PyTorch,
10,c2,98.3422088591985,332.0,0.7786465384460107,AtlasNet,SVD_-0.6,Untrained,PyTorch,
11,mp2,31.371509956134343,289.0,0.908545334523503,AtlasNet,SVD_-0.6,Untrained,PyTorch,
12,c2,102.28848291848934,336.0,0.7805189742738383,AtlasNet,SVD_-0.7,Untrained,PyTorch,
13,mp2,30.99624303782854,290.0,0.9067529799324396,AtlasNet,SVD_-0.7,Untrained,PyTorch,
14,c2,102.69305542988944,336.0,0.7809070668638306,AtlasNet,SVD_-0.8,Untrained,PyTorch,
15,mp2,31.022415098990724,290.0,0.907632142059132,AtlasNet,SVD_-0.8,Untrained,PyTorch,
16,c2,103.73156846991029,336.0,0.781000377776968,AtlasNet,SVD_-0.9,Untrained,PyTorch,
17,mp2,31.178148461095475,290.0,0.9086248464319754,AtlasNet,SVD_-0.9,Untrained,PyTorch,
18,c2,105.47599213773326,336.0,0.7812091805909985,AtlasNet,SVD_-1.0,Untrained,PyTorch,
19,mp2,31.464495266789296,289.0,0.9097192993660752,AtlasNet,SVD_-1.0,Untrained,PyTorch,
20,c2,107.8839396529208,335.0,0.7811000690063208,AtlasNet,SVD_-1.1,Untrained,PyTorch,
21,mp2,31.8770841135491,286.0,0.9107893334993784,AtlasNet,SVD_-1.1,Untrained,PyTorch,
22,c2,110.79711504778297,333.0,0.780722106986927,AtlasNet,SVD_-1.2,Untrained,PyTorch,
23,mp2,32.39311238506861,282.0,0.912315431504514,AtlasNet,SVD_-1.2,Untrained,PyTorch,
24,c2,113.94723919873844,329.0,0.7805682137199254,AtlasNet,SVD_-1.3,Untrained,PyTorch,
25,mp2,32.97021703374778,277.0,0.9144087780171796,AtlasNet,SVD_-1.3,Untrained,PyTorch,
26,c2,117.02318318739113,325.0,0.7808828072108329,AtlasNet,SVD_-1.4,Untrained,PyTorch,
27,mp2,33.56371251684623,270.0,0.917066692874532,AtlasNet,SVD_-1.4,Untrained,PyTorch,
28,c2,119.72171848332174,319.0,0.7819758672292618,AtlasNet,SVD_-1.5,Untrained,PyTorch,
29,mp2,34.12106517233178,262.0,0.920691092524901,AtlasNet,SVD_-1.5,Untrained,PyTorch,
30,c2,14.053612934812037,160.0,1.082920712058444,AtlasNet,SVD_-2,Untrained,PyTorch,12.0
31,mp2,9.740866799698225,98.0,1.1710540063845825,AtlasNet,SVD_-2,Untrained,PyTorch,13.0
32,c2,10.308918170763462,111.0,1.2098658461539795,AtlasNet,SVD_-3,Untrained,PyTorch,14.0
33,mp2,7.58760481906248,57.0,1.3269277464969669,AtlasNet,SVD_-3,Untrained,PyTorch,15.0
