layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,91.66091810048098,261.0,0.8497808277990386,AtlasNet,ScaledSVD-MH_-0.2,-0.2,PyTorch
mp2,35.393018291889504,235.0,0.9616841749744116,AtlasNet,ScaledSVD-MH_-0.2,-0.2,PyTorch
c2,77.5099244267887,257.0,0.8625738234045901,AtlasNet,ScaledSVD-MH_-0.3,-0.3,PyTorch
mp2,34.01643217942488,234.0,0.9636537026342266,AtlasNet,ScaledSVD-MH_-0.3,-0.3,PyTorch
c2,76.00973792765119,256.0,0.8644450327834643,AtlasNet,ScaledSVD-MH_-0.4,-0.4,PyTorch
mp2,33.61605618605703,232.0,0.9659920834531116,AtlasNet,ScaledSVD-MH_-0.4,-0.4,PyTorch
c2,73.85325200166577,255.0,0.868474294862481,AtlasNet,ScaledSVD-MH_-0.5,-0.5,PyTorch
mp2,33.03740250378385,230.0,0.9694548934449072,AtlasNet,ScaledSVD-MH_-0.5,-0.5,PyTorch
c2,70.92330910566524,253.0,0.8744658923767995,AtlasNet,ScaledSVD-MH_-0.6,-0.6,PyTorch
mp2,32.23565932094719,228.0,0.9743583699041745,AtlasNet,ScaledSVD-MH_-0.6,-0.6,PyTorch
c2,67.17610435833042,250.0,0.8822210467963243,AtlasNet,ScaledSVD-MH_-0.7,-0.7,PyTorch
mp2,31.171136449385955,224.0,0.9812111910770656,AtlasNet,ScaledSVD-MH_-0.7,-0.7,PyTorch
c2,62.73076036673969,247.0,0.8922075548692805,AtlasNet,ScaledSVD-MH_-0.8,-0.8,PyTorch
mp2,29.851071956768426,218.0,0.9903220296579174,AtlasNet,ScaledSVD-MH_-0.8,-0.8,PyTorch
c2,57.86227971260522,242.0,0.9054426150381479,AtlasNet,ScaledSVD-MH_-0.9,-0.9,PyTorch
mp2,28.326992572130933,211.0,1.0016025731409406,AtlasNet,ScaledSVD-MH_-0.9,-0.9,PyTorch
c2,52.95617665539553,236.0,0.9206436461290083,AtlasNet,ScaledSVD-MH_-1.0,-1.0,PyTorch
mp2,26.703158930461377,202.0,1.0146524709855982,AtlasNet,ScaledSVD-MH_-1.0,-1.0,PyTorch
c2,44.36372512612158,220.0,0.9554097945713977,AtlasNet,ScaledSVD-MH_-1.2,-1.2,PyTorch
mp2,23.627588623967494,181.0,1.0453212469462538,AtlasNet,ScaledSVD-MH_-1.2,-1.2,PyTorch
c2,38.28611302705508,203.0,0.9904812098018865,AtlasNet,ScaledSVD-MH_-1.4,-1.4,PyTorch
mp2,21.25206426423625,158.0,1.0777164040311449,AtlasNet,ScaledSVD-MH_-1.4,-1.4,PyTorch
c2,34.35975273717235,186.0,1.0225957372481635,AtlasNet,ScaledSVD-MH_-1.6,-1.6,PyTorch
mp2,19.584066665979552,138.0,1.110340275296611,AtlasNet,ScaledSVD-MH_-1.6,-1.6,PyTorch
c2,31.804140557652804,173.0,1.0520950672648557,AtlasNet,ScaledSVD-MH_-1.8,-1.8,PyTorch
mp2,18.40421349085607,122.0,1.1412101368937204,AtlasNet,ScaledSVD-MH_-1.8,-1.8,PyTorch
c2,30.0435873435237,161.0,1.0786747942844594,AtlasNet,ScaledSVD-MH_-2,-2,PyTorch
mp2,17.530718957642474,109.0,1.1701228006042093,AtlasNet,ScaledSVD-MH_-2,-2,PyTorch
c2,28.749670403992155,152.0,1.1021587425757338,AtlasNet,ScaledSVD-MH_-2.2,-2.2,PyTorch
mp2,16.85168463098445,99.0,1.1982163096916227,AtlasNet,ScaledSVD-MH_-2.2,-2.2,PyTorch
c2,27.740917348426454,144.0,1.1241680611705387,AtlasNet,ScaledSVD-MH_-2.4,-2.4,PyTorch
mp2,16.30229182265715,92.0,1.2255401382201905,AtlasNet,ScaledSVD-MH_-2.4,-2.4,PyTorch
c2,26.928293277955405,138.0,1.1447868040881615,AtlasNet,ScaledSVD-MH_-2.6,-2.6,PyTorch
mp2,15.847309780827835,85.0,1.2516060354527982,AtlasNet,ScaledSVD-MH_-2.6,-2.6,PyTorch
c2,26.25576321316294,132.0,1.1639620619768367,AtlasNet,ScaledSVD-MH_-2.8,-2.8,PyTorch
mp2,15.465210576197963,80.0,1.277720172531513,AtlasNet,ScaledSVD-MH_-2.8,-2.8,PyTorch
c2,25.69173966987107,128.0,1.1824979517566587,AtlasNet,ScaledSVD-MH_-3,-3,PyTorch
mp2,15.14211832843376,76.0,1.3038771150719657,AtlasNet,ScaledSVD-MH_-3,-3,PyTorch
