layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.0697998421189916,13.0,1.0863178412113579,AtlasNet,ScaledSVD-Reg_-0.2,-0.2,PyTorch
mp2,2.0697998421189916,13.0,1.0863178412113579,AtlasNet,ScaledSVD-Reg_-0.2,-0.2,PyTorch
c2,2.1233483166738365,15.0,1.0883345736253016,AtlasNet,ScaledSVD-Reg_-0.3,-0.3,PyTorch
mp2,2.1233483166738365,15.0,1.0883345736253016,AtlasNet,ScaledSVD-Reg_-0.3,-0.3,PyTorch
c2,2.0717414000026873,12.0,1.090739298276489,AtlasNet,ScaledSVD-Reg_-0.4,-0.4,PyTorch
mp2,2.0717414000026873,12.0,1.090739298276489,AtlasNet,ScaledSVD-Reg_-0.4,-0.4,PyTorch
c2,2.0875952852284017,13.0,1.0915958883158787,AtlasNet,ScaledSVD-Reg_-0.5,-0.5,PyTorch
mp2,2.0875952852284017,13.0,1.0915958883158787,AtlasNet,ScaledSVD-Reg_-0.5,-0.5,PyTorch
c2,2.0800246134040643,12.0,1.0905218928123654,AtlasNet,ScaledSVD-Reg_-0.6,-0.6,PyTorch
mp2,2.0800246134040643,12.0,1.0905218928123654,AtlasNet,ScaledSVD-Reg_-0.6,-0.6,PyTorch
c2,2.084499584648863,12.0,1.0923558564715252,AtlasNet,ScaledSVD-Reg_-0.7,-0.7,PyTorch
mp2,2.084499584648863,12.0,1.0923558564715252,AtlasNet,ScaledSVD-Reg_-0.7,-0.7,PyTorch
c2,2.059767383800505,13.0,1.0855329711142776,AtlasNet,ScaledSVD-Reg_-0.8,-0.8,PyTorch
mp2,2.059767383800505,13.0,1.0855329711142776,AtlasNet,ScaledSVD-Reg_-0.8,-0.8,PyTorch
c2,2.016239384417088,8.0,1.1059776038863431,AtlasNet,ScaledSVD-Reg_-0.9,-0.9,PyTorch
mp2,2.016239384417088,8.0,1.1059776038863431,AtlasNet,ScaledSVD-Reg_-0.9,-0.9,PyTorch
c2,2.092944953146205,11.0,1.106203684062785,AtlasNet,ScaledSVD-Reg_-1.0,-1.0,PyTorch
mp2,2.092944953146205,11.0,1.106203684062785,AtlasNet,ScaledSVD-Reg_-1.0,-1.0,PyTorch
c2,2.035055638079576,8.0,1.1310765957812485,AtlasNet,ScaledSVD-Reg_-1.2,-1.2,PyTorch
mp2,2.035055638079576,8.0,1.1310765957812485,AtlasNet,ScaledSVD-Reg_-1.2,-1.2,PyTorch
c2,1.9774616859376786,6.0,1.1735445123229833,AtlasNet,ScaledSVD-Reg_-1.4,-1.4,PyTorch
mp2,1.9774616859376786,6.0,1.1735445123229833,AtlasNet,ScaledSVD-Reg_-1.4,-1.4,PyTorch
c2,1.9502105958623595,3.0,1.2959544570444683,AtlasNet,ScaledSVD-Reg_-1.6,-1.6,PyTorch
mp2,1.9502105958623595,3.0,1.2959544570444683,AtlasNet,ScaledSVD-Reg_-1.6,-1.6,PyTorch
c2,1.83949326821774,2.0,1.3151595213975151,AtlasNet,ScaledSVD-Reg_-1.8,-1.8,PyTorch
mp2,1.83949326821774,2.0,1.3151595213975151,AtlasNet,ScaledSVD-Reg_-1.8,-1.8,PyTorch
c2,1.929107363158305,2.0,1.4347893076645175,AtlasNet,ScaledSVD-Reg_-2,-2,PyTorch
mp2,1.929107363158305,2.0,1.4347893076645175,AtlasNet,ScaledSVD-Reg_-2,-2,PyTorch
c2,1.6875547447388417,2.0,1.4467478756654903,AtlasNet,ScaledSVD-Reg_-2.2,-2.2,PyTorch
mp2,1.6875547447388417,2.0,1.4467478756654903,AtlasNet,ScaledSVD-Reg_-2.2,-2.2,PyTorch
c2,1.7635078228931178,2.0,1.5708663772420828,AtlasNet,ScaledSVD-Reg_-2.4,-2.4,PyTorch
mp2,1.7635078228931178,2.0,1.5708663772420828,AtlasNet,ScaledSVD-Reg_-2.4,-2.4,PyTorch
c2,1.6208451014832792,2.0,1.6352021677556206,AtlasNet,ScaledSVD-Reg_-2.6,-2.6,PyTorch
mp2,1.6208451014832792,2.0,1.6352021677556206,AtlasNet,ScaledSVD-Reg_-2.6,-2.6,PyTorch
c2,1.5163335030509062,1.0,1.7227935303202173,AtlasNet,ScaledSVD-Reg_-2.8,-2.8,PyTorch
mp2,1.5163335030509062,1.0,1.7227935303202173,AtlasNet,ScaledSVD-Reg_-2.8,-2.8,PyTorch
c2,1.5051457780543562,1.0,1.831528558153532,AtlasNet,ScaledSVD-Reg_-3,-3,PyTorch
mp2,1.5051457780543562,1.0,1.831528558153532,AtlasNet,ScaledSVD-Reg_-3,-3,PyTorch
