layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,107.89296393050239,335.0,0.7719550038688174,AtlasNet,ScaledSVD-Reg_-0.2,-0.2,PyTorch
mp2,35.98395030171846,298.0,0.8950703491150411,AtlasNet,ScaledSVD-Reg_-0.2,-0.2,PyTorch
c2,88.54640654429484,329.0,0.7901436744288796,AtlasNet,ScaledSVD-Reg_-0.3,-0.3,PyTorch
mp2,34.07564517617785,295.0,0.8988209883791757,AtlasNet,ScaledSVD-Reg_-0.3,-0.3,PyTorch
c2,86.5185380856738,328.0,0.7925076153068193,AtlasNet,ScaledSVD-Reg_-0.4,-0.4,PyTorch
mp2,33.79315264724932,293.0,0.9005097116483471,AtlasNet,ScaledSVD-Reg_-0.4,-0.4,PyTorch
c2,83.81796864141597,326.0,0.7958458707229358,AtlasNet,ScaledSVD-Reg_-0.5,-0.5,PyTorch
mp2,33.38866420240742,291.0,0.9035251726084657,AtlasNet,ScaledSVD-Reg_-0.5,-0.5,PyTorch
c2,80.33941032655927,324.0,0.8004374492666753,AtlasNet,ScaledSVD-Reg_-0.6,-0.6,PyTorch
mp2,32.813085781316445,288.0,0.9076556378980589,AtlasNet,ScaledSVD-Reg_-0.6,-0.6,PyTorch
c2,76.04700643564543,321.0,0.8069717778955506,AtlasNet,ScaledSVD-Reg_-0.7,-0.7,PyTorch
mp2,32.01940465369923,284.0,0.9132387359485516,AtlasNet,ScaledSVD-Reg_-0.7,-0.7,PyTorch
c2,71.04842136311441,317.0,0.8152154652583631,AtlasNet,ScaledSVD-Reg_-0.8,-0.8,PyTorch
mp2,30.979369295101847,277.0,0.9208250474934291,AtlasNet,ScaledSVD-Reg_-0.8,-0.8,PyTorch
c2,65.60459009214672,311.0,0.825934655002131,AtlasNet,ScaledSVD-Reg_-0.9,-0.9,PyTorch
mp2,29.708398580661513,269.0,0.9305739324247078,AtlasNet,ScaledSVD-Reg_-0.9,-0.9,PyTorch
c2,60.09479461741097,303.0,0.8385710024913627,AtlasNet,ScaledSVD-Reg_-1.0,-1.0,PyTorch
mp2,28.274882454137916,258.0,0.9431382248365203,AtlasNet,ScaledSVD-Reg_-1.0,-1.0,PyTorch
c2,50.301839633686185,283.0,0.8684836301038842,AtlasNet,ScaledSVD-Reg_-1.2,-1.2,PyTorch
mp2,25.33737493105415,231.0,0.9730181844119852,AtlasNet,ScaledSVD-Reg_-1.2,-1.2,PyTorch
c2,43.21481911493455,260.0,0.9008061011094203,AtlasNet,ScaledSVD-Reg_-1.4,-1.4,PyTorch
mp2,22.86466344969721,201.0,1.004947245931723,AtlasNet,ScaledSVD-Reg_-1.4,-1.4,PyTorch
c2,38.53707898607901,238.0,0.9324873164710131,AtlasNet,ScaledSVD-Reg_-1.6,-1.6,PyTorch
mp2,21.03850657004162,174.0,1.0363453143456447,AtlasNet,ScaledSVD-Reg_-1.6,-1.6,PyTorch
c2,35.42941244236874,220.0,0.9604283675850566,AtlasNet,ScaledSVD-Reg_-1.8,-1.8,PyTorch
mp2,19.715812003214765,153.0,1.0661682652633628,AtlasNet,ScaledSVD-Reg_-1.8,-1.8,PyTorch
c2,33.245976994174384,204.0,0.9857232694149666,AtlasNet,ScaledSVD-Reg_-2,-2,PyTorch
mp2,18.71830537727562,136.0,1.0948914301694097,AtlasNet,ScaledSVD-Reg_-2,-2,PyTorch
c2,31.613861351688527,191.0,1.0091340934932587,AtlasNet,ScaledSVD-Reg_-2.2,-2.2,PyTorch
mp2,17.93057890663654,123.0,1.1225435027868784,AtlasNet,ScaledSVD-Reg_-2.2,-2.2,PyTorch
c2,30.325137598868743,181.0,1.030885025671006,AtlasNet,ScaledSVD-Reg_-2.4,-2.4,PyTorch
mp2,17.28369059665647,113.0,1.1494707187294664,AtlasNet,ScaledSVD-Reg_-2.4,-2.4,PyTorch
c2,29.278325731991398,172.0,1.0512964932445936,AtlasNet,ScaledSVD-Reg_-2.6,-2.6,PyTorch
mp2,16.742355155934234,105.0,1.1760816688912146,AtlasNet,ScaledSVD-Reg_-2.6,-2.6,PyTorch
c2,28.40779016201886,165.0,1.0703185310485588,AtlasNet,ScaledSVD-Reg_-2.8,-2.8,PyTorch
mp2,16.28357127132598,98.0,1.2018692165083826,AtlasNet,ScaledSVD-Reg_-2.8,-2.8,PyTorch
c2,27.676035184095962,159.0,1.0887956569514718,AtlasNet,ScaledSVD-Reg_-3,-3,PyTorch
mp2,15.89333780135243,93.0,1.2274544731666972,AtlasNet,ScaledSVD-Reg_-3,-3,PyTorch
