layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.103333265177959,7.0,1.1430280597424967,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
mp2,2.103333265177959,7.0,1.1430280597424967,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
c2,1.7617191485015626,2.0,1.2809190145346145,AtlasNet,Eig_noT_-1,Untrained,PyTorch
mp2,1.7617191485015626,2.0,1.2809190145346145,AtlasNet,Eig_noT_-1,Untrained,PyTorch
c2,1.3098492008187481,1.0,1.6947747276409495,AtlasNet,Eig_noT_-2,Untrained,PyTorch
mp2,1.3098492008187481,1.0,1.6947747276409495,AtlasNet,Eig_noT_-2,Untrained,PyTorch
c2,1.2092338553556485,1.0,2.067591108766259,AtlasNet,Eig_noT_-3,Untrained,PyTorch
mp2,1.2092338553556485,1.0,2.067591108766259,AtlasNet,Eig_noT_-3,Untrained,PyTorch
c2,2.0726847832147475,12.0,1.092469123793561,AtlasNet,SVD_-0.5,Untrained,PyTorch
mp2,2.0726847832147475,12.0,1.092469123793561,AtlasNet,SVD_-0.5,Untrained,PyTorch
c2,2.081845119910118,7.0,1.145195027585733,AtlasNet,SVD_-1,Untrained,PyTorch
mp2,2.081845119910118,7.0,1.145195027585733,AtlasNet,SVD_-1,Untrained,PyTorch
c2,1.7195970204307078,2.0,1.4686374787625351,AtlasNet,SVD_-2,Untrained,PyTorch
mp2,1.7195970204307078,2.0,1.4686374787625351,AtlasNet,SVD_-2,Untrained,PyTorch
c2,1.4876081756886992,1.0,1.833689993158606,AtlasNet,SVD_-3,Untrained,PyTorch
mp2,1.4876081756886992,1.0,1.833689993158606,AtlasNet,SVD_-3,Untrained,PyTorch
