layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,99.888515559622,290.0,0.8241304838512344,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
mp2,38.34735205975889,275.0,0.9085724208646224,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch
c2,54.65928924669847,169.0,1.0082911054825654,AtlasNet,Eig_noT_-1,Untrained,PyTorch
mp2,29.458376483960418,178.0,1.0303617997705072,AtlasNet,Eig_noT_-1,Untrained,PyTorch
c2,23.628296285394903,75.0,1.4666296513087218,AtlasNet,Eig_noT_-2,Untrained,PyTorch
mp2,17.52484367528258,53.0,1.3451082080498649,AtlasNet,Eig_noT_-2,Untrained,PyTorch
c2,21.769352095078617,70.0,1.7525535604212148,AtlasNet,Eig_noT_-3,Untrained,PyTorch
mp2,16.59653371080382,45.0,1.528119935035619,AtlasNet,Eig_noT_-3,Untrained,PyTorch
c2,82.7376793993856,328.0,0.7927069482017051,AtlasNet,SVD_-0.5,Untrained,PyTorch
mp2,33.13073980588045,289.0,0.9032199737686947,AtlasNet,SVD_-0.5,Untrained,PyTorch
c2,47.44448502049369,295.0,0.8614537407500542,AtlasNet,SVD_-1,Untrained,PyTorch
mp2,24.49638473951148,250.0,0.9556188478987668,AtlasNet,SVD_-1,Untrained,PyTorch
c2,14.053612934812035,160.0,1.082920712058444,AtlasNet,SVD_-2,Untrained,PyTorch
mp2,9.740866799698223,98.0,1.1710540063845825,AtlasNet,SVD_-2,Untrained,PyTorch
c2,10.308918170763462,111.0,1.2098658461539795,AtlasNet,SVD_-3,Untrained,PyTorch
mp2,7.58760481906248,57.0,1.3269277464969669,AtlasNet,SVD_-3,Untrained,PyTorch
