,layer,score,score_error,architecture,task,kind,source
0,c2,0.1155188027712524,0.003955272715535,AtlasNet,Eig-OLS-0.2,-0.2,PyTorch
1,mp2,0.1462807535387899,0.0045622093301862,AtlasNet,Eig-OLS-0.2,-0.2,PyTorch
2,c2,0.114276653962377,0.0040078170833174,AtlasNet,Eig-OLS-0.4,-0.4,PyTorch
3,mp2,0.1452399515929797,0.0053770600401203,AtlasNet,Eig-OLS-0.4,-0.4,PyTorch
4,c2,0.1127010293779208,0.0040004178032244,AtlasNet,Eig-OLS-0.5,-0.5,PyTorch
5,mp2,0.1427917599758144,0.0045711319739474,AtlasNet,Eig-OLS-0.5,-0.5,PyTorch
6,c2,0.1106699764780025,0.0043323730169456,AtlasNet,Eig-OLS-0.6,-0.6,PyTorch
7,mp2,0.1421309644346253,0.004317319543027,AtlasNet,Eig-OLS-0.6,-0.6,PyTorch
8,c2,0.109503178783817,0.0042075560560018,AtlasNet,Eig-OLS-0.7,-0.7,PyTorch
9,mp2,0.1368774786593704,0.00455599241124,AtlasNet,Eig-OLS-0.7,-0.7,PyTorch
10,c2,0.1082104812491498,0.0045695907911986,AtlasNet,Eig-OLS-0.8,-0.8,PyTorch
11,mp2,0.1310214730126468,0.0048879485185182,AtlasNet,Eig-OLS-0.8,-0.8,PyTorch
12,c2,0.1025158391730326,0.0047869008666522,AtlasNet,Eig-OLS-0.9,-0.9,PyTorch
13,mp2,0.1236825371563835,0.0042844696115503,AtlasNet,Eig-OLS-0.9,-0.9,PyTorch
14,c2,0.1001467096358399,0.0051061895574905,AtlasNet,Eig-OLS-1.0,-1.0,PyTorch
15,mp2,0.1126659211502576,0.0047205217239559,AtlasNet,Eig-OLS-1.0,-1.0,PyTorch
16,c2,0.0917827353966451,0.0052375958506409,AtlasNet,Eig-OLS-1.2,-1.2,PyTorch
17,mp2,0.1023414478517359,0.0044109357915807,AtlasNet,Eig-OLS-1.2,-1.2,PyTorch
18,c2,0.0818195832012762,0.0042905575584642,AtlasNet,Eig-OLS-1.4,-1.4,PyTorch
19,mp2,0.0860821242012611,0.0048353093208963,AtlasNet,Eig-OLS-1.4,-1.4,PyTorch
20,c2,0.0737300601115529,0.0047581370370524,AtlasNet,Eig-OLS-1.6,-1.6,PyTorch
21,mp2,0.0789702105110624,0.0049403178338521,AtlasNet,Eig-OLS-1.6,-1.6,PyTorch
22,c2,0.0719213365298537,0.004572914200373,AtlasNet,Eig-OLS-1.8,-1.8,PyTorch
23,mp2,0.0730384693588082,0.0043210442904998,AtlasNet,Eig-OLS-1.8,-1.8,PyTorch
24,c2,0.0676236237544528,0.0045338512765576,AtlasNet,Eig-OLS-2,-2,PyTorch
25,mp2,0.0623357540223452,0.0039301920150144,AtlasNet,Eig-OLS-2,-2,PyTorch
26,c2,0.0657769755287223,0.0045349237745046,AtlasNet,Eig-OLS-2.2,-2.2,PyTorch
27,mp2,0.0559752155267272,0.0035290253776009,AtlasNet,Eig-OLS-2.2,-2.2,PyTorch
28,c2,0.0626298103100501,0.0056276715889548,AtlasNet,Eig-OLS-2.4,-2.4,PyTorch
29,mp2,0.0484665923100119,0.0032570438983045,AtlasNet,Eig-OLS-2.4,-2.4,PyTorch
30,c2,0.0614886372786731,0.0053951287223809,AtlasNet,Eig-OLS-2.6,-2.6,PyTorch
31,mp2,0.0408330631938371,0.0029029577148178,AtlasNet,Eig-OLS-2.6,-2.6,PyTorch
32,c2,0.0595888939827764,0.0052196187989559,AtlasNet,Eig-OLS-2.8,-2.8,PyTorch
33,mp2,0.0381910033670312,0.002569662922396,AtlasNet,Eig-OLS-2.8,-2.8,PyTorch
34,c2,0.0583540135000075,0.0054454235441937,AtlasNet,Eig-OLS-3,-3,PyTorch
35,mp2,0.0372517185347886,0.0028744127983364,AtlasNet,Eig-OLS-3,-3,PyTorch
