layer,score,score_error,architecture,task,kind,source
c2,0.11556664039823807,0.003974538983718542,AtlasNet,Eig-Ridge100_-0.2,Untrained,PyTorch
mp2,0.147365804478437,0.004561665009596298,AtlasNet,Eig-Ridge100_-0.2,Untrained,PyTorch
c2,0.11761410020429709,0.004875380084174978,AtlasNet,Eig-Ridge100_0,Untrained,PyTorch
mp2,0.14815576522651866,0.003823489951733989,AtlasNet,Eig-Ridge100_0,Untrained,PyTorch
c2,0.11747078354021952,0.0037554758763102616,AtlasNet,Eig-Ridge100_3,Untrained,PyTorch
mp2,0.14920128486363857,0.0029240705855847295,AtlasNet,Eig-Ridge100_3,Untrained,PyTorch
c2,0.11454240155915905,0.00396656033039464,AtlasNet,Eig-Ridge100_-0.4,Untrained,PyTorch
mp2,0.14838507955932978,0.005277564084331317,AtlasNet,Eig-Ridge100_-0.4,Untrained,PyTorch
c2,0.11303617067744416,0.003976420269536717,AtlasNet,Eig-Ridge100_-0.5,Untrained,PyTorch
mp2,0.14755986323503742,0.004526592214737663,AtlasNet,Eig-Ridge100_-0.5,Untrained,PyTorch
c2,0.11154215861276222,0.004390747011296762,AtlasNet,Eig-Ridge100_-0.6,Untrained,PyTorch
mp2,0.14882606945262297,0.0044186997011271024,AtlasNet,Eig-Ridge100_-0.6,Untrained,PyTorch
c2,0.11043235913715824,0.004257034519663499,AtlasNet,Eig-Ridge100_-0.7,Untrained,PyTorch
mp2,0.14639454253481127,0.0049177054736313465,AtlasNet,Eig-Ridge100_-0.7,Untrained,PyTorch
c2,0.10998809997926641,0.0046917080550988996,AtlasNet,Eig-Ridge100_-0.8,Untrained,PyTorch
mp2,0.14442787228175558,0.0049321478640764315,AtlasNet,Eig-Ridge100_-0.8,Untrained,PyTorch
c2,0.10524650485906067,0.005196446168460359,AtlasNet,Eig-Ridge100_-0.9,Untrained,PyTorch
mp2,0.14187395329796776,0.004890526639279027,AtlasNet,Eig-Ridge100_-0.9,Untrained,PyTorch
c2,0.10393476627161208,0.005413058963067627,AtlasNet,Eig-Ridge100_-1.0,Untrained,PyTorch
mp2,0.13676202767202877,0.0058172597789288944,AtlasNet,Eig-Ridge100_-1.0,Untrained,PyTorch
c2,0.09843116831445031,0.005244450216901498,AtlasNet,Eig-Ridge100_-1.2,Untrained,PyTorch
mp2,0.12673735772937572,0.004771611122292504,AtlasNet,Eig-Ridge100_-1.2,Untrained,PyTorch
c2,0.09141957997805512,0.004961300822346928,AtlasNet,Eig-Ridge100_-1.4,Untrained,PyTorch
mp2,0.11644164570382558,0.004830427040922657,AtlasNet,Eig-Ridge100_-1.4,Untrained,PyTorch
c2,0.08755763429416988,0.0053865646399165685,AtlasNet,Eig-Ridge100_-1.6,Untrained,PyTorch
mp2,0.10790150739097386,0.00449594683271381,AtlasNet,Eig-Ridge100_-1.6,Untrained,PyTorch
c2,0.0857961051108416,0.005439297642973953,AtlasNet,Eig-Ridge100_-1.8,Untrained,PyTorch
mp2,0.09800441183999659,0.0042073346990721015,AtlasNet,Eig-Ridge100_-1.8,Untrained,PyTorch
c2,0.08167695750710324,0.006127534060656288,AtlasNet,Eig-Ridge100_-2,Untrained,PyTorch
mp2,0.0870804639254285,0.003980063558729184,AtlasNet,Eig-Ridge100_-2,Untrained,PyTorch
c2,0.07417005410632137,0.006205972134732373,AtlasNet,Eig-Ridge100_-2.2,Untrained,PyTorch
mp2,0.07739935617811602,0.003528512912090404,AtlasNet,Eig-Ridge100_-2.2,Untrained,PyTorch
c2,0.06406042069588211,0.0061617313606065205,AtlasNet,Eig-Ridge100_-2.4,Untrained,PyTorch
mp2,0.0684999613089911,0.0037831499051690387,AtlasNet,Eig-Ridge100_-2.4,Untrained,PyTorch
c2,0.05306521618898298,0.006468385441278888,AtlasNet,Eig-Ridge100_-2.6,Untrained,PyTorch
mp2,0.06394843620941136,0.0032214191772826604,AtlasNet,Eig-Ridge100_-2.6,Untrained,PyTorch
c2,0.04321080527285702,0.006810588498681056,AtlasNet,Eig-Ridge100_-2.8,Untrained,PyTorch
mp2,0.06264622348033862,0.003516950827828642,AtlasNet,Eig-Ridge100_-2.8,Untrained,PyTorch
c2,0.03642803288136121,0.006950361876456871,AtlasNet,Eig-Ridge100_-3,Untrained,PyTorch
mp2,0.06268393087162291,0.002935680035355627,AtlasNet,Eig-Ridge100_-3,Untrained,PyTorch
