,layer,score,score_error,architecture,task,kind,source
0,c2,0.1202071344593398,0.0040332618971203,AtlasNet,Eig-Ridge10k_-0.2,-0.2,PyTorch
1,mp2,0.1921895004640021,0.0040120801980164,AtlasNet,Eig-Ridge10k_-0.2,-0.2,PyTorch
2,c2,0.1272518939616512,0.0042598407717897,AtlasNet,Eig-Ridge10k_-0.4,-0.4,PyTorch
3,mp2,0.2124950677373429,0.0052861944703888,AtlasNet,Eig-Ridge10k_-0.4,-0.4,PyTorch
4,c2,0.1310132528185705,0.0045367419158967,AtlasNet,Eig-Ridge10k_-0.5,-0.5,PyTorch
5,mp2,0.218285735293866,0.0049723227402923,AtlasNet,Eig-Ridge10k_-0.5,-0.5,PyTorch
6,c2,0.1344007518993854,0.0044372994269138,AtlasNet,Eig-Ridge10k_-0.6,-0.6,PyTorch
7,mp2,0.221225002891474,0.0050727422982249,AtlasNet,Eig-Ridge10k_-0.6,-0.6,PyTorch
8,c2,0.1384299054609433,0.0049563345720983,AtlasNet,Eig-Ridge10k_-0.7,-0.7,PyTorch
9,mp2,0.220502695009917,0.0048359427032602,AtlasNet,Eig-Ridge10k_-0.7,-0.7,PyTorch
10,c2,0.142883008565089,0.0049865833439528,AtlasNet,Eig-Ridge10k_-0.8,-0.8,PyTorch
11,mp2,0.2123899868214286,0.0053236394791154,AtlasNet,Eig-Ridge10k_-0.8,-0.8,PyTorch
12,c2,0.1426520274504139,0.0051479971598603,AtlasNet,Eig-Ridge10k_-0.9,-0.9,PyTorch
13,mp2,0.2027801391226379,0.004865740398459,AtlasNet,Eig-Ridge10k_-0.9,-0.9,PyTorch
14,c2,0.1411022095324748,0.0054003186536533,AtlasNet,Eig-Ridge10k_-1.0,-1.0,PyTorch
15,mp2,0.1890153978473206,0.0045721917078078,AtlasNet,Eig-Ridge10k_-1.0,-1.0,PyTorch
16,c2,0.1326616340777124,0.0057309302662564,AtlasNet,Eig-Ridge10k_-1.2,-1.2,PyTorch
17,mp2,0.1606621708441169,0.0040543825481948,AtlasNet,Eig-Ridge10k_-1.2,-1.2,PyTorch
18,c2,0.1178566181206113,0.0061866179633294,AtlasNet,Eig-Ridge10k_-1.4,-1.4,PyTorch
19,mp2,0.1335715887127656,0.0035026514069294,AtlasNet,Eig-Ridge10k_-1.4,-1.4,PyTorch
20,c2,0.0989447171210391,0.0066268749485764,AtlasNet,Eig-Ridge10k_-1.6,-1.6,PyTorch
21,mp2,0.108015731557235,0.0033327162043365,AtlasNet,Eig-Ridge10k_-1.6,-1.6,PyTorch
22,c2,0.0757762715398595,0.0069725008193121,AtlasNet,Eig-Ridge10k_-1.8,-1.8,PyTorch
23,mp2,0.0908572345841946,0.0031183945989176,AtlasNet,Eig-Ridge10k_-1.8,-1.8,PyTorch
24,c2,0.0597509799631022,0.0067087462553251,AtlasNet,Eig-Ridge10k_-2,-2,PyTorch
25,mp2,0.0800882977132705,0.0033294201099835,AtlasNet,Eig-Ridge10k_-2,-2,PyTorch
26,c2,0.0487843671739428,0.0065956876299078,AtlasNet,Eig-Ridge10k_-2.2,-2.2,PyTorch
27,mp2,0.0746565332960705,0.003506271641702,AtlasNet,Eig-Ridge10k_-2.2,-2.2,PyTorch
28,c2,0.0445984497981126,0.0064936939354399,AtlasNet,Eig-Ridge10k_-2.4,-2.4,PyTorch
29,mp2,0.0719763363978493,0.003666141967942,AtlasNet,Eig-Ridge10k_-2.4,-2.4,PyTorch
30,c2,0.0421781742909169,0.0063071527960475,AtlasNet,Eig-Ridge10k_-2.6,-2.6,PyTorch
31,mp2,0.0695608955710255,0.003780780853744,AtlasNet,Eig-Ridge10k_-2.6,-2.6,PyTorch
32,c2,0.0409952823712967,0.0059422299279044,AtlasNet,Eig-Ridge10k_-2.8,-2.8,PyTorch
33,mp2,0.0683057769942035,0.0037120869085874,AtlasNet,Eig-Ridge10k_-2.8,-2.8,PyTorch
34,c2,0.0405178953594234,0.0059796934060397,AtlasNet,Eig-Ridge10k_-3,-3,PyTorch
35,mp2,0.0674739418215967,0.0037964042815595,AtlasNet,Eig-Ridge10k_-3,-3,PyTorch
