layer,score,score_error,architecture,task,kind,source
c2,0.12020713445933984,0.0040332618971203205,AtlasNet,Eig-Ridge10k_-0.2,Untrained,PyTorch
mp2,0.19218950046400218,0.004012080198016402,AtlasNet,Eig-Ridge10k_-0.2,Untrained,PyTorch
c2,0.11927809672993647,0.004828917714029331,AtlasNet,Eig-Ridge10k_0,Untrained,PyTorch
mp2,0.17121442306310025,0.003790568904216186,AtlasNet,Eig-Ridge10k_0,Untrained,PyTorch
c2,0.11747078354021952,0.0037554758763102616,AtlasNet,Eig-Ridge10k_3,Untrained,PyTorch
mp2,0.14920128486363857,0.0029240705855847295,AtlasNet,Eig-Ridge10k_3,Untrained,PyTorch
c2,0.12725189396165124,0.004259840771789707,AtlasNet,Eig-Ridge10k_-0.4,Untrained,PyTorch
mp2,0.2124950677373429,0.00528619447038882,AtlasNet,Eig-Ridge10k_-0.4,Untrained,PyTorch
c2,0.1310132528185705,0.0045367419158967035,AtlasNet,Eig-Ridge10k_-0.5,Untrained,PyTorch
mp2,0.21828573529386608,0.0049723227402923694,AtlasNet,Eig-Ridge10k_-0.5,Untrained,PyTorch
c2,0.1344007518993854,0.004437299426913802,AtlasNet,Eig-Ridge10k_-0.6,Untrained,PyTorch
mp2,0.22122500289147407,0.005072742298224996,AtlasNet,Eig-Ridge10k_-0.6,Untrained,PyTorch
c2,0.13842990546094336,0.004956334572098336,AtlasNet,Eig-Ridge10k_-0.7,Untrained,PyTorch
mp2,0.22050269500991704,0.004835942703260227,AtlasNet,Eig-Ridge10k_-0.7,Untrained,PyTorch
c2,0.14288300856508904,0.004986583343952856,AtlasNet,Eig-Ridge10k_-0.8,Untrained,PyTorch
mp2,0.21238998682142868,0.005323639479115467,AtlasNet,Eig-Ridge10k_-0.8,Untrained,PyTorch
c2,0.14265202745041397,0.005147997159860398,AtlasNet,Eig-Ridge10k_-0.9,Untrained,PyTorch
mp2,0.2027801391226379,0.004865740398459017,AtlasNet,Eig-Ridge10k_-0.9,Untrained,PyTorch
c2,0.14110220953247488,0.005400318653653329,AtlasNet,Eig-Ridge10k_-1.0,Untrained,PyTorch
mp2,0.1890153978473206,0.004572191707807841,AtlasNet,Eig-Ridge10k_-1.0,Untrained,PyTorch
c2,0.13266163407771245,0.0057309302662564305,AtlasNet,Eig-Ridge10k_-1.2,Untrained,PyTorch
mp2,0.16066217084411694,0.00405438254819489,AtlasNet,Eig-Ridge10k_-1.2,Untrained,PyTorch
c2,0.11785661812061131,0.006186617963329455,AtlasNet,Eig-Ridge10k_-1.4,Untrained,PyTorch
mp2,0.13357158871276562,0.003502651406929492,AtlasNet,Eig-Ridge10k_-1.4,Untrained,PyTorch
c2,0.09894471712103912,0.006626874948576458,AtlasNet,Eig-Ridge10k_-1.6,Untrained,PyTorch
mp2,0.10801573155723507,0.0033327162043365116,AtlasNet,Eig-Ridge10k_-1.6,Untrained,PyTorch
c2,0.0757762715398595,0.00697250081931218,AtlasNet,Eig-Ridge10k_-1.8,Untrained,PyTorch
mp2,0.09085723458419469,0.0031183945989176802,AtlasNet,Eig-Ridge10k_-1.8,Untrained,PyTorch
c2,0.05975097996310223,0.006708746255325102,AtlasNet,Eig-Ridge10k_-2,Untrained,PyTorch
mp2,0.08008829771327058,0.0033294201099835215,AtlasNet,Eig-Ridge10k_-2,Untrained,PyTorch
c2,0.04878436717394284,0.006595687629907883,AtlasNet,Eig-Ridge10k_-2.2,Untrained,PyTorch
mp2,0.07465653329607051,0.003506271641702071,AtlasNet,Eig-Ridge10k_-2.2,Untrained,PyTorch
c2,0.044598449798112665,0.0064936939354399955,AtlasNet,Eig-Ridge10k_-2.4,Untrained,PyTorch
mp2,0.07197633639784937,0.0036661419679420025,AtlasNet,Eig-Ridge10k_-2.4,Untrained,PyTorch
c2,0.04217817429091699,0.0063071527960475715,AtlasNet,Eig-Ridge10k_-2.6,Untrained,PyTorch
mp2,0.06956089557102552,0.0037807808537440356,AtlasNet,Eig-Ridge10k_-2.6,Untrained,PyTorch
c2,0.04099528237129675,0.005942229927904474,AtlasNet,Eig-Ridge10k_-2.8,Untrained,PyTorch
mp2,0.06830577699420355,0.0037120869085874187,AtlasNet,Eig-Ridge10k_-2.8,Untrained,PyTorch
c2,0.040517895359423406,0.00597969340603978,AtlasNet,Eig-Ridge10k_-3,Untrained,PyTorch
mp2,0.06747394182159679,0.003796404281559584,AtlasNet,Eig-Ridge10k_-3,Untrained,PyTorch
