,layer,score,score_error,architecture,task,kind,source
0,c2,0.1155196537720563,0.0039553992161456,AtlasNet,Eig-Ridge1_-0.2,-0.2,PyTorch
1,mp2,0.1462916185380416,0.0045620419540875,AtlasNet,Eig-Ridge1_-0.2,-0.2,PyTorch
2,c2,0.1142797746066578,0.0040071114755445,AtlasNet,Eig-Ridge1_-0.4,-0.4,PyTorch
3,mp2,0.1452742783332039,0.0053761321246534,AtlasNet,Eig-Ridge1_-0.4,-0.4,PyTorch
4,c2,0.1127033832190965,0.0040000355143725,AtlasNet,Eig-Ridge1_-0.5,-0.5,PyTorch
5,mp2,0.1428432904010922,0.004572774520275,AtlasNet,Eig-Ridge1_-0.5,-0.5,PyTorch
6,c2,0.1106830130673285,0.0043332152793383,AtlasNet,Eig-Ridge1_-0.6,-0.6,PyTorch
7,mp2,0.1421975615163334,0.004317975661083,AtlasNet,Eig-Ridge1_-0.6,-0.6,PyTorch
8,c2,0.1095191225709079,0.0042046969794653,AtlasNet,Eig-Ridge1_-0.7,-0.7,PyTorch
9,mp2,0.1369871926021761,0.0045567873712252,AtlasNet,Eig-Ridge1_-0.7,-0.7,PyTorch
10,c2,0.1082270499758145,0.0045734577129412,AtlasNet,Eig-Ridge1_-0.8,-0.8,PyTorch
11,mp2,0.1312143457778195,0.0048888822761682,AtlasNet,Eig-Ridge1_-0.8,-0.8,PyTorch
12,c2,0.1025575281838013,0.0047854581029482,AtlasNet,Eig-Ridge1_-0.9,-0.9,PyTorch
13,mp2,0.1239616425197388,0.0042870575109264,AtlasNet,Eig-Ridge1_-0.9,-0.9,PyTorch
14,c2,0.1002408846974358,0.0051101478456316,AtlasNet,Eig-Ridge1_-1.0,-1.0,PyTorch
15,mp2,0.1131252121395275,0.0047036143264512,AtlasNet,Eig-Ridge1_-1.0,-1.0,PyTorch
16,c2,0.0919873216524307,0.0052039638097573,AtlasNet,Eig-Ridge1_-1.2,-1.2,PyTorch
17,mp2,0.1029963232923257,0.0043622676960878,AtlasNet,Eig-Ridge1_-1.2,-1.2,PyTorch
18,c2,0.0823096569956362,0.0043098665738515,AtlasNet,Eig-Ridge1_-1.4,-1.4,PyTorch
19,mp2,0.0870266601775098,0.0048450559723324,AtlasNet,Eig-Ridge1_-1.4,-1.4,PyTorch
20,c2,0.0750717097307636,0.0046322363677178,AtlasNet,Eig-Ridge1_-1.6,-1.6,PyTorch
21,mp2,0.0801943480581906,0.0049758576325765,AtlasNet,Eig-Ridge1_-1.6,-1.6,PyTorch
22,c2,0.0725456456446498,0.0050876096447543,AtlasNet,Eig-Ridge1_-1.8,-1.8,PyTorch
23,mp2,0.0742684445216253,0.0044260473101737,AtlasNet,Eig-Ridge1_-1.8,-1.8,PyTorch
24,c2,0.0695175741298231,0.0045552179791803,AtlasNet,Eig-Ridge1_-2,-2,PyTorch
25,mp2,0.0640350029751396,0.0041777907851276,AtlasNet,Eig-Ridge1_-2,-2,PyTorch
26,c2,0.067950415370128,0.0046440152809391,AtlasNet,Eig-Ridge1_-2.2,-2.2,PyTorch
27,mp2,0.0575714793749535,0.003580322617892,AtlasNet,Eig-Ridge1_-2.2,-2.2,PyTorch
28,c2,0.0670461665261546,0.0054312128756663,AtlasNet,Eig-Ridge1_-2.4,-2.4,PyTorch
29,mp2,0.0503390892075253,0.003274646781364,AtlasNet,Eig-Ridge1_-2.4,-2.4,PyTorch
30,c2,0.065553697260934,0.0055092254329409,AtlasNet,Eig-Ridge1_-2.6,-2.6,PyTorch
31,mp2,0.044547893235232,0.0032052406133966,AtlasNet,Eig-Ridge1_-2.6,-2.6,PyTorch
32,c2,0.0645723303851655,0.0059033362941735,AtlasNet,Eig-Ridge1_-2.8,-2.8,PyTorch
33,mp2,0.0416757608589273,0.0031910208218486,AtlasNet,Eig-Ridge1_-2.8,-2.8,PyTorch
34,c2,0.0612257488629008,0.0058960298511954,AtlasNet,Eig-Ridge1_-3,-3,PyTorch
35,mp2,0.0410738558251954,0.0036182381206851,AtlasNet,Eig-Ridge1_-3,-3,PyTorch
