layer,score,score_error,architecture,task,kind,source
c2,0.11551880277125243,0.0039552727155350905,AtlasNet,Vscale1_alpha-0.2,-0.2,1
mp2,0.14628075353878991,0.00456220933018625,AtlasNet,Vscale1_alpha-0.2,-0.2,1
c2,0.1163110137311558,0.004255390802890166,AtlasNet,Vscale1_alpha-0.3,-0.3,1
mp2,0.1464304585563174,0.004370162877214816,AtlasNet,Vscale1_alpha-0.3,-0.3,1
c2,0.11406234220762022,0.004428060469029044,AtlasNet,Vscale1_alpha-0.4,-0.4,1
mp2,0.14638056237811556,0.004528648685622339,AtlasNet,Vscale1_alpha-0.4,-0.4,1
c2,0.11296599187948476,0.004016905799504992,AtlasNet,Vscale1_alpha-0.5,-0.5,1
mp2,0.14393268085377212,0.005234763728107883,AtlasNet,Vscale1_alpha-0.5,-0.5,1
c2,0.11142493709033391,0.004342476540011322,AtlasNet,Vscale1_alpha-0.6,-0.6,1
mp2,0.13997690476092597,0.004570016387589997,AtlasNet,Vscale1_alpha-0.6,-0.6,1
c2,0.10783008098507746,0.004353546750931553,AtlasNet,Vscale1_alpha-0.7,-0.7,1
mp2,0.13553533546842914,0.00425820233102366,AtlasNet,Vscale1_alpha-0.7,-0.7,1
c2,0.10671041111538665,0.004527345571908306,AtlasNet,Vscale1_alpha-0.8,-0.8,1
mp2,0.12877364537255123,0.0048267224756636485,AtlasNet,Vscale1_alpha-0.8,-0.8,1
c2,0.1052388036981251,0.004576490930455138,AtlasNet,Vscale1_alpha-0.9,-0.9,1
mp2,0.1234647834497846,0.005220047755252674,AtlasNet,Vscale1_alpha-0.9,-0.9,1
c2,0.10013457949113785,0.0049887231065151895,AtlasNet,Vscale1_alpha-1.0,-1.0,1
mp2,0.11469714931822866,0.004479818976540969,AtlasNet,Vscale1_alpha-1.0,-1.0,1
c2,0.09315587977244721,0.005146689231292082,AtlasNet,Vscale1_alpha-1.2,-1.2,1
mp2,0.09900779434437146,0.0051417225324284985,AtlasNet,Vscale1_alpha-1.2,-1.2,1
c2,0.08232958806306286,0.004293446031926955,AtlasNet,Vscale1_alpha-1.4,-1.4,1
mp2,0.08903922781145636,0.003998989459895133,AtlasNet,Vscale1_alpha-1.4,-1.4,1
c2,0.07444043047013993,0.004715799229297045,AtlasNet,Vscale1_alpha-1.6,-1.6,1
mp2,0.07922570103287994,0.004438098161042765,AtlasNet,Vscale1_alpha-1.6,-1.6,1
c2,0.06939974469060473,0.004764570710867432,AtlasNet,Vscale1_alpha-1.8,-1.8,1
mp2,0.07257673071455119,0.004534824102317492,AtlasNet,Vscale1_alpha-1.8,-1.8,1
c2,0.06823883069904707,0.00461620053654589,AtlasNet,Vscale1_alpha-2,-2,1
mp2,0.06501523278747118,0.004526410720051961,AtlasNet,Vscale1_alpha-2,-2,1
c2,0.06552924585672706,0.0049146860492661724,AtlasNet,Vscale1_alpha-2.2,-2.2,1
mp2,0.05483972877053537,0.003388839501803107,AtlasNet,Vscale1_alpha-2.2,-2.2,1
c2,0.06325625711579788,0.00480532720654599,AtlasNet,Vscale1_alpha-2.4,-2.4,1
mp2,0.04891040526704468,0.002748152594606848,AtlasNet,Vscale1_alpha-2.4,-2.4,1
c2,0.06084586380844363,0.00558798380592351,AtlasNet,Vscale1_alpha-2.6,-2.6,1
mp2,0.04209772549459521,0.0023811657041836426,AtlasNet,Vscale1_alpha-2.6,-2.6,1
c2,0.059870279912885294,0.005098349254265174,AtlasNet,Vscale1_alpha-2.8,-2.8,1
mp2,0.038339523305158545,0.0025696048123785183,AtlasNet,Vscale1_alpha-2.8,-2.8,1
c2,0.05869199426300364,0.005303969848603349,AtlasNet,Vscale1_alpha-3,-3,1
mp2,0.03692524918802092,0.0027667260682362237,AtlasNet,Vscale1_alpha-3,-3,1
c2,0.11791307953877725,0.004470044572215013,AtlasNet,Vscale2_alpha-0.2,-0.2,2
mp2,0.1422895845079194,0.00395905917264084,AtlasNet,Vscale2_alpha-0.2,-0.2,2
c2,0.116700977582415,0.00478267563726778,AtlasNet,Vscale2_alpha-0.3,-0.3,2
mp2,0.1480764287993826,0.004052817422399617,AtlasNet,Vscale2_alpha-0.3,-0.3,2
c2,0.11541825264271523,0.004215275377360842,AtlasNet,Vscale2_alpha-0.4,-0.4,2
