layer,score,score_error,architecture,task,kind,source
c2,0.1843303572588381,0.004873957054369001,AtlasNet,Vscale1_alpha-0.2,-0.2,1
mp2,0.2303995382760763,0.004607565916754458,AtlasNet,Vscale1_alpha-0.2,-0.2,1
c2,0.17955999510151832,0.005539408089360836,AtlasNet,Vscale1_alpha-0.3,-0.3,1
mp2,0.22260768585939994,0.004518401749155773,AtlasNet,Vscale1_alpha-0.3,-0.3,1
c2,0.17560929257567695,0.005043718349054709,AtlasNet,Vscale1_alpha-0.4,-0.4,1
mp2,0.21695551836346236,0.005164270801462114,AtlasNet,Vscale1_alpha-0.4,-0.4,1
c2,0.16775081401419106,0.0051004098550558015,AtlasNet,Vscale1_alpha-0.5,-0.5,1
mp2,0.20843729427279334,0.00530976962482157,AtlasNet,Vscale1_alpha-0.5,-0.5,1
c2,0.1625678265859052,0.005144307354310093,AtlasNet,Vscale1_alpha-0.6,-0.6,1
mp2,0.1965094151365728,0.006231540022648948,AtlasNet,Vscale1_alpha-0.6,-0.6,1
c2,0.15273137130852218,0.005604550286370097,AtlasNet,Vscale1_alpha-0.7,-0.7,1
mp2,0.18767678407546495,0.005867044298126845,AtlasNet,Vscale1_alpha-0.7,-0.7,1
c2,0.1446711072226153,0.0062327524892268294,AtlasNet,Vscale1_alpha-0.8,-0.8,1
mp2,0.1767535275170531,0.005565336973583466,AtlasNet,Vscale1_alpha-0.8,-0.8,1
c2,0.13647427627272976,0.00603465658997156,AtlasNet,Vscale1_alpha-0.9,-0.9,1
mp2,0.16382388849111193,0.00596181200923938,AtlasNet,Vscale1_alpha-0.9,-0.9,1
c2,0.13091105656687382,0.005959487520582758,AtlasNet,Vscale1_alpha-1.0,-1.0,1
mp2,0.15404654895034414,0.005909167142111679,AtlasNet,Vscale1_alpha-1.0,-1.0,1
c2,0.11435748752888898,0.0067306931879973575,AtlasNet,Vscale1_alpha-1.2,-1.2,1
mp2,0.13879663762699251,0.006261514079227206,AtlasNet,Vscale1_alpha-1.2,-1.2,1
c2,0.09854991161116292,0.005962147694912036,AtlasNet,Vscale1_alpha-1.4,-1.4,1
mp2,0.11558975573322286,0.005576441524668124,AtlasNet,Vscale1_alpha-1.4,-1.4,1
c2,0.0835907102661239,0.007312231584970631,AtlasNet,Vscale1_alpha-1.6,-1.6,1
mp2,0.09852194919636376,0.004127507636764198,AtlasNet,Vscale1_alpha-1.6,-1.6,1
c2,0.06871775487372035,0.007534660911796096,AtlasNet,Vscale1_alpha-1.8,-1.8,1
mp2,0.08332403773207031,0.004694037518773626,AtlasNet,Vscale1_alpha-1.8,-1.8,1
c2,0.05608386376235444,0.0070411598566181574,AtlasNet,Vscale1_alpha-2,-2,1
mp2,0.07339686733899378,0.004842509521410796,AtlasNet,Vscale1_alpha-2,-2,1
c2,0.04520678943842194,0.007780884574686718,AtlasNet,Vscale1_alpha-2.2,-2.2,1
mp2,0.06689868612708227,0.004308084304477998,AtlasNet,Vscale1_alpha-2.2,-2.2,1
c2,0.042328453834239894,0.007060272629924055,AtlasNet,Vscale1_alpha-2.4,-2.4,1
mp2,0.06345366996688347,0.004448608374479419,AtlasNet,Vscale1_alpha-2.4,-2.4,1
c2,0.0420627941058779,0.00696166415874416,AtlasNet,Vscale1_alpha-2.6,-2.6,1
mp2,0.06252463537303311,0.004453365316289687,AtlasNet,Vscale1_alpha-2.6,-2.6,1
c2,0.041653154146687486,0.006829347878629865,AtlasNet,Vscale1_alpha-2.8,-2.8,1
mp2,0.05999294635985764,0.004462680529885791,AtlasNet,Vscale1_alpha-2.8,-2.8,1
c2,0.04140321381796749,0.006935068258161256,AtlasNet,Vscale1_alpha-3,-3,1
mp2,0.05900348994079357,0.004409861970914106,AtlasNet,Vscale1_alpha-3,-3,1
c2,0.18537893265621605,0.005031998812758582,AtlasNet,Vscale2_alpha-0.2,-0.2,2
mp2,0.2274258170382543,0.004697429364402358,AtlasNet,Vscale2_alpha-0.2,-0.2,2
c2,0.18043032134585738,0.005444503623841204,AtlasNet,Vscale2_alpha-0.3,-0.3,2
mp2,0.22227374235778713,0.004797916328895006,AtlasNet,Vscale2_alpha-0.3,-0.3,2
c2,0.1758559434379979,0.004825995657017104,AtlasNet,Vscale2_alpha-0.4,-0.4,2
mp2,0.2153474321211621,0.005251012723027765,AtlasNet,Vscale2_alpha-0.4,-0.4,2
c2,0.16996294216618507,0.005392730068920378,AtlasNet,Vscale2_alpha-0.5,-0.5,2
mp2,0.20770852079171953,0.0049028389178285775,AtlasNet,Vscale2_alpha-0.5,-0.5,2
c2,0.16238509151430813,0.005407723469114328,AtlasNet,Vscale2_alpha-0.6,-0.6,2
mp2,0.19819802156145716,0.006030542302736826,AtlasNet,Vscale2_alpha-0.6,-0.6,2
c2,0.15393304721106082,0.005250147846555791,AtlasNet,Vscale2_alpha-0.7,-0.7,2
mp2,0.1870322111340168,0.005739951367247501,AtlasNet,Vscale2_alpha-0.7,-0.7,2
c2,0.14338574378999658,0.005448378179311659,AtlasNet,Vscale2_alpha-0.8,-0.8,2
mp2,0.17711798127091744,0.005672198670132982,AtlasNet,Vscale2_alpha-0.8,-0.8,2
c2,0.1360149972126202,0.005362188489429059,AtlasNet,Vscale2_alpha-0.9,-0.9,2
mp2,0.1631552216594961,0.006110256570041772,AtlasNet,Vscale2_alpha-0.9,-0.9,2
c2,0.12730752479338314,0.005683706392639551,AtlasNet,Vscale2_alpha-1.0,-1.0,2
mp2,0.1526667664622702,0.006035733046903844,AtlasNet,Vscale2_alpha-1.0,-1.0,2
c2,0.11328353016425755,0.0063394847775970695,AtlasNet,Vscale2_alpha-1.2,-1.2,2
mp2,0.1370439268851825,0.006319283024687473,AtlasNet,Vscale2_alpha-1.2,-1.2,2
c2,0.09901862729403398,0.005473799175836503,AtlasNet,Vscale2_alpha-1.4,-1.4,2
mp2,0.11517490935430501,0.006192387064568513,AtlasNet,Vscale2_alpha-1.4,-1.4,2
c2,0.08455467052661907,0.007220968083682954,AtlasNet,Vscale2_alpha-1.6,-1.6,2
mp2,0.09911128006228044,0.004317748176331114,AtlasNet,Vscale2_alpha-1.6,-1.6,2
