layer,score,score_error,architecture,task,kind,source
c2,0.11552404203553533,0.003957257440117249,AtlasNet,Vscale1_alpha-0.2,-0.2,1
mp2,0.1463928147163695,0.004563008533016403,AtlasNet,Vscale1_alpha-0.2,-0.2,1
c2,0.11631761919935409,0.004258273183164872,AtlasNet,Vscale1_alpha-0.3,-0.3,1
mp2,0.14661962741714504,0.004366847773358972,AtlasNet,Vscale1_alpha-0.3,-0.3,1
c2,0.11410087161057876,0.004427728713890443,AtlasNet,Vscale1_alpha-0.4,-0.4,1
mp2,0.14667919575910074,0.004520390263190027,AtlasNet,Vscale1_alpha-0.4,-0.4,1
c2,0.11304511272364717,0.0040265506658867575,AtlasNet,Vscale1_alpha-0.5,-0.5,1
mp2,0.144461140749666,0.005237290601380763,AtlasNet,Vscale1_alpha-0.5,-0.5,1
c2,0.11150184505035798,0.004331666125713849,AtlasNet,Vscale1_alpha-0.6,-0.6,1
mp2,0.1408895504117296,0.004558993651177489,AtlasNet,Vscale1_alpha-0.6,-0.6,1
c2,0.10799306709191021,0.004367253254587556,AtlasNet,Vscale1_alpha-0.7,-0.7,1
mp2,0.1367942255741218,0.0041905013392657,AtlasNet,Vscale1_alpha-0.7,-0.7,1
c2,0.10707220794311278,0.004587637671205911,AtlasNet,Vscale1_alpha-0.8,-0.8,1
mp2,0.1306997045418924,0.004892325292277492,AtlasNet,Vscale1_alpha-0.8,-0.8,1
c2,0.1055318269625657,0.00461841199844295,AtlasNet,Vscale1_alpha-0.9,-0.9,1
mp2,0.12588809646483073,0.005185468911477081,AtlasNet,Vscale1_alpha-0.9,-0.9,1
c2,0.10077051652700497,0.005121305998475129,AtlasNet,Vscale1_alpha-1.0,-1.0,1
mp2,0.11806713347326141,0.004584067179408955,AtlasNet,Vscale1_alpha-1.0,-1.0,1
c2,0.09441780227473069,0.005125976581998889,AtlasNet,Vscale1_alpha-1.2,-1.2,1
mp2,0.10417132208912215,0.0052376685124732175,AtlasNet,Vscale1_alpha-1.2,-1.2,1
c2,0.08449945258690715,0.004265942311166164,AtlasNet,Vscale1_alpha-1.4,-1.4,1
mp2,0.09508185493422816,0.004145387561235551,AtlasNet,Vscale1_alpha-1.4,-1.4,1
c2,0.07695103054866739,0.004583417296545082,AtlasNet,Vscale1_alpha-1.6,-1.6,1
mp2,0.08712951672412811,0.004304097216002943,AtlasNet,Vscale1_alpha-1.6,-1.6,1
c2,0.07451294095579257,0.005103862131098441,AtlasNet,Vscale1_alpha-1.8,-1.8,1
mp2,0.08081096320997874,0.00452701942620341,AtlasNet,Vscale1_alpha-1.8,-1.8,1
c2,0.07402304140255636,0.005443926001826948,AtlasNet,Vscale1_alpha-2,-2,1
mp2,0.07394024436227932,0.004798561488754347,AtlasNet,Vscale1_alpha-2,-2,1
c2,0.07222478108253721,0.005886471854993794,AtlasNet,Vscale1_alpha-2.2,-2.2,1
mp2,0.06525591952606472,0.0038243241910546925,AtlasNet,Vscale1_alpha-2.2,-2.2,1
c2,0.07016614760871005,0.005847022336331783,AtlasNet,Vscale1_alpha-2.4,-2.4,1
mp2,0.05964548881661193,0.0035799356067130607,AtlasNet,Vscale1_alpha-2.4,-2.4,1
c2,0.06539187071643336,0.006419547160410742,AtlasNet,Vscale1_alpha-2.6,-2.6,1
mp2,0.054122615359585784,0.0038589694815798084,AtlasNet,Vscale1_alpha-2.6,-2.6,1
c2,0.05898426003410813,0.006309738088772527,AtlasNet,Vscale1_alpha-2.8,-2.8,1
mp2,0.05118783173649041,0.0036701968344730967,AtlasNet,Vscale1_alpha-2.8,-2.8,1
c2,0.05067964277649246,0.006250536777049367,AtlasNet,Vscale1_alpha-3,-3,1
mp2,0.05090109441874301,0.003478872922119429,AtlasNet,Vscale1_alpha-3,-3,1
c2,0.11791388442585045,0.004470204918606693,AtlasNet,Vscale2_alpha-0.2,-0.2,2
mp2,0.14231532170123104,0.003958397853029042,AtlasNet,Vscale2_alpha-0.2,-0.2,2
c2,0.11670251012586065,0.004783343511641633,AtlasNet,Vscale2_alpha-0.3,-0.3,2
mp2,0.14812234930145782,0.004053263643522817,AtlasNet,Vscale2_alpha-0.3,-0.3,2
c2,0.11542388956154333,0.004215607828148274,AtlasNet,Vscale2_alpha-0.4,-0.4,2
mp2,0.1464362008227903,0.005192914670193911,AtlasNet,Vscale2_alpha-0.4,-0.4,2
c2,0.11422433252082877,0.0040235462593459365,AtlasNet,Vscale2_alpha-0.5,-0.5,2
mp2,0.1371146656224624,0.004290196685494565,AtlasNet,Vscale2_alpha-0.5,-0.5,2
c2,0.11264624332772658,0.0041833741215914055,AtlasNet,Vscale2_alpha-0.6,-0.6,2
mp2,0.13752210594177877,0.004048010932492436,AtlasNet,Vscale2_alpha-0.6,-0.6,2
c2,0.10956211678449763,0.004494129391791466,AtlasNet,Vscale2_alpha-0.7,-0.7,2
mp2,0.13747646684637232,0.004768410189110339,AtlasNet,Vscale2_alpha-0.7,-0.7,2
c2,0.10652217449487104,0.004625583788974341,AtlasNet,Vscale2_alpha-0.8,-0.8,2
mp2,0.12910041575307163,0.0042229726704929435,AtlasNet,Vscale2_alpha-0.8,-0.8,2
c2,0.10416899703201202,0.005349802578471185,AtlasNet,Vscale2_alpha-0.9,-0.9,2
mp2,0.12223978224939198,0.004427830102892646,AtlasNet,Vscale2_alpha-0.9,-0.9,2
c2,0.10001127121196951,0.0052564680698748666,AtlasNet,Vscale2_alpha-1.0,-1.0,2
mp2,0.11373520616681536,0.004155311881364239,AtlasNet,Vscale2_alpha-1.0,-1.0,2
c2,0.09253913305059457,0.004987838312672811,AtlasNet,Vscale2_alpha-1.2,-1.2,2
mp2,0.10050346278421946,0.004688492268770302,AtlasNet,Vscale2_alpha-1.2,-1.2,2
c2,0.08288280982193286,0.004510669903416122,AtlasNet,Vscale2_alpha-1.4,-1.4,2
mp2,0.08759553277980442,0.004443267094604453,AtlasNet,Vscale2_alpha-1.4,-1.4,2
c2,0.07652051569908938,0.004195149601987771,AtlasNet,Vscale2_alpha-1.6,-1.6,2
mp2,0.0829174653696808,0.0037849874399922246,AtlasNet,Vscale2_alpha-1.6,-1.6,2
c2,0.0724270831218399,0.00493076814173837,AtlasNet,Vscale2_alpha-1.8,-1.8,2
mp2,0.07594410994513305,0.004020267692493273,AtlasNet,Vscale2_alpha-1.8,-1.8,2
c2,0.06992421324124633,0.004880675745259905,AtlasNet,Vscale2_alpha-2,-2,2
mp2,0.06648997389659297,0.0034669798107199476,AtlasNet,Vscale2_alpha-2,-2,2
c2,0.0686525660927523,0.005398213462542378,AtlasNet,Vscale2_alpha-2.2,-2.2,2
mp2,0.05721892914525974,0.0041072938348771,AtlasNet,Vscale2_alpha-2.2,-2.2,2
c2,0.06730857232143281,0.005505980192135051,AtlasNet,Vscale2_alpha-2.4,-2.4,2
mp2,0.05049945442534528,0.002914455512054068,AtlasNet,Vscale2_alpha-2.4,-2.4,2
c2,0.06651903233506935,0.005631908151812146,AtlasNet,Vscale2_alpha-2.6,-2.6,2
mp2,0.048321591251961046,0.003331308060941395,AtlasNet,Vscale2_alpha-2.6,-2.6,2
c2,0.06336034387534412,0.00598350789407402,AtlasNet,Vscale2_alpha-2.8,-2.8,2
mp2,0.045869760759913294,0.00312249012577181,AtlasNet,Vscale2_alpha-2.8,-2.8,2
c2,0.058937356816795655,0.006198226524588238,AtlasNet,Vscale2_alpha-3,-3,2
mp2,0.044353074239469534,0.0033596971374551476,AtlasNet,Vscale2_alpha-3,-3,2
c2,0.11560147502200276,0.004373781694372948,AtlasNet,Vscale5_alpha-0.2,-0.2,5
mp2,0.1450624583115062,0.004672922031622683,AtlasNet,Vscale5_alpha-0.2,-0.2,5
c2,0.11588942450581409,0.004417527109296762,AtlasNet,Vscale5_alpha-0.3,-0.3,5
mp2,0.14863975149675981,0.003781675972690294,AtlasNet,Vscale5_alpha-0.3,-0.3,5
c2,0.1148423708072013,0.004409998078715087,AtlasNet,Vscale5_alpha-0.4,-0.4,5
mp2,0.14489563218185655,0.004682587697495099,AtlasNet,Vscale5_alpha-0.4,-0.4,5
c2,0.11316381721094,0.0037140777780123365,AtlasNet,Vscale5_alpha-0.5,-0.5,5
mp2,0.14219843356828632,0.004988640313558849,AtlasNet,Vscale5_alpha-0.5,-0.5,5
c2,0.11141067044843106,0.004673669813833363,AtlasNet,Vscale5_alpha-0.6,-0.6,5
mp2,0.14298882054615367,0.005263377103664284,AtlasNet,Vscale5_alpha-0.6,-0.6,5
c2,0.1097138703651359,0.0044051912365508485,AtlasNet,Vscale5_alpha-0.7,-0.7,5
mp2,0.1331536230214692,0.00567432783081906,AtlasNet,Vscale5_alpha-0.7,-0.7,5
c2,0.10726127334944793,0.004825730830166666,AtlasNet,Vscale5_alpha-0.8,-0.8,5
mp2,0.1285968232198832,0.0050782360045665605,AtlasNet,Vscale5_alpha-0.8,-0.8,5
c2,0.10339498286819321,0.004975586012757203,AtlasNet,Vscale5_alpha-0.9,-0.9,5
mp2,0.12213870813761692,0.004340584420021152,AtlasNet,Vscale5_alpha-0.9,-0.9,5
c2,0.10027259656453562,0.005150364297960339,AtlasNet,Vscale5_alpha-1.0,-1.0,5
mp2,0.11590626278743761,0.004492060593244792,AtlasNet,Vscale5_alpha-1.0,-1.0,5
c2,0.09336266338467836,0.004819726335730834,AtlasNet,Vscale5_alpha-1.2,-1.2,5
mp2,0.10236467561341646,0.004453857346743774,AtlasNet,Vscale5_alpha-1.2,-1.2,5
c2,0.08221417998901699,0.004473243097517419,AtlasNet,Vscale5_alpha-1.4,-1.4,5
mp2,0.08798826860040553,0.004641708380507572,AtlasNet,Vscale5_alpha-1.4,-1.4,5
c2,0.07471419857622741,0.004400048670076744,AtlasNet,Vscale5_alpha-1.6,-1.6,5
mp2,0.07925450678582426,0.00438791612376201,AtlasNet,Vscale5_alpha-1.6,-1.6,5
c2,0.07144268450609188,0.004736146332920748,AtlasNet,Vscale5_alpha-1.8,-1.8,5
mp2,0.07323715048515503,0.003997097202862347,AtlasNet,Vscale5_alpha-1.8,-1.8,5
c2,0.06861172979877861,0.0045609763869765806,AtlasNet,Vscale5_alpha-2,-2,5
mp2,0.06484081324642336,0.004423641383846065,AtlasNet,Vscale5_alpha-2,-2,5
c2,0.06673736983163985,0.004600615402587138,AtlasNet,Vscale5_alpha-2.2,-2.2,5
mp2,0.056446913070272095,0.0032185413611129474,AtlasNet,Vscale5_alpha-2.2,-2.2,5
c2,0.06526423933830043,0.005078611560869313,AtlasNet,Vscale5_alpha-2.4,-2.4,5
mp2,0.04880875872651774,0.0030028524410069305,AtlasNet,Vscale5_alpha-2.4,-2.4,5
c2,0.06493089805138723,0.005851173105590236,AtlasNet,Vscale5_alpha-2.6,-2.6,5
mp2,0.04351367060335525,0.003431171856018715,AtlasNet,Vscale5_alpha-2.6,-2.6,5
c2,0.06277860584308076,0.005962761945083565,AtlasNet,Vscale5_alpha-2.8,-2.8,5
mp2,0.04288525575057253,0.0027533477735776283,AtlasNet,Vscale5_alpha-2.8,-2.8,5
c2,0.06261218482338986,0.0058362500925628535,AtlasNet,Vscale5_alpha-3,-3,5
mp2,0.0406022420367195,0.002364620584296875,AtlasNet,Vscale5_alpha-3,-3,5
c2,0.11616361371646634,0.004518949157290329,AtlasNet,Vscale10_alpha-0.2,-0.2,10
mp2,0.14509302362540097,0.00483878520370553,AtlasNet,Vscale10_alpha-0.2,-0.2,10
c2,0.11651652832834689,0.003995476565272567,AtlasNet,Vscale10_alpha-0.3,-0.3,10
mp2,0.14803455884337693,0.004102351380283371,AtlasNet,Vscale10_alpha-0.3,-0.3,10
c2,0.11575856282059588,0.003939126172358418,AtlasNet,Vscale10_alpha-0.4,-0.4,10
mp2,0.14390717292189406,0.004870458613397058,AtlasNet,Vscale10_alpha-0.4,-0.4,10
c2,0.11364700745048884,0.004187686245597496,AtlasNet,Vscale10_alpha-0.5,-0.5,10
mp2,0.14165667753859068,0.00535239028052886,AtlasNet,Vscale10_alpha-0.5,-0.5,10
c2,0.11103974052984555,0.004318117343077362,AtlasNet,Vscale10_alpha-0.6,-0.6,10
mp2,0.14052312581268267,0.004946500438942056,AtlasNet,Vscale10_alpha-0.6,-0.6,10
c2,0.10916082474537463,0.004584791795973488,AtlasNet,Vscale10_alpha-0.7,-0.7,10
mp2,0.13645545337187528,0.004273102947646464,AtlasNet,Vscale10_alpha-0.7,-0.7,10
c2,0.10669963891520538,0.004686998511612634,AtlasNet,Vscale10_alpha-0.8,-0.8,10
mp2,0.12620590847292185,0.004518436847151307,AtlasNet,Vscale10_alpha-0.8,-0.8,10
c2,0.10352259748635029,0.004915453168022095,AtlasNet,Vscale10_alpha-0.9,-0.9,10
mp2,0.12393710416961974,0.005254216373640727,AtlasNet,Vscale10_alpha-0.9,-0.9,10
c2,0.10139041066505097,0.005365212886103947,AtlasNet,Vscale10_alpha-1.0,-1.0,10
