,layer,score,score_error,architecture,task,kind,source,Unnamed: 0
0,c2,0.1865009270869244,0.00425770945216,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch,
1,mp2,0.2334036879920894,0.0044904170491258,AtlasNet,Eig_noT_-0.1,Untrained,PyTorch,
2,c2,0.1837905889482406,0.0045190517746079,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch,
3,mp2,0.2277590436034524,0.0042771119862067,AtlasNet,Eig_noT_-0.2,Untrained,PyTorch,
4,c2,0.1811033277796442,0.0050904890988707,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch,
5,mp2,0.2230485564928094,0.0046968193379663,AtlasNet,Eig_noT_-0.3,Untrained,PyTorch,
6,c2,0.1748064192825386,0.0050368738527532,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch,
7,mp2,0.2161448992541386,0.0050754723780003,AtlasNet,Eig_noT_-0.4,Untrained,PyTorch,
8,c2,0.1695642764954135,0.0052267803801778,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch,
9,mp2,0.2066090717547348,0.0053370109678407,AtlasNet,Eig_noT_-0.5,Untrained,PyTorch,
10,c2,0.1607943742108765,0.0057841632956849,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch,
11,mp2,0.1962751988009661,0.0058721757721221,AtlasNet,Eig_noT_-0.6,Untrained,PyTorch,
12,c2,0.1540296705323447,0.005368676409815,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch,
13,mp2,0.187119468935462,0.0057468851449119,AtlasNet,Eig_noT_-0.7,Untrained,PyTorch,
14,c2,0.1440314626079854,0.0052218191616226,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch,
15,mp2,0.1767491822987131,0.0057039577371444,AtlasNet,Eig_noT_-0.8,Untrained,PyTorch,
16,c2,0.1369608756473667,0.0062323925306625,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch,
17,mp2,0.1644612357925492,0.0060586707314232,AtlasNet,Eig_noT_-0.9,Untrained,PyTorch,
18,c2,0.129221880928198,0.0063016441193453,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch,
19,mp2,0.1542870710401936,0.005557698453678,AtlasNet,Eig_noT_-1.0,Untrained,PyTorch,
20,c2,0.1204699020327918,0.0061859498806761,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch,
21,mp2,0.1457070341399247,0.0060712713625379,AtlasNet,Eig_noT_-1.1,Untrained,PyTorch,
22,c2,0.1138457130396834,0.006784280619311,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch,
23,mp2,0.1394848136048245,0.0063991417198464,AtlasNet,Eig_noT_-1.2,Untrained,PyTorch,
24,c2,0.1068511305908421,0.0069515620105534,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch,
25,mp2,0.1276800465647,0.0068141279007426,AtlasNet,Eig_noT_-1.3,Untrained,PyTorch,
26,c2,0.0990394471745171,0.0058808537627516,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch,
27,mp2,0.1180014551122888,0.006273884988423,AtlasNet,Eig_noT_-1.4,Untrained,PyTorch,
28,c2,0.092712776580522,0.0068174087845192,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch,
29,mp2,0.1079222401873683,0.0044869380295296,AtlasNet,Eig_noT_-1.5,Untrained,PyTorch,
30,c2,0.0566213025323893,0.0070175051353682,AtlasNet,Eig_noT_-2,Untrained,PyTorch,4.0
31,mp2,0.0717224140381723,0.0047659569879806,AtlasNet,Eig_noT_-2,Untrained,PyTorch,5.0
32,c2,0.0415773133824172,0.00680246204935,AtlasNet,Eig_noT_-3,Untrained,PyTorch,6.0
33,mp2,0.059534935307787,0.0049938748780736,AtlasNet,Eig_noT_-3,Untrained,PyTorch,7.0
