,layer,score,score_error,architecture,task,kind,source
0,c2,0.1168519531735258,0.0046108452730721,AtlasNet,SVD-OLS-0.2,-0.2,PyTorch
1,mp2,0.146849262915886,0.0050503846057734,AtlasNet,SVD-OLS-0.2,-0.2,PyTorch
2,c2,0.1161290408441579,0.0043584366213648,AtlasNet,SVD-OLS-0.4,-0.4,PyTorch
3,mp2,0.1503859074741629,0.0044332681735084,AtlasNet,SVD-OLS-0.4,-0.4,PyTorch
4,c2,0.1171330730491365,0.0043242790121322,AtlasNet,SVD-OLS-0.5,-0.5,PyTorch
5,mp2,0.152298042661211,0.0038965083891432,AtlasNet,SVD-OLS-0.5,-0.5,PyTorch
6,c2,0.1170991950310244,0.0045943747433588,AtlasNet,SVD-OLS-0.6,-0.6,PyTorch
7,mp2,0.1498503415153816,0.0051787492460724,AtlasNet,SVD-OLS-0.6,-0.6,PyTorch
8,c2,0.1150486868117651,0.0046501623188576,AtlasNet,SVD-OLS-0.7,-0.7,PyTorch
9,mp2,0.1499061570142582,0.0046957124986774,AtlasNet,SVD-OLS-0.7,-0.7,PyTorch
10,c2,0.1134816935816288,0.0047035990819134,AtlasNet,SVD-OLS-0.8,-0.8,PyTorch
11,mp2,0.1509431884797099,0.0041221068601128,AtlasNet,SVD-OLS-0.8,-0.8,PyTorch
12,c2,0.1135114976659644,0.0044475136787137,AtlasNet,SVD-OLS-0.9,-0.9,PyTorch
13,mp2,0.1492776209835631,0.0048065368894293,AtlasNet,SVD-OLS-0.9,-0.9,PyTorch
14,c2,0.1103139779676316,0.0040621313805536,AtlasNet,SVD-OLS-1.0,-1.0,PyTorch
15,mp2,0.1446928594989723,0.0039164391977434,AtlasNet,SVD-OLS-1.0,-1.0,PyTorch
16,c2,0.1106047807879706,0.0039328597754729,AtlasNet,SVD-OLS-1.2,-1.2,PyTorch
17,mp2,0.1423133971637294,0.0036383197663471,AtlasNet,SVD-OLS-1.2,-1.2,PyTorch
18,c2,0.1030785386175669,0.003843416550547,AtlasNet,SVD-OLS-1.4,-1.4,PyTorch
19,mp2,0.1353278093156295,0.0033412302756581,AtlasNet,SVD-OLS-1.4,-1.4,PyTorch
20,c2,0.1031130550638872,0.0051592006863819,AtlasNet,SVD-OLS-1.6,-1.6,PyTorch
21,mp2,0.1316866465389501,0.0042701882067601,AtlasNet,SVD-OLS-1.6,-1.6,PyTorch
22,c2,0.1005437623408877,0.0045693089686403,AtlasNet,SVD-OLS-1.8,-1.8,PyTorch
23,mp2,0.1310873311863679,0.0031332203056606,AtlasNet,SVD-OLS-1.8,-1.8,PyTorch
24,c2,0.1004123337415171,0.0036244498657682,AtlasNet,SVD-OLS-2,-2,PyTorch
25,mp2,0.1287129855895761,0.0028395836916543,AtlasNet,SVD-OLS-2,-2,PyTorch
26,c2,0.0948282340240919,0.0043206943693347,AtlasNet,SVD-OLS-2.2,-2.2,PyTorch
27,mp2,0.125711669570519,0.0038925724988744,AtlasNet,SVD-OLS-2.2,-2.2,PyTorch
28,c2,0.09423321909027,0.0046100131964163,AtlasNet,SVD-OLS-2.4,-2.4,PyTorch
29,mp2,0.1161147747842056,0.0041005742919532,AtlasNet,SVD-OLS-2.4,-2.4,PyTorch
30,c2,0.0894465241309498,0.0045003241641264,AtlasNet,SVD-OLS-2.6,-2.6,PyTorch
31,mp2,0.1169525835130948,0.00403122499886,AtlasNet,SVD-OLS-2.6,-2.6,PyTorch
32,c2,0.0926515554274334,0.0033776064738352,AtlasNet,SVD-OLS-2.8,-2.8,PyTorch
33,mp2,0.113493219339739,0.0030791322591655,AtlasNet,SVD-OLS-2.8,-2.8,PyTorch
34,c2,0.0868679277212703,0.003765369143237,AtlasNet,SVD-OLS-3,-3,PyTorch
35,mp2,0.1083016796241169,0.0048618243718333,AtlasNet,SVD-OLS-3,-3,PyTorch
