layer,score,score_error,architecture,task,kind,source
c2,0.11685195317352583,0.004610845273072137,AtlasNet,SVD-OLS-0.2,Untrained,PyTorch
mp2,0.14684926291588607,0.005050384605773481,AtlasNet,SVD-OLS-0.2,Untrained,PyTorch
c2,0.11735007205526976,0.004466993662072024,AtlasNet,SVD-OLS0,Untrained,PyTorch
mp2,0.14971455257100555,0.005720745921801802,AtlasNet,SVD-OLS0,Untrained,PyTorch
c2,0.11642462600880657,0.004727882254990565,AtlasNet,SVD-OLS3,Untrained,PyTorch
mp2,0.14393994937226345,0.004644257179259591,AtlasNet,SVD-OLS3,Untrained,PyTorch
c2,0.11612904084415794,0.004358436621364842,AtlasNet,SVD-OLS-0.4,Untrained,PyTorch
mp2,0.1503859074741629,0.004433268173508449,AtlasNet,SVD-OLS-0.4,Untrained,PyTorch
c2,0.11713307304913656,0.00432427901213229,AtlasNet,SVD-OLS-0.5,Untrained,PyTorch
mp2,0.152298042661211,0.003896508389143258,AtlasNet,SVD-OLS-0.5,Untrained,PyTorch
c2,0.11709919503102442,0.004594374743358801,AtlasNet,SVD-OLS-0.6,Untrained,PyTorch
mp2,0.14985034151538165,0.005178749246072453,AtlasNet,SVD-OLS-0.6,Untrained,PyTorch
c2,0.11504868681176515,0.004650162318857659,AtlasNet,SVD-OLS-0.7,Untrained,PyTorch
mp2,0.14990615701425822,0.004695712498677476,AtlasNet,SVD-OLS-0.7,Untrained,PyTorch
c2,0.11348169358162881,0.004703599081913466,AtlasNet,SVD-OLS-0.8,Untrained,PyTorch
mp2,0.15094318847970997,0.004122106860112878,AtlasNet,SVD-OLS-0.8,Untrained,PyTorch
c2,0.1135114976659644,0.004447513678713741,AtlasNet,SVD-OLS-0.9,Untrained,PyTorch
mp2,0.14927762098356318,0.004806536889429347,AtlasNet,SVD-OLS-0.9,Untrained,PyTorch
c2,0.11031397796763164,0.00406213138055368,AtlasNet,SVD-OLS-1.0,Untrained,PyTorch
mp2,0.14469285949897237,0.00391643919774348,AtlasNet,SVD-OLS-1.0,Untrained,PyTorch
c2,0.11060478078797066,0.003932859775472987,AtlasNet,SVD-OLS-1.2,Untrained,PyTorch
mp2,0.1423133971637294,0.003638319766347171,AtlasNet,SVD-OLS-1.2,Untrained,PyTorch
c2,0.10307853861756694,0.0038434165505470148,AtlasNet,SVD-OLS-1.4,Untrained,PyTorch
mp2,0.13532780931562954,0.003341230275658128,AtlasNet,SVD-OLS-1.4,Untrained,PyTorch
c2,0.10311305506388724,0.005159200686381943,AtlasNet,SVD-OLS-1.6,Untrained,PyTorch
mp2,0.13168664653895018,0.004270188206760125,AtlasNet,SVD-OLS-1.6,Untrained,PyTorch
c2,0.10054376234088777,0.004569308968640387,AtlasNet,SVD-OLS-1.8,Untrained,PyTorch
mp2,0.13108733118636792,0.003133220305660634,AtlasNet,SVD-OLS-1.8,Untrained,PyTorch
c2,0.10041233374151717,0.003624449865768273,AtlasNet,SVD-OLS-2,Untrained,PyTorch
mp2,0.12871298558957617,0.002839583691654328,AtlasNet,SVD-OLS-2,Untrained,PyTorch
c2,0.09482823402409193,0.00432069436933478,AtlasNet,SVD-OLS-2.2,Untrained,PyTorch
mp2,0.12571166957051902,0.00389257249887448,AtlasNet,SVD-OLS-2.2,Untrained,PyTorch
c2,0.09423321909027009,0.004610013196416361,AtlasNet,SVD-OLS-2.4,Untrained,PyTorch
mp2,0.11611477478420562,0.004100574291953268,AtlasNet,SVD-OLS-2.4,Untrained,PyTorch
c2,0.08944652413094986,0.0045003241641264295,AtlasNet,SVD-OLS-2.6,Untrained,PyTorch
mp2,0.11695258351309486,0.004031224998860069,AtlasNet,SVD-OLS-2.6,Untrained,PyTorch
c2,0.09265155542743349,0.0033776064738352866,AtlasNet,SVD-OLS-2.8,Untrained,PyTorch
mp2,0.11349321933973903,0.003079132259165566,AtlasNet,SVD-OLS-2.8,Untrained,PyTorch
c2,0.08686792772127036,0.003765369143237058,AtlasNet,SVD-OLS-3,Untrained,PyTorch
mp2,0.1083016796241169,0.004861824371833383,AtlasNet,SVD-OLS-3,Untrained,PyTorch
