layer,score,score_error,architecture,task,kind,source
c2,0.11685331376578886,0.004610915718633755,AtlasNet,SVD-Ridge100_-0.2,-0.2,PyTorch
mp2,0.14686631291500687,0.005049644409594611,AtlasNet,SVD-Ridge100_-0.2,-0.2,PyTorch
c2,0.11644785175458869,0.0045446467872886235,AtlasNet,SVD-Ridge100_-0.3,-0.3,PyTorch
mp2,0.14880114252935944,0.005401905140786785,AtlasNet,SVD-Ridge100_-0.3,-0.3,PyTorch
c2,0.11630404584279602,0.004575978121640715,AtlasNet,SVD-Ridge100_-0.4,-0.4,PyTorch
mp2,0.14735014666110877,0.0043767620976605465,AtlasNet,SVD-Ridge100_-0.4,-0.4,PyTorch
c2,0.11643571906490367,0.004114245530705519,AtlasNet,SVD-Ridge100_-0.5,-0.5,PyTorch
mp2,0.15075013790437422,0.004121132077995763,AtlasNet,SVD-Ridge100_-0.5,-0.5,PyTorch
c2,0.11718020798752438,0.004349647175663363,AtlasNet,SVD-Ridge100_-0.6,-0.6,PyTorch
mp2,0.15105884566252925,0.003992806103976727,AtlasNet,SVD-Ridge100_-0.6,-0.6,PyTorch
c2,0.11692941655867854,0.00451760140873464,AtlasNet,SVD-Ridge100_-0.7,-0.7,PyTorch
mp2,0.14981652986319682,0.005006187182043515,AtlasNet,SVD-Ridge100_-0.7,-0.7,PyTorch
c2,0.11526812574618388,0.004607731380670682,AtlasNet,SVD-Ridge100_-0.8,-0.8,PyTorch
mp2,0.15291891601230495,0.004577150402611541,AtlasNet,SVD-Ridge100_-0.8,-0.8,PyTorch
c2,0.11173780104758692,0.004845804747427033,AtlasNet,SVD-Ridge100_-0.9,-0.9,PyTorch
mp2,0.152124783523689,0.004749229911351876,AtlasNet,SVD-Ridge100_-0.9,-0.9,PyTorch
c2,0.11121804717273943,0.004269228714043635,AtlasNet,SVD-Ridge100_-1.0,-1.0,PyTorch
mp2,0.1478766740713296,0.004407010267408117,AtlasNet,SVD-Ridge100_-1.0,-1.0,PyTorch
c2,0.10603632421348864,0.004156997712067405,AtlasNet,SVD-Ridge100_-1.2,-1.2,PyTorch
mp2,0.14119279343565191,0.0036080929644510995,AtlasNet,SVD-Ridge100_-1.2,-1.2,PyTorch
c2,0.1066682757182331,0.004226301006386896,AtlasNet,SVD-Ridge100_-1.4,-1.4,PyTorch
mp2,0.13797054521517713,0.0034063574699045055,AtlasNet,SVD-Ridge100_-1.4,-1.4,PyTorch
c2,0.10069903449186364,0.004115907503682829,AtlasNet,SVD-Ridge100_-1.6,-1.6,PyTorch
mp2,0.13296055114380137,0.0035316350522122324,AtlasNet,SVD-Ridge100_-1.6,-1.6,PyTorch
c2,0.1011076332652454,0.005355337783995166,AtlasNet,SVD-Ridge100_-1.8,-1.8,PyTorch
mp2,0.1301825584678911,0.004925034672750289,AtlasNet,SVD-Ridge100_-1.8,-1.8,PyTorch
c2,0.09815236483228265,0.0049308191613099865,AtlasNet,SVD-Ridge100_-2,-2,PyTorch
mp2,0.1290033028598234,0.002734332058281456,AtlasNet,SVD-Ridge100_-2,-2,PyTorch
c2,0.09718751359710262,0.0034261519746943796,AtlasNet,SVD-Ridge100_-2.2,-2.2,PyTorch
mp2,0.12546509491931196,0.0027337933567334574,AtlasNet,SVD-Ridge100_-2.2,-2.2,PyTorch
c2,0.09196889491287401,0.003934493342599932,AtlasNet,SVD-Ridge100_-2.4,-2.4,PyTorch
mp2,0.12438090461731573,0.004112628221891733,AtlasNet,SVD-Ridge100_-2.4,-2.4,PyTorch
c2,0.09175123970965246,0.0044731129128395735,AtlasNet,SVD-Ridge100_-2.6,-2.6,PyTorch
mp2,0.11411028562592798,0.004258955854023571,AtlasNet,SVD-Ridge100_-2.6,-2.6,PyTorch
c2,0.08794099530257488,0.004359828220341444,AtlasNet,SVD-Ridge100_-2.8,-2.8,PyTorch
mp2,0.11822667290618939,0.003949679817028189,AtlasNet,SVD-Ridge100_-2.8,-2.8,PyTorch
c2,0.09022908751913641,0.003291139457776282,AtlasNet,SVD-Ridge100_-3,-3,PyTorch
mp2,0.11420612072074617,0.002750809676651228,AtlasNet,SVD-Ridge100_-3,-3,PyTorch
