layer,score,score_error,architecture,task,kind,source
c2,0.1891987006920021,0.004789110569737327,AtlasNet,SVD-scaled_-0.2,Untrained,PyTorch
mp2,0.23472681056417927,0.004419254855282403,AtlasNet,SVD-scaled_-0.2,Untrained,PyTorch
c2,0.18827649477445885,0.004341123125105757,AtlasNet,SVD-scaled_-0.4,Untrained,PyTorch
mp2,0.23530742632132098,0.004197022627725824,AtlasNet,SVD-scaled_-0.4,Untrained,PyTorch
c2,0.18971532642029237,0.004352688448392543,AtlasNet,SVD-scaled_-0.6,Untrained,PyTorch
mp2,0.23530364457245606,0.0045216998701891374,AtlasNet,SVD-scaled_-0.6,Untrained,PyTorch
c2,0.1845356721787794,0.00448416512179741,AtlasNet,SVD-scaled_-0.8,Untrained,PyTorch
mp2,0.23501158826146445,0.004688105138482154,AtlasNet,SVD-scaled_-0.8,Untrained,PyTorch
c2,0.18810042705141955,0.0038206438269257773,AtlasNet,SVD-scaled_-1.0,Untrained,PyTorch
mp2,0.23338054699166827,0.003966606185932704,AtlasNet,SVD-scaled_-1.0,Untrained,PyTorch
c2,0.18174188993662943,0.004113115221514166,AtlasNet,SVD-scaled_-1.2,Untrained,PyTorch
mp2,0.22132718455588693,0.004377831213657437,AtlasNet,SVD-scaled_-1.2,Untrained,PyTorch
c2,0.17226183453360427,0.004718912302623042,AtlasNet,SVD-scaled_-1.4,Untrained,PyTorch
mp2,0.21277824164739062,0.005448134831361825,AtlasNet,SVD-scaled_-1.4,Untrained,PyTorch
c2,0.09782553199673268,0.003571355186615115,AtlasNet,SVD-scaled_-3.6,Untrained,PyTorch
mp2,0.1273654110319145,0.0034024261665888027,AtlasNet,SVD-scaled_-3.6,Untrained,PyTorch
c2,0.13153234619767132,0.005095828460476317,AtlasNet,SVD-scaled_-3,Untrained,PyTorch
mp2,0.15666681490479445,0.005962424196932837,AtlasNet,SVD-scaled_-3,Untrained,PyTorch
