layer,score,score_error,architecture,task,kind,source
c2,0.18918841534685812,0.00462232490000329,AtlasNet,SVD4_-0.1,Untrained,PyTorch
mp2,0.2348579767536117,0.004858412273276082,AtlasNet,SVD4_-0.1,Untrained,PyTorch
c2,0.18795883625402748,0.004499258041412569,AtlasNet,SVD4_-0.2,Untrained,PyTorch
mp2,0.2345610294594742,0.004186447912589785,AtlasNet,SVD4_-0.2,Untrained,PyTorch
c2,0.18947641177453653,0.0040847704966457425,AtlasNet,SVD4_-0.3,Untrained,PyTorch
mp2,0.23617894410052903,0.004670456507437231,AtlasNet,SVD4_-0.3,Untrained,PyTorch
c2,0.18790952090047416,0.00446423202675349,AtlasNet,SVD4_-0.4,Untrained,PyTorch
mp2,0.23604535828012935,0.003913118858940679,AtlasNet,SVD4_-0.4,Untrained,PyTorch
c2,0.1908929097358922,0.004611795464843789,AtlasNet,SVD4_-0.5,Untrained,PyTorch
mp2,0.23537553643613263,0.0047773469394613785,AtlasNet,SVD4_-0.5,Untrained,PyTorch
c2,0.18778259377257647,0.0037848490168078943,AtlasNet,SVD4_-0.6,Untrained,PyTorch
mp2,0.23323171701321072,0.004744628258154943,AtlasNet,SVD4_-0.6,Untrained,PyTorch
c2,0.18736475831798244,0.00495627710556096,AtlasNet,SVD4_-0.7,Untrained,PyTorch
mp2,0.23493096790448026,0.004437922538369106,AtlasNet,SVD4_-0.7,Untrained,PyTorch
c2,0.18697946296521023,0.003724748193322582,AtlasNet,SVD4_-0.8,Untrained,PyTorch
mp2,0.23413629802014171,0.004323207647464591,AtlasNet,SVD4_-0.8,Untrained,PyTorch
c2,0.1858597098722098,0.00415597591886947,AtlasNet,SVD4_-0.9,Untrained,PyTorch
mp2,0.2325705933709749,0.004199714988735938,AtlasNet,SVD4_-0.9,Untrained,PyTorch
c2,0.18972136696991637,0.00546952948921021,AtlasNet,SVD4_-1.0,Untrained,PyTorch
mp2,0.2317644985399396,0.004197524245670717,AtlasNet,SVD4_-1.0,Untrained,PyTorch
c2,0.1794967929067231,0.00420243318230228,AtlasNet,SVD4_-1.1,Untrained,PyTorch
mp2,0.22896358640083733,0.00431225113908638,AtlasNet,SVD4_-1.1,Untrained,PyTorch
c2,0.17598030546609045,0.00483408064902063,AtlasNet,SVD4_-1.2,Untrained,PyTorch
mp2,0.2185313954428017,0.005129567841887494,AtlasNet,SVD4_-1.2,Untrained,PyTorch
c2,0.17280129515023698,0.00545071015666701,AtlasNet,SVD4_-1.3,Untrained,PyTorch
mp2,0.22048200588881958,0.005814254089047001,AtlasNet,SVD4_-1.3,Untrained,PyTorch
c2,0.17268735041690597,0.004975327928927309,AtlasNet,SVD4_-1.4,Untrained,PyTorch
mp2,0.2181631592981482,0.0046089016270650365,AtlasNet,SVD4_-1.4,Untrained,PyTorch
c2,0.17064079748565977,0.0057021726071836525,AtlasNet,SVD4_-1.5,Untrained,PyTorch
mp2,0.21591439898125017,0.004612081356003312,AtlasNet,SVD4_-1.5,Untrained,PyTorch
c2,0.15962320598532617,0.0031563338903141604,AtlasNet,SVD4_-2,Untrained,PyTorch
mp2,0.19971580275185608,0.004149716878872829,AtlasNet,SVD4_-2,Untrained,PyTorch
c2,0.12611347830759534,0.005835566978407028,AtlasNet,SVD4_-3,Untrained,PyTorch
mp2,0.15463999560714622,0.00681039113452372,AtlasNet,SVD4_-3,Untrained,PyTorch
