,layer,score,score_error,architecture,task,kind,source,Unnamed: 0
0,c2,0.1891432549943932,0.0039112513302248,AtlasNet,SVD_-0.1,Untrained,PyTorch,
1,mp2,0.2353983003980948,0.0045328030602707,AtlasNet,SVD_-0.1,Untrained,PyTorch,
2,c2,0.1883199773926174,0.0041917242365508,AtlasNet,SVD_-0.2,Untrained,PyTorch,
3,mp2,0.2351075762518813,0.0045594741028852,AtlasNet,SVD_-0.2,Untrained,PyTorch,
4,c2,0.1892945740637724,0.0042283783297764,AtlasNet,SVD_-0.3,Untrained,PyTorch,
5,mp2,0.2361815796256196,0.00420098749944,AtlasNet,SVD_-0.3,Untrained,PyTorch,
6,c2,0.189739427154936,0.0045196316208936,AtlasNet,SVD_-0.4,Untrained,PyTorch,
7,mp2,0.2353164272158591,0.0040230293238906,AtlasNet,SVD_-0.4,Untrained,PyTorch,
8,c2,0.1895787790116597,0.0040012230579521,AtlasNet,SVD_-0.5,Untrained,PyTorch,
9,mp2,0.2365289723065459,0.0053999601707157,AtlasNet,SVD_-0.5,Untrained,PyTorch,
10,c2,0.1877238020643916,0.0038250614741538,AtlasNet,SVD_-0.6,Untrained,PyTorch,
11,mp2,0.2358167151835777,0.0047242806562434,AtlasNet,SVD_-0.6,Untrained,PyTorch,
12,c2,0.1891033757160027,0.0040441055111779,AtlasNet,SVD_-0.7,Untrained,PyTorch,
13,mp2,0.2345734449102661,0.004281386468406,AtlasNet,SVD_-0.7,Untrained,PyTorch,
14,c2,0.1894823466287072,0.0047060531342422,AtlasNet,SVD_-0.8,Untrained,PyTorch,
15,mp2,0.2334137444143844,0.0046879668754721,AtlasNet,SVD_-0.8,Untrained,PyTorch,
16,c2,0.1858379675914807,0.0053050408026998,AtlasNet,SVD_-0.9,Untrained,PyTorch,
17,mp2,0.225224653268436,0.0037516316458338,AtlasNet,SVD_-0.9,Untrained,PyTorch,
18,c2,0.1888394238274598,0.0049133637661766,AtlasNet,SVD_-1.0,Untrained,PyTorch,
19,mp2,0.2351535965153102,0.0040992634945671,AtlasNet,SVD_-1.0,Untrained,PyTorch,
20,c2,0.1838714405397702,0.0047432485136134,AtlasNet,SVD_-1.1,Untrained,PyTorch,
21,mp2,0.2249843628267827,0.0041219520917251,AtlasNet,SVD_-1.1,Untrained,PyTorch,
22,c2,0.180524216489306,0.005366399694079,AtlasNet,SVD_-1.2,Untrained,PyTorch,
23,mp2,0.2218943869629629,0.0039548918325699,AtlasNet,SVD_-1.2,Untrained,PyTorch,
24,c2,0.1799862734640167,0.0047276389277396,AtlasNet,SVD_-1.3,Untrained,PyTorch,
25,mp2,0.2207753103493489,0.003622074683984,AtlasNet,SVD_-1.3,Untrained,PyTorch,
26,c2,0.1743945849908597,0.0045882837204342,AtlasNet,SVD_-1.4,Untrained,PyTorch,
27,mp2,0.2210801866599045,0.00414060913923,AtlasNet,SVD_-1.4,Untrained,PyTorch,
28,c2,0.1690622196456248,0.0048209351758301,AtlasNet,SVD_-1.5,Untrained,PyTorch,
29,mp2,0.2122060757467095,0.0046658977889915,AtlasNet,SVD_-1.5,Untrained,PyTorch,
30,c2,0.153225887144438,0.0045003277709117,AtlasNet,SVD_-2,Untrained,PyTorch,12.0
31,mp2,0.1968568661178683,0.0060186883522404,AtlasNet,SVD_-2,Untrained,PyTorch,13.0
32,c2,0.1259649787679157,0.003469221357861,AtlasNet,SVD_-3,Untrained,PyTorch,14.0
33,mp2,0.1683263694643919,0.0067960482174793,AtlasNet,SVD_-3,Untrained,PyTorch,15.0
