layer,score,score_error,architecture,task,kind,source
c2,0.11718843994970816,0.004702276522988308,AtlasNet,ScaledSVD-OLS_-0.2,-0.2,PyTorch
mp2,0.1470802350290137,0.005023554217606594,AtlasNet,ScaledSVD-OLS_-0.2,-0.2,PyTorch
c2,0.11740021910002867,0.004696964680079291,AtlasNet,ScaledSVD-OLS_-0.3,-0.3,PyTorch
mp2,0.14881175361705073,0.005461430969783728,AtlasNet,ScaledSVD-OLS_-0.3,-0.3,PyTorch
c2,0.11684289774467484,0.004528701676058383,AtlasNet,ScaledSVD-OLS_-0.4,-0.4,PyTorch
mp2,0.14817569400539857,0.0044589064882540885,AtlasNet,ScaledSVD-OLS_-0.4,-0.4,PyTorch
c2,0.11688725031499131,0.004193524848273329,AtlasNet,ScaledSVD-OLS_-0.5,-0.5,PyTorch
mp2,0.15045189923163674,0.004089419040176436,AtlasNet,ScaledSVD-OLS_-0.5,-0.5,PyTorch
c2,0.11747074165869183,0.004333406463192266,AtlasNet,ScaledSVD-OLS_-0.6,-0.6,PyTorch
mp2,0.15022468713020443,0.003993113610224552,AtlasNet,ScaledSVD-OLS_-0.6,-0.6,PyTorch
c2,0.11725579323679067,0.0047524474677244615,AtlasNet,ScaledSVD-OLS_-0.7,-0.7,PyTorch
mp2,0.14884961214130016,0.005133723603756733,AtlasNet,ScaledSVD-OLS_-0.7,-0.7,PyTorch
c2,0.11499739827756743,0.004556274587795316,AtlasNet,ScaledSVD-OLS_-0.8,-0.8,PyTorch
mp2,0.15208818412947808,0.0045435890917297165,AtlasNet,ScaledSVD-OLS_-0.8,-0.8,PyTorch
c2,0.11185302083812071,0.004877243111801162,AtlasNet,ScaledSVD-OLS_-0.9,-0.9,PyTorch
mp2,0.1513207964585689,0.004857998995551011,AtlasNet,ScaledSVD-OLS_-0.9,-0.9,PyTorch
c2,0.11103237556915295,0.0043977835353990686,AtlasNet,ScaledSVD-OLS_-1.0,-1.0,PyTorch
mp2,0.1470321286043822,0.004419411498326414,AtlasNet,ScaledSVD-OLS_-1.0,-1.0,PyTorch
c2,0.1062364533326237,0.004178562955546028,AtlasNet,ScaledSVD-OLS_-1.2,-1.2,PyTorch
mp2,0.140317220036718,0.0038521314874042914,AtlasNet,ScaledSVD-OLS_-1.2,-1.2,PyTorch
c2,0.10604302993142016,0.004014892287992507,AtlasNet,ScaledSVD-OLS_-1.4,-1.4,PyTorch
mp2,0.13673961809433743,0.0035279448077176825,AtlasNet,ScaledSVD-OLS_-1.4,-1.4,PyTorch
c2,0.10057392327394955,0.003980077276740811,AtlasNet,ScaledSVD-OLS_-1.6,-1.6,PyTorch
mp2,0.1319927943037095,0.0036322785030862793,AtlasNet,ScaledSVD-OLS_-1.6,-1.6,PyTorch
c2,0.10134059141665326,0.005117839897455539,AtlasNet,ScaledSVD-OLS_-1.8,-1.8,PyTorch
mp2,0.1286953477045275,0.004742794768127987,AtlasNet,ScaledSVD-OLS_-1.8,-1.8,PyTorch
c2,0.09756738934569048,0.0049013911716155635,AtlasNet,ScaledSVD-OLS_-2,-2,PyTorch
mp2,0.12749148128504498,0.002874936368018266,AtlasNet,ScaledSVD-OLS_-2,-2,PyTorch
c2,0.09717798602443783,0.003583732128171438,AtlasNet,ScaledSVD-OLS_-2.2,-2.2,PyTorch
mp2,0.12228689339326056,0.002857304013802049,AtlasNet,ScaledSVD-OLS_-2.2,-2.2,PyTorch
c2,0.0913492125031123,0.00418355280377606,AtlasNet,ScaledSVD-OLS_-2.4,-2.4,PyTorch
mp2,0.12217155905162257,0.004165684042576102,AtlasNet,ScaledSVD-OLS_-2.4,-2.4,PyTorch
c2,0.09183189981769688,0.004316262879174408,AtlasNet,ScaledSVD-OLS_-2.6,-2.6,PyTorch
mp2,0.11204447001927324,0.003911832750140195,AtlasNet,ScaledSVD-OLS_-2.6,-2.6,PyTorch
c2,0.08762817793108274,0.004273001501861403,AtlasNet,ScaledSVD-OLS_-2.8,-2.8,PyTorch
mp2,0.11531057634639874,0.003888923401371094,AtlasNet,ScaledSVD-OLS_-2.8,-2.8,PyTorch
c2,0.09022734204273578,0.003495545226356705,AtlasNet,ScaledSVD-OLS_-3,-3,PyTorch
mp2,0.11112879632358813,0.0031659326859355234,AtlasNet,ScaledSVD-OLS_-3,-3,PyTorch
