layer,score,score_error,architecture,task,kind,source
c2,0.11721491531351086,0.004703959418767602,AtlasNet,ScaledSVD-Ridge100_-0.2,-0.2,PyTorch
mp2,0.14734075098868415,0.005007895154690432,AtlasNet,ScaledSVD-Ridge100_-0.2,-0.2,PyTorch
c2,0.11741342183770681,0.004692466011563086,AtlasNet,ScaledSVD-Ridge100_-0.3,-0.3,PyTorch
mp2,0.14909699412860575,0.005462492194883504,AtlasNet,ScaledSVD-Ridge100_-0.3,-0.3,PyTorch
c2,0.1168552897537397,0.004524519941066632,AtlasNet,ScaledSVD-Ridge100_-0.4,-0.4,PyTorch
mp2,0.14845183358182326,0.004471170486580756,AtlasNet,ScaledSVD-Ridge100_-0.4,-0.4,PyTorch
c2,0.1168967171033275,0.004191502967395049,AtlasNet,ScaledSVD-Ridge100_-0.5,-0.5,PyTorch
mp2,0.15071430643181294,0.0040862284967756995,AtlasNet,ScaledSVD-Ridge100_-0.5,-0.5,PyTorch
c2,0.11748677732751694,0.004331783080359561,AtlasNet,ScaledSVD-Ridge100_-0.6,-0.6,PyTorch
mp2,0.1505350055270058,0.003995709406418786,AtlasNet,ScaledSVD-Ridge100_-0.6,-0.6,PyTorch
c2,0.11726802389987108,0.004750685592815355,AtlasNet,ScaledSVD-Ridge100_-0.7,-0.7,PyTorch
mp2,0.149228527900634,0.0051337463819653385,AtlasNet,ScaledSVD-Ridge100_-0.7,-0.7,PyTorch
c2,0.11500937666038462,0.004554590944975896,AtlasNet,ScaledSVD-Ridge100_-0.8,-0.8,PyTorch
mp2,0.1524778791278088,0.0045219010618503435,AtlasNet,ScaledSVD-Ridge100_-0.8,-0.8,PyTorch
c2,0.11187178360160006,0.0048753293938955085,AtlasNet,ScaledSVD-Ridge100_-0.9,-0.9,PyTorch
mp2,0.15170876742884712,0.004852472498189625,AtlasNet,ScaledSVD-Ridge100_-0.9,-0.9,PyTorch
c2,0.11103905023895905,0.004397648628741935,AtlasNet,ScaledSVD-Ridge100_-1.0,-1.0,PyTorch
mp2,0.14740344956248128,0.004415933923813943,AtlasNet,ScaledSVD-Ridge100_-1.0,-1.0,PyTorch
c2,0.10625799750257521,0.004178395258065605,AtlasNet,ScaledSVD-Ridge100_-1.2,-1.2,PyTorch
mp2,0.14075748458795043,0.003844315170006172,AtlasNet,ScaledSVD-Ridge100_-1.2,-1.2,PyTorch
c2,0.10606566600440692,0.004022644224653321,AtlasNet,ScaledSVD-Ridge100_-1.4,-1.4,PyTorch
mp2,0.137185548260652,0.003531599895537976,AtlasNet,ScaledSVD-Ridge100_-1.4,-1.4,PyTorch
c2,0.10059900604683104,0.003970967475968827,AtlasNet,ScaledSVD-Ridge100_-1.6,-1.6,PyTorch
mp2,0.1323958936471834,0.0036241150487110255,AtlasNet,ScaledSVD-Ridge100_-1.6,-1.6,PyTorch
c2,0.10136791649719834,0.0051370439060921536,AtlasNet,ScaledSVD-Ridge100_-1.8,-1.8,PyTorch
mp2,0.12915527148358083,0.004744652570399375,AtlasNet,ScaledSVD-Ridge100_-1.8,-1.8,PyTorch
c2,0.09760880329124534,0.004913437350164281,AtlasNet,ScaledSVD-Ridge100_-2,-2,PyTorch
mp2,0.1280275286863453,0.002850623158211319,AtlasNet,ScaledSVD-Ridge100_-2,-2,PyTorch
c2,0.09717507607204605,0.0035598973498498147,AtlasNet,ScaledSVD-Ridge100_-2.2,-2.2,PyTorch
mp2,0.12313416605477372,0.002849773369841911,AtlasNet,ScaledSVD-Ridge100_-2.2,-2.2,PyTorch
c2,0.09143761290355766,0.004152414137012374,AtlasNet,ScaledSVD-Ridge100_-2.4,-2.4,PyTorch
mp2,0.1228384250374235,0.00417966374769505,AtlasNet,ScaledSVD-Ridge100_-2.4,-2.4,PyTorch
c2,0.0918882832586009,0.004311692059297799,AtlasNet,ScaledSVD-Ridge100_-2.6,-2.6,PyTorch
mp2,0.11265351250252581,0.003998444772294853,AtlasNet,ScaledSVD-Ridge100_-2.6,-2.6,PyTorch
c2,0.08774837344362973,0.004276047190170296,AtlasNet,ScaledSVD-Ridge100_-2.8,-2.8,PyTorch
mp2,0.11612978611459755,0.003921399017785541,AtlasNet,ScaledSVD-Ridge100_-2.8,-2.8,PyTorch
c2,0.09016911210417222,0.003459805710260236,AtlasNet,ScaledSVD-Ridge100_-3,-3,PyTorch
mp2,0.11242145626298787,0.0030156233490201798,AtlasNet,ScaledSVD-Ridge100_-3,-3,PyTorch
