layer,score,score_error,architecture,task,kind,source
c2,0.001567357827631763,0.00034599920590404944,AtlasNet,Vscale1_alpha-0.2,-0.2,1
mp2,0.001567357827631763,0.00034599920590404944,AtlasNet,Vscale1_alpha-0.2,-0.2,1
c2,0.0015255881886047952,0.00034469465505860766,AtlasNet,Vscale1_alpha-0.3,-0.3,1
mp2,0.0015255881886047952,0.00034469465505860766,AtlasNet,Vscale1_alpha-0.3,-0.3,1
c2,0.0015140177244247458,0.0003449956873288355,AtlasNet,Vscale1_alpha-0.4,-0.4,1
mp2,0.0015140177244247458,0.0003449956873288355,AtlasNet,Vscale1_alpha-0.4,-0.4,1
c2,0.0013921013679613174,0.00034698190656625995,AtlasNet,Vscale1_alpha-0.5,-0.5,1
mp2,0.0013921013679613174,0.00034698190656625995,AtlasNet,Vscale1_alpha-0.5,-0.5,1
c2,0.00145017850083946,0.00033789121734038695,AtlasNet,Vscale1_alpha-0.6,-0.6,1
mp2,0.00145017850083946,0.00033789121734038695,AtlasNet,Vscale1_alpha-0.6,-0.6,1
c2,0.0013517676262207508,0.0003349254296755208,AtlasNet,Vscale1_alpha-0.7,-0.7,1
mp2,0.0013517676262207508,0.0003349254296755208,AtlasNet,Vscale1_alpha-0.7,-0.7,1
c2,0.0011921395620190108,0.00032394164061472214,AtlasNet,Vscale1_alpha-0.8,-0.8,1
mp2,0.0011921395620190108,0.00032394164061472214,AtlasNet,Vscale1_alpha-0.8,-0.8,1
c2,0.0010331378363490362,0.0003040382047990024,AtlasNet,Vscale1_alpha-0.9,-0.9,1
mp2,0.0010331378363490362,0.0003040382047990024,AtlasNet,Vscale1_alpha-0.9,-0.9,1
c2,0.0009285968685969693,0.00029712574200216763,AtlasNet,Vscale1_alpha-1.0,-1.0,1
mp2,0.0009285968685969693,0.00029712574200216763,AtlasNet,Vscale1_alpha-1.0,-1.0,1
c2,0.0005655201580033981,0.00023736304512771966,AtlasNet,Vscale1_alpha-1.2,-1.2,1
mp2,0.0005655201580033981,0.00023736304512771966,AtlasNet,Vscale1_alpha-1.2,-1.2,1
c2,0.00030468594197283346,0.00021785723524001598,AtlasNet,Vscale1_alpha-1.4,-1.4,1
mp2,0.00030468594197283346,0.00021785723524001598,AtlasNet,Vscale1_alpha-1.4,-1.4,1
c2,0.00018080644675858834,0.00021515317557051057,AtlasNet,Vscale1_alpha-1.6,-1.6,1
mp2,0.00018080644675858834,0.00021515317557051057,AtlasNet,Vscale1_alpha-1.6,-1.6,1
c2,0.00011125298668258298,0.00021114425025770366,AtlasNet,Vscale1_alpha-1.8,-1.8,1
mp2,0.00011125298668258298,0.00021114425025770366,AtlasNet,Vscale1_alpha-1.8,-1.8,1
c2,0.00010084855753848194,0.00021811842901896578,AtlasNet,Vscale1_alpha-2,-2,1
mp2,0.00010084855753848194,0.00021811842901896578,AtlasNet,Vscale1_alpha-2,-2,1
c2,8.230378045511303e-05,0.00020577333718005387,AtlasNet,Vscale1_alpha-2.2,-2.2,1
mp2,8.230378045511303e-05,0.00020577333718005387,AtlasNet,Vscale1_alpha-2.2,-2.2,1
c2,8.514225438067397e-05,0.00019951989771176872,AtlasNet,Vscale1_alpha-2.4,-2.4,1
mp2,8.514225438067397e-05,0.00019951989771176872,AtlasNet,Vscale1_alpha-2.4,-2.4,1
c2,7.594930473639766e-05,0.00020675033219519457,AtlasNet,Vscale1_alpha-2.6,-2.6,1
