layer,score,score_error,architecture,task,kind,source
c2,0.001567357827631763,0.00034599920590404944,AtlasNet,Eig-RSA-0.2,-0.2,PyTorch
mp2,0.001567357827631763,0.00034599920590404944,AtlasNet,Eig-RSA-0.2,-0.2,PyTorch
c2,0.0015255881886047952,0.00034469465505860766,AtlasNet,Eig-RSA-0.3,-0.3,PyTorch
mp2,0.0015255881886047952,0.00034469465505860766,AtlasNet,Eig-RSA-0.3,-0.3,PyTorch
c2,0.0015140177244247458,0.0003449956873288355,AtlasNet,Eig-RSA-0.4,-0.4,PyTorch
mp2,0.0015140177244247458,0.0003449956873288355,AtlasNet,Eig-RSA-0.4,-0.4,PyTorch
c2,0.0013921013679613174,0.00034698190656625995,AtlasNet,Eig-RSA-0.5,-0.5,PyTorch
mp2,0.0013921013679613174,0.00034698190656625995,AtlasNet,Eig-RSA-0.5,-0.5,PyTorch
c2,0.00145017850083946,0.00033789121734038695,AtlasNet,Eig-RSA-0.6,-0.6,PyTorch
mp2,0.00145017850083946,0.00033789121734038695,AtlasNet,Eig-RSA-0.6,-0.6,PyTorch
c2,0.0013517676262207508,0.0003349254296755208,AtlasNet,Eig-RSA-0.7,-0.7,PyTorch
mp2,0.0013517676262207508,0.0003349254296755208,AtlasNet,Eig-RSA-0.7,-0.7,PyTorch
c2,0.0011921395620190108,0.00032394164061472214,AtlasNet,Eig-RSA-0.8,-0.8,PyTorch
mp2,0.0011921395620190108,0.00032394164061472214,AtlasNet,Eig-RSA-0.8,-0.8,PyTorch
c2,0.0010331378363490362,0.0003040382047990024,AtlasNet,Eig-RSA-0.9,-0.9,PyTorch
mp2,0.0010331378363490362,0.0003040382047990024,AtlasNet,Eig-RSA-0.9,-0.9,PyTorch
c2,0.0009285968685969693,0.00029712574200216763,AtlasNet,Eig-RSA-1.0,-1.0,PyTorch
mp2,0.0009285968685969693,0.00029712574200216763,AtlasNet,Eig-RSA-1.0,-1.0,PyTorch
c2,0.0005655201580033981,0.00023736304512771966,AtlasNet,Eig-RSA-1.2,-1.2,PyTorch
mp2,0.0005655201580033981,0.00023736304512771966,AtlasNet,Eig-RSA-1.2,-1.2,PyTorch
c2,0.00030468594197283346,0.00021785723524001598,AtlasNet,Eig-RSA-1.4,-1.4,PyTorch
mp2,0.00030468594197283346,0.00021785723524001598,AtlasNet,Eig-RSA-1.4,-1.4,PyTorch
c2,0.00018080644675858834,0.00021515317557051057,AtlasNet,Eig-RSA-1.6,-1.6,PyTorch
mp2,0.00018080644675858834,0.00021515317557051057,AtlasNet,Eig-RSA-1.6,-1.6,PyTorch
c2,0.00011125298668258298,0.00021114425025770366,AtlasNet,Eig-RSA-1.8,-1.8,PyTorch
mp2,0.00011125298668258298,0.00021114425025770366,AtlasNet,Eig-RSA-1.8,-1.8,PyTorch
c2,0.00010084855753848194,0.00021811842901896578,AtlasNet,Eig-RSA-2,-2,PyTorch
mp2,0.00010084855753848194,0.00021811842901896578,AtlasNet,Eig-RSA-2,-2,PyTorch
c2,8.230378045511303e-05,0.00020577333718005387,AtlasNet,Eig-RSA-2.2,-2.2,PyTorch
mp2,8.230378045511303e-05,0.00020577333718005387,AtlasNet,Eig-RSA-2.2,-2.2,PyTorch
c2,8.514225438067397e-05,0.00019951989771176872,AtlasNet,Eig-RSA-2.4,-2.4,PyTorch
mp2,8.514225438067397e-05,0.00019951989771176872,AtlasNet,Eig-RSA-2.4,-2.4,PyTorch
c2,7.594930473639766e-05,0.00020675033219519457,AtlasNet,Eig-RSA-2.6,-2.6,PyTorch
mp2,7.594930473639766e-05,0.00020675033219519457,AtlasNet,Eig-RSA-2.6,-2.6,PyTorch
c2,7.469066902702523e-05,0.00019830539759212233,AtlasNet,Eig-RSA-2.8,-2.8,PyTorch
mp2,7.469066902702523e-05,0.00019830539759212233,AtlasNet,Eig-RSA-2.8,-2.8,PyTorch
c2,7.137148218538373e-05,0.00019559126450611333,AtlasNet,Eig-RSA-3,-3,PyTorch
mp2,7.137148218538373e-05,0.00019559126450611333,AtlasNet,Eig-RSA-3,-3,PyTorch
