layer,score,score_error,architecture,task,kind,source
c2,0.0016873591558545227,0.0003573904732032533,AtlasNet,SVD-MH_-0.2,-0.2,PyTorch
mp2,0.0016873591558545227,0.0003573904732032533,AtlasNet,SVD-MH_-0.2,-0.2,PyTorch
c2,0.0017121216402403716,0.0003620985490099591,AtlasNet,SVD-MH_-0.3,-0.3,PyTorch
mp2,0.0017121216402403716,0.0003620985490099591,AtlasNet,SVD-MH_-0.3,-0.3,PyTorch
c2,0.0017373321856591307,0.00036673858443812417,AtlasNet,SVD-MH_-0.4,-0.4,PyTorch
mp2,0.0017373321856591307,0.00036673858443812417,AtlasNet,SVD-MH_-0.4,-0.4,PyTorch
c2,0.0017395847655605776,0.0003585413913205571,AtlasNet,SVD-MH_-0.5,-0.5,PyTorch
mp2,0.0017395847655605776,0.0003585413913205571,AtlasNet,SVD-MH_-0.5,-0.5,PyTorch
c2,0.0017800219506839729,0.00036702750201045786,AtlasNet,SVD-MH_-0.6,-0.6,PyTorch
mp2,0.0017800219506839729,0.00036702750201045786,AtlasNet,SVD-MH_-0.6,-0.6,PyTorch
c2,0.0017561285500966026,0.00036669275226785083,AtlasNet,SVD-MH_-0.7,-0.7,PyTorch
mp2,0.0017561285500966026,0.00036669275226785083,AtlasNet,SVD-MH_-0.7,-0.7,PyTorch
c2,0.0018663708453898473,0.00037303282411625064,AtlasNet,SVD-MH_-0.8,-0.8,PyTorch
mp2,0.0018663708453898473,0.00037303282411625064,AtlasNet,SVD-MH_-0.8,-0.8,PyTorch
c2,0.0017250082101897847,0.0003729374349778099,AtlasNet,SVD-MH_-0.9,-0.9,PyTorch
mp2,0.0017250082101897847,0.0003729374349778099,AtlasNet,SVD-MH_-0.9,-0.9,PyTorch
c2,0.0018420686440711392,0.00033597029294579213,AtlasNet,SVD-MH_-1.0,-1.0,PyTorch
mp2,0.0018420686440711392,0.00033597029294579213,AtlasNet,SVD-MH_-1.0,-1.0,PyTorch
c2,0.001885400693575271,0.0003531699976888366,AtlasNet,SVD-MH_-1.2,-1.2,PyTorch
mp2,0.001885400693575271,0.0003531699976888366,AtlasNet,SVD-MH_-1.2,-1.2,PyTorch
c2,0.001411292656724084,0.00027559419233884075,AtlasNet,SVD-MH_-1.4,-1.4,PyTorch
mp2,0.001411292656724084,0.00027559419233884075,AtlasNet,SVD-MH_-1.4,-1.4,PyTorch
c2,0.0012488664674048754,0.0002877401504409026,AtlasNet,SVD-MH_-1.6,-1.6,PyTorch
mp2,0.0012488664674048754,0.0002877401504409026,AtlasNet,SVD-MH_-1.6,-1.6,PyTorch
c2,0.0008768183292788092,0.0002651128531374229,AtlasNet,SVD-MH_-1.8,-1.8,PyTorch
mp2,0.0008768183292788092,0.0002651128531374229,AtlasNet,SVD-MH_-1.8,-1.8,PyTorch
c2,0.0007864819562603529,0.0003042691851970991,AtlasNet,SVD-MH_-2,-2,PyTorch
mp2,0.0007864819562603529,0.0003042691851970991,AtlasNet,SVD-MH_-2,-2,PyTorch
c2,0.0008171303456557644,0.0003103079864479233,AtlasNet,SVD-MH_-2.2,-2.2,PyTorch
mp2,0.0008171303456557644,0.0003103079864479233,AtlasNet,SVD-MH_-2.2,-2.2,PyTorch
c2,0.0008923264316344093,0.00022690096987394227,AtlasNet,SVD-MH_-2.4,-2.4,PyTorch
mp2,0.0008923264316344093,0.00022690096987394227,AtlasNet,SVD-MH_-2.4,-2.4,PyTorch
c2,0.0006312869634472496,0.00028785575633379567,AtlasNet,SVD-MH_-2.6,-2.6,PyTorch
mp2,0.0006312869634472496,0.00028785575633379567,AtlasNet,SVD-MH_-2.6,-2.6,PyTorch
c2,0.0002200736439650866,0.00024100398958385642,AtlasNet,SVD-MH_-2.8,-2.8,PyTorch
mp2,0.0002200736439650866,0.00024100398958385642,AtlasNet,SVD-MH_-2.8,-2.8,PyTorch
c2,0.0005310373886428695,0.00019375146324377042,AtlasNet,SVD-MH_-3,-3,PyTorch
mp2,0.0005310373886428695,0.00019375146324377042,AtlasNet,SVD-MH_-3,-3,PyTorch
