layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.0878042332870272,11.0,1.1034700216717386,AtlasNet,Eig_seed=0,a_-0.2,pcs_NA
c2,2.098135066823385,10.0,1.1134611278389888,AtlasNet,Eig_seed=0,a_-0.3,pcs_NA
c2,2.104897509062831,9.0,1.125869971367735,AtlasNet,Eig_seed=0,a_-0.4,pcs_NA
c2,2.1033353180831877,7.0,1.1430342678508327,AtlasNet,Eig_seed=0,a_-0.5,pcs_NA
c2,2.0847461146694712,6.0,1.1635657522542522,AtlasNet,Eig_seed=0,a_-0.6,pcs_NA
c2,2.0388829385772684,5.0,1.1873687397354558,AtlasNet,Eig_seed=0,a_-0.7,pcs_NA
c2,1.9623431295989364,4.0,1.2156850182800538,AtlasNet,Eig_seed=0,a_-0.8,pcs_NA
c2,1.8643113795080137,3.0,1.2468020046074264,AtlasNet,Eig_seed=0,a_-0.9,pcs_NA
c2,1.7617823983555048,2.0,1.2809288009599553,AtlasNet,Eig_seed=0,a_-1.0,pcs_NA
c2,1.590308790633225,2.0,1.3578507221973393,AtlasNet,Eig_seed=0,a_-1.2,pcs_NA
c2,1.4764293808571909,1.0,1.4407892829880264,AtlasNet,Eig_seed=0,a_-1.4,pcs_NA
c2,1.4016095471043035,1.0,1.526864553544671,AtlasNet,Eig_seed=0,a_-1.6,pcs_NA
c2,1.3491077056044678,1.0,1.6120793890011915,AtlasNet,Eig_seed=0,a_-1.8,pcs_NA
c2,1.3099125793073325,1.0,1.6947690810883993,AtlasNet,Eig_seed=0,a_-2,pcs_NA
c2,1.2795157476903662,1.0,1.7748713129141565,AtlasNet,Eig_seed=0,a_-2.2,pcs_NA
c2,1.255522292711996,1.0,1.8526889895668976,AtlasNet,Eig_seed=0,a_-2.4,pcs_NA
c2,1.2364604097241283,1.0,1.9264542821065749,AtlasNet,Eig_seed=0,a_-2.6,pcs_NA
c2,1.2212954231454793,1.0,1.9974612061990142,AtlasNet,Eig_seed=0,a_-2.8,pcs_NA
c2,1.2092704736946096,1.0,2.067543729564172,AtlasNet,Eig_seed=0,a_-3,pcs_NA
