variance,layer,architecture,task,kind,source,n
0.014006184,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017722417,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017739566,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017760197,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017815147,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017823547,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017854882,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017928636,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017952187,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017967165,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018003847,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018023439,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01804804,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018068993,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018104076,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018121041,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01815445,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018173994,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.0182001,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018232612,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018259604,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018293628,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01831737,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018346041,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018375402,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018446507,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01847937,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018498588,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017704379,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018538525,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017661912,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017622529,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016909715,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016932275,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01695143,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016984753,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01701743,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017029932,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.017051907,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
