n,variance,layer,architecture,task,kind,source
1,581.56476,c2,AtlasNet,seed_0,ksize_1,pcs_NA
659,0.034097925,c2,AtlasNet,seed_0,ksize_1,pcs_NA
660,0.03404214,c2,AtlasNet,seed_0,ksize_1,pcs_NA
661,0.034004934,c2,AtlasNet,seed_0,ksize_1,pcs_NA
662,0.033857074,c2,AtlasNet,seed_0,ksize_1,pcs_NA
663,0.033807393,c2,AtlasNet,seed_0,ksize_1,pcs_NA
664,0.033721853,c2,AtlasNet,seed_0,ksize_1,pcs_NA
665,0.033681408,c2,AtlasNet,seed_0,ksize_1,pcs_NA
666,0.033582952,c2,AtlasNet,seed_0,ksize_1,pcs_NA
667,0.033549026,c2,AtlasNet,seed_0,ksize_1,pcs_NA
668,0.033466004,c2,AtlasNet,seed_0,ksize_1,pcs_NA
669,0.0333694,c2,AtlasNet,seed_0,ksize_1,pcs_NA
670,0.033268966,c2,AtlasNet,seed_0,ksize_1,pcs_NA
671,0.03323861,c2,AtlasNet,seed_0,ksize_1,pcs_NA
672,0.03318001,c2,AtlasNet,seed_0,ksize_1,pcs_NA
673,0.03316304,c2,AtlasNet,seed_0,ksize_1,pcs_NA
674,0.033027608,c2,AtlasNet,seed_0,ksize_1,pcs_NA
675,0.032993615,c2,AtlasNet,seed_0,ksize_1,pcs_NA
676,0.032863982,c2,AtlasNet,seed_0,ksize_1,pcs_NA
677,0.032814678,c2,AtlasNet,seed_0,ksize_1,pcs_NA
678,0.032733344,c2,AtlasNet,seed_0,ksize_1,pcs_NA
679,0.032623943,c2,AtlasNet,seed_0,ksize_1,pcs_NA
680,0.0325952,c2,AtlasNet,seed_0,ksize_1,pcs_NA
681,0.03251737,c2,AtlasNet,seed_0,ksize_1,pcs_NA
682,0.03242961,c2,AtlasNet,seed_0,ksize_1,pcs_NA
683,0.032406393,c2,AtlasNet,seed_0,ksize_1,pcs_NA
684,0.032295052,c2,AtlasNet,seed_0,ksize_1,pcs_NA
685,0.032276835,c2,AtlasNet,seed_0,ksize_1,pcs_NA
658,0.034188967,c2,AtlasNet,seed_0,ksize_1,pcs_NA
686,0.03212593,c2,AtlasNet,seed_0,ksize_1,pcs_NA
657,0.03423698,c2,AtlasNet,seed_0,ksize_1,pcs_NA
655,0.034410927,c2,AtlasNet,seed_0,ksize_1,pcs_NA
628,0.036496207,c2,AtlasNet,seed_0,ksize_1,pcs_NA
629,0.036448777,c2,AtlasNet,seed_0,ksize_1,pcs_NA
630,0.0363643,c2,AtlasNet,seed_0,ksize_1,pcs_NA
631,0.03629454,c2,AtlasNet,seed_0,ksize_1,pcs_NA
632,0.036189012,c2,AtlasNet,seed_0,ksize_1,pcs_NA
633,0.036128953,c2,AtlasNet,seed_0,ksize_1,pcs_NA
634,0.03602733,c2,AtlasNet,seed_0,ksize_1,pcs_NA
635,0.03585154,c2,AtlasNet,seed_0,ksize_1,pcs_NA
636,0.035790548,c2,AtlasNet,seed_0,ksize_1,pcs_NA
637,0.035777774,c2,AtlasNet,seed_0,ksize_1,pcs_NA
638,0.035644412,c2,AtlasNet,seed_0,ksize_1,pcs_NA
639,0.035590783,c2,AtlasNet,seed_0,ksize_1,pcs_NA
640,0.035496075,c2,AtlasNet,seed_0,ksize_1,pcs_NA
