layer,score,score_error,architecture,task,kind,source
c2,0.1847507515895578,0.004761213319745878,AtlasNet,Eig_seed=0,a_-0.2,pcs_1000
c2,0.17883933479435432,0.0050271553998353586,AtlasNet,Eig_seed=0,a_-0.3,pcs_1000
c2,0.1737303195547295,0.00480939029116816,AtlasNet,Eig_seed=0,a_-0.4,pcs_1000
c2,0.16966676377120699,0.005200682027097428,AtlasNet,Eig_seed=0,a_-0.5,pcs_1000
c2,0.16061733197624506,0.005422641771058979,AtlasNet,Eig_seed=0,a_-0.6,pcs_1000
c2,0.1537729018973889,0.005621695270580221,AtlasNet,Eig_seed=0,a_-0.7,pcs_1000
c2,0.1448718739824811,0.005856537090974444,AtlasNet,Eig_seed=0,a_-0.8,pcs_1000
c2,0.13555112024529997,0.005928210175156393,AtlasNet,Eig_seed=0,a_-0.9,pcs_1000
c2,0.12909041072941024,0.006134581584802709,AtlasNet,Eig_seed=0,a_-1.0,pcs_1000
c2,0.11401107708847785,0.00633497648707616,AtlasNet,Eig_seed=0,a_-1.2,pcs_1000
c2,0.09964201762873034,0.006280731628167748,AtlasNet,Eig_seed=0,a_-1.4,pcs_1000
c2,0.08490050625859859,0.006445810094713724,AtlasNet,Eig_seed=0,a_-1.6,pcs_1000
c2,0.0691010302444682,0.008036006704710526,AtlasNet,Eig_seed=0,a_-1.8,pcs_1000
c2,0.056738504129145,0.00705413403799874,AtlasNet,Eig_seed=0,a_-2,pcs_1000
c2,0.04557621667789528,0.00787493431003052,AtlasNet,Eig_seed=0,a_-2.2,pcs_1000
c2,0.042453570367200905,0.007225763655354558,AtlasNet,Eig_seed=0,a_-2.4,pcs_1000
c2,0.04178469057427349,0.006928017686358714,AtlasNet,Eig_seed=0,a_-2.6,pcs_1000
c2,0.04159464075978277,0.00681114084053539,AtlasNet,Eig_seed=0,a_-2.8,pcs_1000
c2,0.041556391345981124,0.006788648717722174,AtlasNet,Eig_seed=0,a_-3,pcs_1000
