layer,score,score_error,architecture,task,kind,source
c2,0.1899327819224648,0.0042318993063861,AtlasNet,seed_0,init_kai_normal,a+pcs_1000
c2,0.188835631327996,0.0042395996532281,AtlasNet,seed_0,init_kai_uniform,a+pcs_1000
c2,0.1899333902038358,0.0042315408439772,AtlasNet,seed_0,init_normal,a+pcs_1000
c2,0.1899332535170512,0.0042319716105619,AtlasNet,seed_0,init_normal0.0001,a+pcs_1000
c2,0.1899333902038358,0.0042315408439772,AtlasNet,seed_0,init_normal0.01,a+pcs_1000
c2,0.1899334166565297,0.0042316646231397,AtlasNet,seed_0,init_normal0.025,a+pcs_1000
c2,0.1899334166565297,0.0042316646231396,AtlasNet,seed_0,init_normal0.05,a+pcs_1000
c2,0.1899334166565298,0.0042316646231396,AtlasNet,seed_0,init_normal0.1,a+pcs_1000
c2,0.1899333003627234,0.004231845394075,AtlasNet,seed_0,init_normal0.15,a+pcs_1000
c2,0.1899334670917505,0.0042317853607387,AtlasNet,seed_0,init_normal3.0,a+pcs_1000
c2,0.1890606142198753,0.0042238893337716,AtlasNet,seed_0,init_orthogonal,a+pcs_1000
c2,0.1888358857368501,0.0042396794969874,AtlasNet,seed_0,init_standard,a+pcs_1000
c2,0.1888367426919712,0.0042396978495932,AtlasNet,seed_0,init_uniform,a+pcs_1000
c2,0.1888369652371067,0.0042396787995741,AtlasNet,seed_0,init_uniform0.001,a+pcs_1000
c2,0.1888367426919712,0.0042396978495932,AtlasNet,seed_0,init_uniform0.02,a+pcs_1000
c2,0.1888364672781411,0.0042396056391581,AtlasNet,seed_0,init_uniform0.05,a+pcs_1000
c2,0.1888364672781411,0.0042396056391581,AtlasNet,seed_0,init_uniform0.1,a+pcs_1000
c2,0.188836467278141,0.0042396056391581,AtlasNet,seed_0,init_uniform0.2,a+pcs_1000
c2,0.1888361501139986,0.0042395590963778,AtlasNet,seed_0,init_uniform0.3,a+pcs_1000
c2,0.1888373929803961,0.0042395292425539,AtlasNet,seed_0,init_uniform5.0,a+pcs_1000
