layer,score,score_error,architecture,task,kind,source
c2,0.1883885971365363,0.0042554457584218,AtlasNet,seed_0,ksize_1,pcs_1000
c2,0.1873002199734154,0.0043521779815119,AtlasNet,seed_0,ksize_3,pcs_1000
c2,0.1873405004668475,0.0042964918867471,AtlasNet,seed_0,ksize_5,pcs_1000
c2,0.1888358857368501,0.0042396794969874,AtlasNet,seed_0,ksize_9,pcs_1000
c2,0.1919617418761993,0.0037727496613088,AtlasNet,seed_0,ksize_12,pcs_1000
c2,0.194319553430809,0.004532459483939,AtlasNet,seed_0,ksize_15,pcs_1000
c2,0.1912174449048801,0.0042155518087979,AtlasNet,seed_0,ksize_22,pcs_1000
c2,0.1913288923687165,0.0043024243918414,AtlasNet,seed_0,ksize_23,pcs_1000
c2,0.1879324976715146,0.0041842203297449,AtlasNet,seed_0,ksize_24,pcs_1000
c2,0.1839544472931503,0.004048541118872,AtlasNet,seed_0,ksize_25,pcs_1000
c2,0.1847547152473501,0.0048452092394437,AtlasNet,seed_0,ksize_26,pcs_1000
c2,0.1865027913348068,0.0045641828592203,AtlasNet,seed_0,ksize_27,pcs_1000
c2,0.1832490522189324,0.0045178978161264,AtlasNet,seed_0,ksize_28,pcs_1000
c2,0.1854995984621174,0.0050134274019724,AtlasNet,seed_0,ksize_29,pcs_1000
c2,0.1802134322271187,0.004511500533477,AtlasNet,seed_0,ksize_30,pcs_1000
c2,0.1782086255357048,0.0045247680385827,AtlasNet,seed_0,ksize_31,pcs_1000
