layer,score,score_error,architecture,task,kind,source
c2,0.11551880277125243,0.0039552727155350905,AtlasNet,Eig-OLS-0.2,Untrained,PyTorch
mp2,0.14628075353878991,0.00456220933018625,AtlasNet,Eig-OLS-0.2,Untrained,PyTorch
c2,0.11758823178163394,0.004879340115282807,AtlasNet,Eig-OLS0,Untrained,PyTorch
mp2,0.1478163850660881,0.0038207144647481052,AtlasNet,Eig-OLS0,Untrained,PyTorch
c2,0.11747067978321915,0.003755592875097476,AtlasNet,Eig-OLS3,Untrained,PyTorch
mp2,0.14920145914589567,0.002924125318089068,AtlasNet,Eig-OLS3,Untrained,PyTorch
c2,0.114276653962377,0.004007817083317461,AtlasNet,Eig-OLS-0.4,Untrained,PyTorch
mp2,0.14523995159297973,0.005377060040120318,AtlasNet,Eig-OLS-0.4,Untrained,PyTorch
c2,0.11270102937792084,0.004000417803224476,AtlasNet,Eig-OLS-0.5,Untrained,PyTorch
mp2,0.14279175997581445,0.0045711319739474,AtlasNet,Eig-OLS-0.5,Untrained,PyTorch
c2,0.11066997647800253,0.00433237301694562,AtlasNet,Eig-OLS-0.6,Untrained,PyTorch
mp2,0.1421309644346253,0.004317319543027046,AtlasNet,Eig-OLS-0.6,Untrained,PyTorch
c2,0.10950317878381703,0.004207556056001813,AtlasNet,Eig-OLS-0.7,Untrained,PyTorch
mp2,0.13687747865937042,0.004555992411240094,AtlasNet,Eig-OLS-0.7,Untrained,PyTorch
c2,0.10821048124914981,0.004569590791198693,AtlasNet,Eig-OLS-0.8,Untrained,PyTorch
mp2,0.13102147301264686,0.004887948518518262,AtlasNet,Eig-OLS-0.8,Untrained,PyTorch
c2,0.1025158391730326,0.004786900866652269,AtlasNet,Eig-OLS-0.9,Untrained,PyTorch
mp2,0.1236825371563835,0.0042844696115503815,AtlasNet,Eig-OLS-0.9,Untrained,PyTorch
c2,0.10014670963583998,0.005106189557490541,AtlasNet,Eig-OLS-1.0,Untrained,PyTorch
mp2,0.1126659211502576,0.004720521723955946,AtlasNet,Eig-OLS-1.0,Untrained,PyTorch
c2,0.09178273539664514,0.0052375958506409494,AtlasNet,Eig-OLS-1.2,Untrained,PyTorch
mp2,0.10234144785173599,0.004410935791580726,AtlasNet,Eig-OLS-1.2,Untrained,PyTorch
c2,0.08181958320127623,0.004290557558464275,AtlasNet,Eig-OLS-1.4,Untrained,PyTorch
mp2,0.08608212420126113,0.004835309320896388,AtlasNet,Eig-OLS-1.4,Untrained,PyTorch
c2,0.0737300601115529,0.004758137037052435,AtlasNet,Eig-OLS-1.6,Untrained,PyTorch
mp2,0.0789702105110624,0.004940317833852189,AtlasNet,Eig-OLS-1.6,Untrained,PyTorch
c2,0.07192133652985376,0.004572914200373037,AtlasNet,Eig-OLS-1.8,Untrained,PyTorch
mp2,0.0730384693588082,0.004321044290499885,AtlasNet,Eig-OLS-1.8,Untrained,PyTorch
c2,0.06762362375445284,0.004533851276557651,AtlasNet,Eig-OLS-2,Untrained,PyTorch
mp2,0.0623357540223452,0.003930192015014432,AtlasNet,Eig-OLS-2,Untrained,PyTorch
c2,0.06577697552872235,0.004534923774504667,AtlasNet,Eig-OLS-2.2,Untrained,PyTorch
mp2,0.05597521552672729,0.0035290253776009937,AtlasNet,Eig-OLS-2.2,Untrained,PyTorch
c2,0.06262981031005017,0.005627671588954852,AtlasNet,Eig-OLS-2.4,Untrained,PyTorch
mp2,0.04846659231001196,0.0032570438983045985,AtlasNet,Eig-OLS-2.4,Untrained,PyTorch
c2,0.06148863727867315,0.005395128722380932,AtlasNet,Eig-OLS-2.6,Untrained,PyTorch
mp2,0.04083306319383714,0.0029029577148178168,AtlasNet,Eig-OLS-2.6,Untrained,PyTorch
c2,0.05958889398277646,0.00521961879895599,AtlasNet,Eig-OLS-2.8,Untrained,PyTorch
mp2,0.038191003367031295,0.0025696629223960175,AtlasNet,Eig-OLS-2.8,Untrained,PyTorch
c2,0.05835401350000752,0.005445423544193781,AtlasNet,Eig-OLS-3,Untrained,PyTorch
mp2,0.037251718534788626,0.0028744127983364037,AtlasNet,Eig-OLS-3,Untrained,PyTorch
