layer,score,score_error,architecture,task,kind,source
c2,0.11551965377205638,0.003955399216145696,AtlasNet,Eig-Ridge1_-0.2,Untrained,PyTorch
mp2,0.14629161853804165,0.004562041954087534,AtlasNet,Eig-Ridge1_-0.2,Untrained,PyTorch
c2,0.11758864650207351,0.004879310775931902,AtlasNet,Eig-Ridge1_0,Untrained,PyTorch
mp2,0.14781912186576315,0.0038203309395093833,AtlasNet,Eig-Ridge1_0,Untrained,PyTorch
c2,0.11747078354021952,0.0037554758763102616,AtlasNet,Eig-Ridge1_3,Untrained,PyTorch
mp2,0.14920128486363857,0.0029240705855847295,AtlasNet,Eig-Ridge1_3,Untrained,PyTorch
c2,0.11427977460665788,0.0040071114755445315,AtlasNet,Eig-Ridge1_-0.4,Untrained,PyTorch
mp2,0.14527427833320397,0.005376132124653429,AtlasNet,Eig-Ridge1_-0.4,Untrained,PyTorch
c2,0.11270338321909654,0.004000035514372506,AtlasNet,Eig-Ridge1_-0.5,Untrained,PyTorch
mp2,0.14284329040109225,0.004572774520275007,AtlasNet,Eig-Ridge1_-0.5,Untrained,PyTorch
c2,0.11068301306732853,0.004333215279338378,AtlasNet,Eig-Ridge1_-0.6,Untrained,PyTorch
mp2,0.14219756151633345,0.004317975661083013,AtlasNet,Eig-Ridge1_-0.6,Untrained,PyTorch
c2,0.10951912257090793,0.004204696979465382,AtlasNet,Eig-Ridge1_-0.7,Untrained,PyTorch
mp2,0.13698719260217618,0.004556787371225282,AtlasNet,Eig-Ridge1_-0.7,Untrained,PyTorch
c2,0.10822704997581455,0.0045734577129412915,AtlasNet,Eig-Ridge1_-0.8,Untrained,PyTorch
mp2,0.13121434577781954,0.004888882276168264,AtlasNet,Eig-Ridge1_-0.8,Untrained,PyTorch
c2,0.10255752818380137,0.004785458102948251,AtlasNet,Eig-Ridge1_-0.9,Untrained,PyTorch
mp2,0.12396164251973885,0.004287057510926425,AtlasNet,Eig-Ridge1_-0.9,Untrained,PyTorch
c2,0.10024088469743588,0.005110147845631627,AtlasNet,Eig-Ridge1_-1.0,Untrained,PyTorch
mp2,0.11312521213952755,0.0047036143264512185,AtlasNet,Eig-Ridge1_-1.0,Untrained,PyTorch
c2,0.09198732165243079,0.005203963809757371,AtlasNet,Eig-Ridge1_-1.2,Untrained,PyTorch
mp2,0.10299632329232578,0.0043622676960878536,AtlasNet,Eig-Ridge1_-1.2,Untrained,PyTorch
c2,0.08230965699563624,0.004309866573851545,AtlasNet,Eig-Ridge1_-1.4,Untrained,PyTorch
mp2,0.08702666017750985,0.004845055972332489,AtlasNet,Eig-Ridge1_-1.4,Untrained,PyTorch
c2,0.07507170973076366,0.0046322363677178515,AtlasNet,Eig-Ridge1_-1.6,Untrained,PyTorch
mp2,0.08019434805819066,0.004975857632576519,AtlasNet,Eig-Ridge1_-1.6,Untrained,PyTorch
c2,0.07254564564464984,0.005087609644754334,AtlasNet,Eig-Ridge1_-1.8,Untrained,PyTorch
mp2,0.07426844452162533,0.004426047310173733,AtlasNet,Eig-Ridge1_-1.8,Untrained,PyTorch
c2,0.06951757412982311,0.004555217979180396,AtlasNet,Eig-Ridge1_-2,Untrained,PyTorch
mp2,0.06403500297513964,0.004177790785127617,AtlasNet,Eig-Ridge1_-2,Untrained,PyTorch
c2,0.06795041537012803,0.004644015280939133,AtlasNet,Eig-Ridge1_-2.2,Untrained,PyTorch
mp2,0.057571479374953535,0.003580322617892046,AtlasNet,Eig-Ridge1_-2.2,Untrained,PyTorch
c2,0.06704616652615462,0.005431212875666399,AtlasNet,Eig-Ridge1_-2.4,Untrained,PyTorch
mp2,0.05033908920752539,0.003274646781364095,AtlasNet,Eig-Ridge1_-2.4,Untrained,PyTorch
c2,0.06555369726093409,0.005509225432940981,AtlasNet,Eig-Ridge1_-2.6,Untrained,PyTorch
mp2,0.044547893235232054,0.003205240613396614,AtlasNet,Eig-Ridge1_-2.6,Untrained,PyTorch
c2,0.06457233038516551,0.005903336294173575,AtlasNet,Eig-Ridge1_-2.8,Untrained,PyTorch
mp2,0.04167576085892739,0.0031910208218486036,AtlasNet,Eig-Ridge1_-2.8,Untrained,PyTorch
c2,0.06122574886290086,0.005896029851195453,AtlasNet,Eig-Ridge1_-3,Untrained,PyTorch
mp2,0.041073855825195495,0.003618238120685155,AtlasNet,Eig-Ridge1_-3,Untrained,PyTorch
