layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.205265513332365,0.004054986782286576,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.20950492233852894,0.004785031390427182,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.21265198588302264,0.0041662004593251145,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.2093772870599142,0.00348019238777819,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.21560806682988945,0.004222248594660589,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.22303634523102028,0.0052443709943363875,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.23069748671058837,0.004863328089351034,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.23880379719443692,0.006287082331185198,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.21110326540876756,0.0045721652068042365,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.21361642452946486,0.004628608196535258,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.20775574773048786,0.0047398240903351796,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.20191462404698218,0.005768909466009951,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.2039946604011983,0.004954424018018374,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.20697176140234486,0.005059327637790003,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.20020497684718047,0.004884132568832081,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.19464867121505294,0.0037060713127620845,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.19200186308515746,0.0033159060496078625,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.1904878805946462,0.0033496898241982655,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.18632095507976998,0.004541795587382508,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.18858035165990103,0.004288822293741952,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.18882686143882263,0.003963677436081275,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.19150917784315433,0.004005120794284989,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.1835972676723103,0.003949302994009868,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.17524018811043335,0.0037188014978206054,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.29778929182177316,0.002576067350677867,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.30924733940123295,0.00438156734212357,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.36815360129725083,0.0031759234542922694,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.3994788022348492,0.003663601266824946,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.49511570119622794,0.0029982529335921978,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.5039480054592772,0.003476213163983316,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5159052643345939,0.003224174074370004,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.4560265898482136,0.003968053200385914,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.3059725152181189,0.003930214157110152,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.32690641071060206,0.004019096186832566,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.33665328577661785,0.0037615836243711834,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.390034294154838,0.0037288783100096127,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.39032108411917843,0.003893584273725188,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.39076763401423337,0.003691671263801642,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.39693004522911685,0.003549187070359575,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.48008804048814585,0.0050837576631068936,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.4956427099195541,0.003860377608330582,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.4865085499292652,0.004284153908085248,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.4865275553999786,0.004057349160489693,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.48943146808069177,0.004119042857228296,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.5022081323654183,0.0036089477148128087,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5218622248572492,0.00378193947197502,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.4934547111784059,0.004141597501548982,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.4465267526765237,0.005143808779577027,ResNet50,Object Classification,Supervised,PyTorch
encode_2,0.29099230908651,0.0031834927598225313,ResNet18,Object Classification,Supervised,VVS
encode_3,0.3065254550101631,0.0031811066601261486,ResNet18,Object Classification,Supervised,VVS
encode_4,0.3677656572512741,0.0027792631415708793,ResNet18,Object Classification,Supervised,VVS
encode_5,0.3975131127394099,0.002893880178969267,ResNet18,Object Classification,Supervised,VVS
encode_6,0.5085030980599241,0.0036523269675156115,ResNet18,Object Classification,Supervised,VVS
encode_7,0.5108073428834093,0.003817386978637454,ResNet18,Object Classification,Supervised,VVS
encode_8,0.5285090327827975,0.003870132687684562,ResNet18,Object Classification,Supervised,VVS
encode_9,0.47515802117224887,0.003494738449932796,ResNet18,Object Classification,Supervised,VVS
encode_2,0.2784614018316884,0.00391630529825168,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_3,0.29548640326092085,0.00468827312247191,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_4,0.36704302820452783,0.004662450565563758,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_5,0.38285448653614196,0.0037021169187960003,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_6,0.4813239225332244,0.0038128610872230546,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_7,0.4932056413401283,0.00383813446861846,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_8,0.5456624397785497,0.0029973847961435314,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_9,0.54742702279746,0.0027955479434132917,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_2,0.2768995804702785,0.0038842902065721785,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_3,0.2957950155588716,0.0035187633660278446,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_4,0.36231534990654823,0.002980470056586195,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_5,0.37125470132041105,0.0026640181401193282,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_6,0.469216974726555,0.0037728405589455027,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_7,0.4864679344058249,0.0031880325137201688,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_8,0.5293664226796359,0.00303561133006043,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_9,0.5278133057529102,0.0035539062265626865,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_2,0.22592736672435446,0.00501885856168325,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_3,0.2425546578552884,0.003933640792681596,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_4,0.2518487971650509,0.004231781708504881,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_5,0.2585135139781221,0.004112034811960207,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_6,0.2525783806632518,0.004535957887678546,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_7,0.2368224720430689,0.005498976888879893,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_8,0.2179783738643002,0.004783886835688012,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_9,0.21170786220845386,0.004580366863105704,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_2,0.28461040447809993,0.0030374073678575415,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_3,0.30635168839877347,0.0026903387748651807,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_4,0.3253297072417781,0.005895315714181185,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_5,0.3581977046876658,0.0030008394269394477,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_6,0.3780825214627157,0.004722430694849132,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_7,0.3503438707230833,0.004877066183481981,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_8,0.3251908687509407,0.004103670772118691,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_9,0.28087264797810674,0.0031486244519745295,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_2,0.28216048416651957,0.0037877301304533183,ResNet18,Colorization,Self-Supervised,VVS
encode_3,0.2977799426234293,0.0020978319729814954,ResNet18,Colorization,Self-Supervised,VVS
encode_4,0.33034524569704055,0.0028857182763140808,ResNet18,Colorization,Self-Supervised,VVS
encode_5,0.3855401418147134,0.003938255005918507,ResNet18,Colorization,Self-Supervised,VVS
encode_6,0.37501328213982993,0.004784034243068178,ResNet18,Colorization,Self-Supervised,VVS
encode_7,0.4298064699186458,0.0047908314823311435,ResNet18,Colorization,Self-Supervised,VVS
encode_8,0.3173610614711716,0.005906353597064663,ResNet18,Colorization,Self-Supervised,VVS
encode_9,0.2983595336235891,0.004459404741053243,ResNet18,Colorization,Self-Supervised,VVS
encode_2,0.22998043172284294,0.0036904193038054815,ResNet18,Relative Position,Self-Supervised,VVS
encode_3,0.23969757145617873,0.0033718066684601086,ResNet18,Relative Position,Self-Supervised,VVS
encode_4,0.2927141842002104,0.0029689289222605665,ResNet18,Relative Position,Self-Supervised,VVS
encode_5,0.32645976338533766,0.002950585461008364,ResNet18,Relative Position,Self-Supervised,VVS
encode_6,0.36844873812990764,0.002669019029882327,ResNet18,Relative Position,Self-Supervised,VVS
encode_7,0.397198965119363,0.0033373584575908826,ResNet18,Relative Position,Self-Supervised,VVS
encode_8,0.40326345742115727,0.0026929810539185026,ResNet18,Relative Position,Self-Supervised,VVS
encode_9,0.3974390218167521,0.0019138167148826997,ResNet18,Relative Position,Self-Supervised,VVS
encode_2,0.24968130390685073,0.003058964982402255,ResNet18,Depth Prediction,Supervised,VVS
