layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.350611504942451,33.0,1.0884788358976565,AtlasNet,Eig_seed=0,a_-0.2,pcs_NA
c2,2.3512428220477744,30.0,1.0951718845566962,AtlasNet,Eig_seed=0,a_-0.3,pcs_NA
c2,2.349957005416259,26.0,1.1059542943426037,AtlasNet,Eig_seed=0,a_-0.4,pcs_NA
c2,2.345324500754975,22.0,1.1193169956443751,AtlasNet,Eig_seed=0,a_-0.5,pcs_NA
c2,2.3350886696908746,17.0,1.135087679465242,AtlasNet,Eig_seed=0,a_-0.6,pcs_NA
c2,2.316916237246808,14.0,1.1539569893238615,AtlasNet,Eig_seed=0,a_-0.7,pcs_NA
c2,2.290290725902977,11.0,1.1752765068821902,AtlasNet,Eig_seed=0,a_-0.8,pcs_NA
c2,2.2569546526568844,9.0,1.198784896299444,AtlasNet,Eig_seed=0,a_-0.9,pcs_NA
c2,2.2215928477547697,8.0,1.2271896436309704,AtlasNet,Eig_seed=0,a_-1.0,pcs_NA
c2,2.163653913237763,6.0,1.2899405422621928,AtlasNet,Eig_seed=0,a_-1.2,pcs_NA
c2,2.1339463518170367,4.0,1.3608032755009505,AtlasNet,Eig_seed=0,a_-1.4,pcs_NA
c2,2.126013012786348,3.0,1.4409006193524965,AtlasNet,Eig_seed=0,a_-1.6,pcs_NA
c2,2.1273692766426895,3.0,1.522313770359582,AtlasNet,Eig_seed=0,a_-1.8,pcs_NA
c2,2.127657367919728,2.0,1.6042817872444948,AtlasNet,Eig_seed=0,a_-2,pcs_NA
c2,2.121268925251227,2.0,1.6847369766330282,AtlasNet,Eig_seed=0,a_-2.2,pcs_NA
c2,2.1076944810480267,2.0,1.7618843651404728,AtlasNet,Eig_seed=0,a_-2.4,pcs_NA
c2,2.0882077356263107,2.0,1.8359816306955832,AtlasNet,Eig_seed=0,a_-2.6,pcs_NA
c2,2.0656211495610632,2.0,1.908580334742614,AtlasNet,Eig_seed=0,a_-2.8,pcs_NA
c2,2.04210415630865,2.0,1.979486412598451,AtlasNet,Eig_seed=0,a_-3,pcs_NA
