,layer,score,score_error,architecture,task,kind,source
0,c2,0.0597349467892494,0.003092074454423,AtlasNet,Eig_seed=0,a_-0.2,pcs_25
1,c2,0.0591240926950344,0.0033284716460514,AtlasNet,Eig_seed=0,a_-0.3,pcs_25
2,c2,0.0541910241044653,0.0037332972605164,AtlasNet,Eig_seed=0,a_-0.4,pcs_25
3,c2,0.049727052420935,0.0042495652722329,AtlasNet,Eig_seed=0,a_-0.5,pcs_25
4,c2,0.0472259244070378,0.0041722335784056,AtlasNet,Eig_seed=0,a_-0.6,pcs_25
5,c2,0.0430883320418772,0.0038591852406841,AtlasNet,Eig_seed=0,a_-0.7,pcs_25
6,c2,0.0402115494522494,0.0034126135322685,AtlasNet,Eig_seed=0,a_-0.8,pcs_25
7,c2,0.0373963118110492,0.0034707546924162,AtlasNet,Eig_seed=0,a_-0.9,pcs_25
8,c2,0.0346670200160228,0.003203406884335,AtlasNet,Eig_seed=0,a_-1.0,pcs_25
9,c2,0.0312546923896762,0.0037218214789236,AtlasNet,Eig_seed=0,a_-1.2,pcs_25
10,c2,0.0296769781915473,0.0042255170619045,AtlasNet,Eig_seed=0,a_-1.4,pcs_25
11,c2,0.0257238131300638,0.004287079623857,AtlasNet,Eig_seed=0,a_-1.6,pcs_25
12,c2,0.0234865691068512,0.0044453931194434,AtlasNet,Eig_seed=0,a_-1.8,pcs_25
13,c2,0.0208915750472988,0.0043361247372131,AtlasNet,Eig_seed=0,a_-2,pcs_25
14,c2,0.0198947994958337,0.004115730022655,AtlasNet,Eig_seed=0,a_-2.2,pcs_25
15,c2,0.0191204169946772,0.0037632151704051,AtlasNet,Eig_seed=0,a_-2.4,pcs_25
16,c2,0.0181861972437994,0.0035461531111898,AtlasNet,Eig_seed=0,a_-2.6,pcs_25
17,c2,0.0171845495470653,0.0040739524376583,AtlasNet,Eig_seed=0,a_-2.8,pcs_25
18,c2,0.0162871284715066,0.0045000263298034,AtlasNet,Eig_seed=0,a_-3,pcs_25
19,c2,0.0659428342348525,0.0029098907665882,AtlasNet,Eig_seed=0,a_-0.2,pcs_50
20,c2,0.0644768704887881,0.0031483976752816,AtlasNet,Eig_seed=0,a_-0.3,pcs_50
21,c2,0.0626023653008698,0.0040453498496264,AtlasNet,Eig_seed=0,a_-0.4,pcs_50
22,c2,0.057998191287073,0.0045091044396851,AtlasNet,Eig_seed=0,a_-0.5,pcs_50
23,c2,0.0536327669510848,0.0049577546301543,AtlasNet,Eig_seed=0,a_-0.6,pcs_50
24,c2,0.0500122134751675,0.0044293612205894,AtlasNet,Eig_seed=0,a_-0.7,pcs_50
25,c2,0.046998515180208,0.0038340090660093,AtlasNet,Eig_seed=0,a_-0.8,pcs_50
26,c2,0.0447354054364947,0.00347179917826,AtlasNet,Eig_seed=0,a_-0.9,pcs_50
27,c2,0.0414895391538256,0.003310944373207,AtlasNet,Eig_seed=0,a_-1.0,pcs_50
28,c2,0.0365873436548537,0.004754182720319,AtlasNet,Eig_seed=0,a_-1.2,pcs_50
29,c2,0.0329629012667511,0.0055299987605071,AtlasNet,Eig_seed=0,a_-1.4,pcs_50
30,c2,0.0279647195271887,0.0043581156597582,AtlasNet,Eig_seed=0,a_-1.6,pcs_50
31,c2,0.025453855830729,0.0043089068934156,AtlasNet,Eig_seed=0,a_-1.8,pcs_50
32,c2,0.0235710068852666,0.003693655269286,AtlasNet,Eig_seed=0,a_-2,pcs_50
33,c2,0.0217242902560445,0.0039424220322024,AtlasNet,Eig_seed=0,a_-2.2,pcs_50
34,c2,0.0208648206751938,0.0040623147057039,AtlasNet,Eig_seed=0,a_-2.4,pcs_50
35,c2,0.0197018631813305,0.0050745371692038,AtlasNet,Eig_seed=0,a_-2.6,pcs_50
36,c2,0.0193767169937822,0.0047389643409896,AtlasNet,Eig_seed=0,a_-2.8,pcs_50
37,c2,0.01871088963684,0.0047183402259612,AtlasNet,Eig_seed=0,a_-3,pcs_50
38,c2,0.0849011207274136,0.0038670823430297,AtlasNet,Eig_seed=0,a_-0.2,pcs_100
39,c2,0.0811041562277264,0.0035363345802238,AtlasNet,Eig_seed=0,a_-0.3,pcs_100
40,c2,0.0774274065415193,0.0037620305127801,AtlasNet,Eig_seed=0,a_-0.4,pcs_100
41,c2,0.0711998944329964,0.0046082409883345,AtlasNet,Eig_seed=0,a_-0.5,pcs_100
42,c2,0.0653352710735417,0.0042516957695811,AtlasNet,Eig_seed=0,a_-0.6,pcs_100
43,c2,0.0580485912288195,0.0039242147878665,AtlasNet,Eig_seed=0,a_-0.7,pcs_100
44,c2,0.0518972455540664,0.0036341003522194,AtlasNet,Eig_seed=0,a_-0.8,pcs_100
45,c2,0.0467924371641067,0.0036355143543136,AtlasNet,Eig_seed=0,a_-0.9,pcs_100
46,c2,0.0440732441701264,0.0043324478253457,AtlasNet,Eig_seed=0,a_-1.0,pcs_100
47,c2,0.0387291720362377,0.004182037171242,AtlasNet,Eig_seed=0,a_-1.2,pcs_100
48,c2,0.0351212993468253,0.0056777069705807,AtlasNet,Eig_seed=0,a_-1.4,pcs_100
49,c2,0.0316144186416277,0.0053430593231043,AtlasNet,Eig_seed=0,a_-1.6,pcs_100
