layer,score,score_error,architecture,task,kind,source
c2,0.06594283423485259,0.0029098907665882014,AtlasNet,Eig_seed=0,a_-0.2,pcs_50
c2,0.06447687048878813,0.0031483976752816724,AtlasNet,Eig_seed=0,a_-0.3,pcs_50
c2,0.06260236530086982,0.004045349849626428,AtlasNet,Eig_seed=0,a_-0.4,pcs_50
c2,0.05799819128707302,0.004509104439685119,AtlasNet,Eig_seed=0,a_-0.5,pcs_50
c2,0.05363276695108484,0.004957754630154394,AtlasNet,Eig_seed=0,a_-0.6,pcs_50
c2,0.05001221347516757,0.004429361220589415,AtlasNet,Eig_seed=0,a_-0.7,pcs_50
c2,0.046998515180208,0.0038340090660093523,AtlasNet,Eig_seed=0,a_-0.8,pcs_50
c2,0.04473540543649479,0.003471799178260004,AtlasNet,Eig_seed=0,a_-0.9,pcs_50
c2,0.041489539153825666,0.0033109443732070804,AtlasNet,Eig_seed=0,a_-1.0,pcs_50
c2,0.03658734365485374,0.00475418272031904,AtlasNet,Eig_seed=0,a_-1.2,pcs_50
c2,0.03296290126675113,0.005529998760507162,AtlasNet,Eig_seed=0,a_-1.4,pcs_50
c2,0.027964719527188743,0.004358115659758237,AtlasNet,Eig_seed=0,a_-1.6,pcs_50
c2,0.025453855830729094,0.004308906893415651,AtlasNet,Eig_seed=0,a_-1.8,pcs_50
c2,0.023571006885266692,0.003693655269286092,AtlasNet,Eig_seed=0,a_-2,pcs_50
c2,0.021724290256044543,0.003942422032202404,AtlasNet,Eig_seed=0,a_-2.2,pcs_50
c2,0.020864820675193876,0.004062314705703971,AtlasNet,Eig_seed=0,a_-2.4,pcs_50
c2,0.019701863181330517,0.005074537169203896,AtlasNet,Eig_seed=0,a_-2.6,pcs_50
c2,0.019376716993782232,0.00473896434098964,AtlasNet,Eig_seed=0,a_-2.8,pcs_50
c2,0.018710889636840075,0.004718340225961209,AtlasNet,Eig_seed=0,a_-3,pcs_50
