layer,score,score_error,architecture,task,kind,source
c2,0.0725839559097195,0.006199311280979713,AtlasNet,Eig_seed=0,a_-0.2,pcs_25
c2,0.07100540986850712,0.0057222172693112885,AtlasNet,Eig_seed=0,a_-0.3,pcs_25
c2,0.06873812211121234,0.005725265196169417,AtlasNet,Eig_seed=0,a_-0.4,pcs_25
c2,0.06649281828561755,0.005496153341729442,AtlasNet,Eig_seed=0,a_-0.5,pcs_25
c2,0.06447562921304291,0.005047294932777941,AtlasNet,Eig_seed=0,a_-0.6,pcs_25
c2,0.060256994392000246,0.004795980791772387,AtlasNet,Eig_seed=0,a_-0.7,pcs_25
c2,0.05548466237691947,0.004709596908901593,AtlasNet,Eig_seed=0,a_-0.8,pcs_25
c2,0.05070983347615179,0.004483027599508876,AtlasNet,Eig_seed=0,a_-0.9,pcs_25
c2,0.04668124840028532,0.004304481840058245,AtlasNet,Eig_seed=0,a_-1.0,pcs_25
c2,0.03898486554377984,0.00373959524110211,AtlasNet,Eig_seed=0,a_-1.2,pcs_25
c2,0.034846960926669335,0.004333233646969033,AtlasNet,Eig_seed=0,a_-1.4,pcs_25
c2,0.03169456074333315,0.004638930241470983,AtlasNet,Eig_seed=0,a_-1.6,pcs_25
c2,0.0313683634504659,0.00500735253735596,AtlasNet,Eig_seed=0,a_-1.8,pcs_25
c2,0.030565302568399767,0.004699548122489187,AtlasNet,Eig_seed=0,a_-2,pcs_25
c2,0.03049572933204144,0.0049857618891261425,AtlasNet,Eig_seed=0,a_-2.2,pcs_25
c2,0.030595568055597606,0.005211888633438404,AtlasNet,Eig_seed=0,a_-2.4,pcs_25
c2,0.030201782078559395,0.0049915086008791515,AtlasNet,Eig_seed=0,a_-2.6,pcs_25
c2,0.030412730832385316,0.005318720044832078,AtlasNet,Eig_seed=0,a_-2.8,pcs_25
c2,0.03028336298784451,0.005350261535108435,AtlasNet,Eig_seed=0,a_-3,pcs_25
