,layer,score,score_error,architecture,task,kind,source
0,c2,0.006730612484284,0.0006453960683704,AtlasNet,Eig_seed=0,a_-0.2,pcs_10
1,c2,0.0065846304340388,0.0006357434086985,AtlasNet,Eig_seed=0,a_-0.3,pcs_10
2,c2,0.0063864650258718,0.0006193137624174,AtlasNet,Eig_seed=0,a_-0.4,pcs_10
3,c2,0.0057414812604667,0.0005732997691149,AtlasNet,Eig_seed=0,a_-0.5,pcs_10
4,c2,0.0050598104891238,0.0005250873464302,AtlasNet,Eig_seed=0,a_-0.6,pcs_10
5,c2,0.0044528528795824,0.0004905236025431,AtlasNet,Eig_seed=0,a_-0.7,pcs_10
6,c2,0.0036249577215626,0.0004440451780961,AtlasNet,Eig_seed=0,a_-0.8,pcs_10
7,c2,0.0028765877967649,0.0004048690075038,AtlasNet,Eig_seed=0,a_-0.9,pcs_10
8,c2,0.0024046940197983,0.0003685440246158,AtlasNet,Eig_seed=0,a_-1.0,pcs_10
9,c2,0.0015261611078799,0.0003102496137517,AtlasNet,Eig_seed=0,a_-1.2,pcs_10
10,c2,0.0011308976574937,0.0002666612268033,AtlasNet,Eig_seed=0,a_-1.4,pcs_10
11,c2,0.0009757195797315,0.000251682850561,AtlasNet,Eig_seed=0,a_-1.6,pcs_10
12,c2,0.0008521951596806,0.0002434320840636,AtlasNet,Eig_seed=0,a_-1.8,pcs_10
13,c2,0.0007905826179925,0.000237012385941,AtlasNet,Eig_seed=0,a_-2,pcs_10
14,c2,0.0007576020101396,0.0002297059953264,AtlasNet,Eig_seed=0,a_-2.2,pcs_10
15,c2,0.0006630999793168,0.000228005044453,AtlasNet,Eig_seed=0,a_-2.4,pcs_10
16,c2,0.0007015908534863,0.0002179999886332,AtlasNet,Eig_seed=0,a_-2.6,pcs_10
17,c2,0.0006893580556846,0.0002144004750364,AtlasNet,Eig_seed=0,a_-2.8,pcs_10
18,c2,0.000683976171387,0.0002123134941788,AtlasNet,Eig_seed=0,a_-3,pcs_10
19,c2,0.005803654623147,0.0005929384568312,AtlasNet,Eig_seed=0,a_-0.2,pcs_50
20,c2,0.0058513016573568,0.0005875951721861,AtlasNet,Eig_seed=0,a_-0.3,pcs_50
21,c2,0.0058822910221491,0.0005760869706277,AtlasNet,Eig_seed=0,a_-0.4,pcs_50
22,c2,0.0057855896154748,0.0005568664587418,AtlasNet,Eig_seed=0,a_-0.5,pcs_50
23,c2,0.0055896453781852,0.0005310315474654,AtlasNet,Eig_seed=0,a_-0.6,pcs_50
24,c2,0.0052167627457428,0.0004957955710532,AtlasNet,Eig_seed=0,a_-0.7,pcs_50
25,c2,0.0046269745704647,0.0004526031637709,AtlasNet,Eig_seed=0,a_-0.8,pcs_50
26,c2,0.003960531451689,0.0004065850894917,AtlasNet,Eig_seed=0,a_-0.9,pcs_50
27,c2,0.0033097157904761,0.0003659121014699,AtlasNet,Eig_seed=0,a_-1.0,pcs_50
28,c2,0.0023290363303202,0.0003018138171323,AtlasNet,Eig_seed=0,a_-1.2,pcs_50
29,c2,0.0017869043389653,0.0002698290628512,AtlasNet,Eig_seed=0,a_-1.4,pcs_50
30,c2,0.0014937724440149,0.0002467539062558,AtlasNet,Eig_seed=0,a_-1.6,pcs_50
31,c2,0.0013335911585875,0.0002330127039116,AtlasNet,Eig_seed=0,a_-1.8,pcs_50
32,c2,0.0012432984741659,0.0002238858625298,AtlasNet,Eig_seed=0,a_-2,pcs_50
33,c2,0.0011711062222596,0.0002180280889708,AtlasNet,Eig_seed=0,a_-2.2,pcs_50
34,c2,0.0011288734371621,0.0002120988079354,AtlasNet,Eig_seed=0,a_-2.4,pcs_50
35,c2,0.0010953049938847,0.000206518916141,AtlasNet,Eig_seed=0,a_-2.6,pcs_50
36,c2,0.0010761094635216,0.0002026270980388,AtlasNet,Eig_seed=0,a_-2.8,pcs_50
37,c2,0.0010619672493168,0.0002003769851665,AtlasNet,Eig_seed=0,a_-3,pcs_50
