,layer,score,score_error,architecture,task,kind,source
0,c2,0.0056246927210719,0.0002924892115114,AtlasNet,Eig_seed=0,a_-0.2,pcs_10
1,c2,0.0055023527600852,0.0003034505880606,AtlasNet,Eig_seed=0,a_-0.3,pcs_10
2,c2,0.0053907180144737,0.000295372770046,AtlasNet,Eig_seed=0,a_-0.4,pcs_10
3,c2,0.0052434357496677,0.0002876975293642,AtlasNet,Eig_seed=0,a_-0.5,pcs_10
4,c2,0.0049896116448488,0.0002782554537389,AtlasNet,Eig_seed=0,a_-0.6,pcs_10
5,c2,0.0041295258524216,0.0003166137792583,AtlasNet,Eig_seed=0,a_-0.7,pcs_10
6,c2,0.0037250692050523,0.0003137865275438,AtlasNet,Eig_seed=0,a_-0.8,pcs_10
7,c2,0.0038070943320728,0.0002521864900847,AtlasNet,Eig_seed=0,a_-0.9,pcs_10
8,c2,0.0034790134884216,0.0002522421045424,AtlasNet,Eig_seed=0,a_-1.0,pcs_10
9,c2,0.002732057628629,0.0001898150661942,AtlasNet,Eig_seed=0,a_-1.2,pcs_10
10,c2,0.0022972736607026,0.0001646216169827,AtlasNet,Eig_seed=0,a_-1.4,pcs_10
11,c2,0.0019598505255273,0.0001501366118745,AtlasNet,Eig_seed=0,a_-1.6,pcs_10
12,c2,0.0017635835150556,0.000141304764842,AtlasNet,Eig_seed=0,a_-1.8,pcs_10
13,c2,0.0017080692034419,0.0001432574617163,AtlasNet,Eig_seed=0,a_-2,pcs_10
14,c2,0.0015724519618312,0.0001507171846828,AtlasNet,Eig_seed=0,a_-2.2,pcs_10
15,c2,0.0013867496478536,0.000128901772026,AtlasNet,Eig_seed=0,a_-2.4,pcs_10
16,c2,0.0013726181937293,0.0001283684795127,AtlasNet,Eig_seed=0,a_-2.6,pcs_10
17,c2,0.0013711678709262,0.0001278961409996,AtlasNet,Eig_seed=0,a_-2.8,pcs_10
18,c2,0.0013753706391947,0.0001276134454427,AtlasNet,Eig_seed=0,a_-3,pcs_10
19,c2,0.0087771853969365,0.000280252039461,AtlasNet,Eig_seed=0,a_-0.2,pcs_50
20,c2,0.008268662323847,0.0002748461402311,AtlasNet,Eig_seed=0,a_-0.3,pcs_50
21,c2,0.0083662613262496,0.0002639782360226,AtlasNet,Eig_seed=0,a_-0.4,pcs_50
22,c2,0.0077856890158191,0.0002512007586056,AtlasNet,Eig_seed=0,a_-0.5,pcs_50
23,c2,0.0080594670553105,0.0002475267176104,AtlasNet,Eig_seed=0,a_-0.6,pcs_50
24,c2,0.0074202812645474,0.0002369693763019,AtlasNet,Eig_seed=0,a_-0.7,pcs_50
25,c2,0.0067220297801112,0.0002323737814656,AtlasNet,Eig_seed=0,a_-0.8,pcs_50
26,c2,0.0063215139535591,0.0002170097916672,AtlasNet,Eig_seed=0,a_-0.9,pcs_50
27,c2,0.0059814537626855,0.0001864793297823,AtlasNet,Eig_seed=0,a_-1.0,pcs_50
28,c2,0.0045144384860271,0.0001612168480868,AtlasNet,Eig_seed=0,a_-1.2,pcs_50
29,c2,0.0037024174298348,0.0001738607275971,AtlasNet,Eig_seed=0,a_-1.4,pcs_50
30,c2,0.0032904970479129,0.0001686915407506,AtlasNet,Eig_seed=0,a_-1.6,pcs_50
31,c2,0.0029980511610546,0.0001557607028606,AtlasNet,Eig_seed=0,a_-1.8,pcs_50
32,c2,0.0029081690462992,0.0001550079968743,AtlasNet,Eig_seed=0,a_-2,pcs_50
33,c2,0.0028144949362721,0.0001556765880616,AtlasNet,Eig_seed=0,a_-2.2,pcs_50
34,c2,0.0027237073613068,0.0001477917076652,AtlasNet,Eig_seed=0,a_-2.4,pcs_50
35,c2,0.0027678873900295,0.0001528471260441,AtlasNet,Eig_seed=0,a_-2.6,pcs_50
36,c2,0.0026993146559446,0.0001508010103999,AtlasNet,Eig_seed=0,a_-2.8,pcs_50
37,c2,0.0026715967323572,0.0001521968266159,AtlasNet,Eig_seed=0,a_-3,pcs_50
38,c2,0.0102298288982235,0.0002400783243836,AtlasNet,Eig_seed=0,a_-0.2,pcs_100
39,c2,0.010161381666207,0.0002324577577382,AtlasNet,Eig_seed=0,a_-0.3,pcs_100
40,c2,0.0099257763926109,0.0002271090780906,AtlasNet,Eig_seed=0,a_-0.4,pcs_100
41,c2,0.0096566512405137,0.0002201105285595,AtlasNet,Eig_seed=0,a_-0.5,pcs_100
42,c2,0.0094233810713386,0.0002099931829109,AtlasNet,Eig_seed=0,a_-0.6,pcs_100
43,c2,0.008804977741776,0.0002050856590494,AtlasNet,Eig_seed=0,a_-0.7,pcs_100
